sample_id	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ST00031	622	102387	284	200	11921114	24	9	9	55	3	1	0	189	462	1044	1137	73	64	205	3281	233	1244	9	57	3113	156	1290387	4031	163	168	209	185	206	3868	3702040	2877	420	1177	223	82	413	3540	9
ST00035	9	2431	36	0	269672	0	0	2	3	0	0	0	2	3	27	55	1	4	1	101	5	38	0	1	83	1	72815	44	6	12	7	10	4	104	13892	51	17	33	3	0	23	2416	0
ST00036	498	35814	129	135	2811173	25	19	27	12	5	0	0	56	116	552	750	35	24	140	2253	196	1026	18	70	58804	122	597181	777	104	132	113	174	126	2182	851553	1295	641	768	43	84	366	3877	23
ST00039	352	72348	56	145	4599093	17	14	7	29	2	1	0	145	51	509	801	43	4	205	2360	147	857	19	56	1596	69	3278978	559	105	140	88	103	150	2144	2047129	1493	324	620	86	31	527	4156	33
ST00040	1165	97408	198	209	2403065	77	92	45	46	22	10	1	295	321	1008	1738	119	30	286	4360	123	2755	46	130	101898	177	1026692	1333	305	116	265	822	240	4779	666195	2876	1491	3406	104	120	522	8900	68
ST00041	361	26463	121	85	11157360	27	21	4	11	2	0	3	49	167	503	500	44	43	177	1720	113	493	11	33	1262	43	1765364	763	149	131	80	45	187	1624	364701	1189	624	528	102	110	336	4496	34
ST00042	284	49817	71	73	3027237	26	8	18	13	5	1	0	74	69	239	380	13	10	371	1970	93	516	19	56	7239	54	850539	692	60	64	29	80	114	1296	117573	847	455	776	111	51	202	37338	21
ST00044	212	38383	55	40	1032588	37	15	11	3	2	0	0	197	75	256	239	25	3	76	1030	39	396	4	24	779	45	725125	350	50	73	21	39	51	920	7187878	656	190	261	22	22	132	3026	2
ST00045	735	45846	71	19	1750830	58	10	0	14	26	0	0	157	236	340	887	16	1	177	1574	74	158	32	49	1756	54	3174397	1482	63	49	52	23	126	1135	3078850	1596	177	921	76	128	379	1900	4
ST00046	356	37953	73	87	6772310	31	18	6	14	0	0	0	380	110	956	764	66	13	154	2667	97	795	15	33	1472	128	1461831	592	70	89	183	315	125	1875	4960296	1291	234	778	34	58	337	59841	11
