sample_id	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
ST00332	272	149	1115	80142	41623	435	181	64	171	36930	2445845	29388	87	226	47	14	1363	121	768	224	76	56	1357065	4	65501	4532	131	1264	3276	17424	27	19	54	5380	18915	117	114	5216	518	463719	326	213	2221	51	91	110	52	329	338	29613	56	827	18	19	477	42788	321	44	358	149	726	482	1961	950	67	1	1919	2270	17848	154	380	160	177	138	269	316	338	1015	32	1858	95	11961	70	21	16	1	0	5	167	15	3236	9	45	31656	87	2600	13980	77	27	294	31	5025550	96	45
ST00333	14	109	102	22240	12882	143	12	70	40	10300	7406966	9976	13	9	3	4	5028	21	414	38	31	7	441416	10	5864	9459	42	31	1077	5981	2	6	7	1047	1664	163	84	14729	197	112588	146	25	386	7	164	10	7	133	47	60	22	480	2	2	201	283829	61	1	254	146	386	376	527	142	368	4	5232	849	257	12	55	20	10	27	41	158	76	312	1	163	15	35317	30	12	0	2	1	0	19	1	1415	2	0	4082	154	1457	4832	63	79	86	75	2948	128	124
ST00334	69	55	437	25954	18405	187	74	14	102	14913	6086872	15050	24	67	17	3	1983	95	771	190	50	15	560137	4	5807	6432	102	155	1080	6850	4	7	21	2171	6314	122	41	10447	342	160135	117	91	900	7	93	48	9	172	53	754	46	333	0	29	299	66408	120	18	216	192	308	139	871	237	183	0	3262	1248	857	28	190	59	57	86	85	82	209	447	5	525	49	24995	18	15	7	0	1	0	104	1	1869	4	16	11924	24	1223	6644	10	34	59	26	1267	62	42
ST00335	75	40	283	51967	12026	97	99	24	66	14767	3528138	8329	24	16	4	3	617	146	318	95	15	13	677516	5	23338	2201	77	136	808	3562	127	1	14	2382	8029	35	15	3194	794	26199	160	50	575	1	67	25	12	103	64	147	132	263	5	24	734	163646	70	66	91	113	175	172	564	189	57	0	1008	933	268	27	121	58	110	67	73	176	168	662	11	457	18	11558	4	8	13	1	0	0	56	0	1916	12	11	14344	25	877	3627	37	17	67	8	1828820	54	6
ST00338	44	23	86	7495	4975	30	16	5	13	4469	2449282	3277	0	7	7	0	766	32	198	168	23	2	145327	0	3114	2149	15	25	387	1599	10	0	3	504	3662	17	18	3371	170	129816	44	16	221	10	32	9	0	111	27	82	8	165	0	9	260	25576	28	5	51	33	112	53	285	79	28	0	1167	371	113	5	46	3	10	28	29	84	56	128	0	117	23	9683	6	0	4	1	0	0	26	1	756	1	14	2685	11	513	1632	9	11	21	5	7922	46	5
ST00340	43	39	186	52083	9204	77	48	14	23	16666	2311647	7285	23	15	13	9	816	72	328	264	30	1	283879	11	14688	2747	139	95	427	118423	9	8	8	3237	3601	57	8	5692	341	83398	47	37	385	0	28	14	11	59	14	107	62	416	2	19	370	59943	71	12	69	66	122	327	490	103	44	1	1330	722	199	15	92	22	25	12	53	72	169	362	5	267	25	8414	7	1	20	2	4	0	40	1	2201	5	10	7620	12	654	3140	29	10	43	10	59404	28	17
ST00341	15	16	43	3501	2146	15	29	49	1	5541	4159395	2703	1	4	5	8	719	17	81	24	5	4	281503	0	2309	996	46	14	99	769	2	2	4	2268	2835	13	3	2951	168	140864	16	9	87	0	16	3	3	10	3	54	76	48	1	2	220	962	9	1	40	52	75	15	147	23	72	0	790	372	50	2	98	24	5	5	8	44	41	204	0	50	8	8916	3	1	2	14	0	0	12	0	583	3	4	4407	8	144	788	4	5	12	5	12945	1	5
ST00342	293	206	899	110734	42685	436	135	23	147	43985	6197722	30527	51	124	65	136	2344	183	827	300	99	50	1235733	30	136429	5733	306	433	2986	13855	28	31	34	4394	28009	233	77	11618	1164	91253	341	181	2267	18	141	220	129	369	203	222	105	817	28	35	1039	23699	278	33	353	259	739	571	1945	960	172	1	3092	2845	1424	170	383	141	159	243	318	182	502	1531	106	1991	121	25342	30	20	29	2	1	3	278	0	4642	30	32	35233	152	3005	13803	71	24	160	103	1569353	125	64
ST00344	186	84	594	33178	18604	182	139	44	120	30740	534079	13076	19	67	40	42	1813	125	683	598	38	14	535340	4	16873	5780	242	192	995	5790	20	2	33	2018	6497	139	40	9880	485	144408	245	103	926	20	92	56	35	186	51	14709	61	588	2	33	510	229974	130	42	182	165	433	264	897	311	171	2	3047	1434	599	78	211	39	124	159	258	137	264	769	6	736	37	11277	86	5	37	2	0	0	58	1	3119	0	13	14409	56	1444	6607	31	20	34	14	1869	39	54
ST00346	46	160	357	23052	16619	78	49	20	64	10472	4252329	54671	25	9	14	21	2154	79	476	125	132	8	513650	9	11653	7083	77	80	1174	12021	2	17	9	2140	2613	78	27	8646	200	141070	114	94	664	12	45	26	24	169	81	52	32	405	2	6	217	43028	127	7	170	142	662	171	928	207	168	2	3167	816	411	58	133	42	23	38	49	123	105	178	1	402	66	22928	63	7	4	0	0	0	67	9	1607	2	4	5321	85	1096	6911	45	23	291	11	336847	122	7
