Sample_ID,ruralurban,Mollicutes,Bacilli,Flavobacteriia,Acidobacteria_Gp4,Deltaproteobacteria,Methanobacteria,Lentisphaeria,Thermoplasmata,Chloroplast,Phycisphaerae,Negativicutes,Synergistia,Fusobacteriia,Erysipelotrichia,Gammaproteobacteria,Clostridia,Bacteroidia,Epsilonproteobacteria,Cytophagia,Betaproteobacteria,Actinobacteria,Alphaproteobacteria,Opitutae,Deinococci,Verrucomicrobiae
1A,rural,0,5.33418264290771,0,0,3.51283267688272,0,0,0,1.0672857790993,0,4.80814698618543,2.07347472268011,2.6727757272562,3.37688672767336,4.7465766693173,5.7047372214341,5.13845335333891,1.0672857790993,0,3.32963282963777,4.03746506367679,0,0,0,2.73676657844955
100A,urban,0,2.6094671553739,0,0,3.0750273374398,0,0,0,0,0,5.04503612759832,1.20500452050426,4.20359514368872,3.33257272151029,3.48892946778323,5.46528541530585,5.68134332321258,0,0,4.96244046236613,3.34749157725837,0,0,0,2.43390925633154
11A,rural,1.60497716160198,4.40987226568316,0,0,3.32665483305447,0,0,0,0,0,5.03617409856931,0,1.60497716160198,3.83963181973938,3.96393758199899,5.42254599582772,5.74477261615012,0,0,4.41361701123518,3.07634089673988,1.14890673650808,0,0,0
37A,rural,0,4.97362798445441,0,0,2.89312778875653,3.20156191621322,0,0,1.17446365593773,0,4.58151141807268,0,2.62254215266076,4.14873615162797,4.96609863431711,5.5318818245416,5.61679035338994,1.46071416159536,0,3.34597690754028,3.30296267042137,0,0,0,0
081A,urban,0,2.81744240297976,0,0,0,0,0,0,1.87531317626912,0,4.443368473258,2.32746704307274,1.06362023653889,3.668920676822,3.76953762602937,5.70570346480654,5.63747034339033,1.34547744709197,0,4.26745050545493,2.62747422022065,0,0,0,0
094A,urban,0,2.73881056489108,0,0,0,0,0,0,0,0,5.20712531005509,0,2.07656201260678,3.51630093483415,3.61707859068621,4.73978238851743,5.846866323375,0,0,4.80731216127671,3.94729152217326,0,0,0,0
093A,urban,0,2.49831887338153,0,0,0,0,0,0,1.16590984133178,0,5.41631339904746,0,4.61292067581586,3.21102435467681,4.08948801144161,5.32646754833172,5.58499813436986,0,0,4.93476251216405,2.56775050366644,2.86819260709413,0,0,2.13837964129668
3A,rural,0,3.26545943987936,1.11519059481465,0,2.25902214009533,0,0,0,0.846256312462696,0,4.85260323073257,0,1.11519059481465,4.53056310360308,3.33115490882228,5.59118560736934,5.69616234537145,0,0,3.05404376501204,3.41715822769555,1.28003361730962,0,0,1.11519059481465
6A,rural,0,2.53419245202524,0,0,3.6898618225842,0,0,0,0,0,4.43602711315767,0,1.25663479874805,3.63682516630299,4.3564145570768,5.69305284178123,5.61433259091809,0,0,4.54808361030159,2.58520390927536,0,0,0,0
098A,urban,0,2.14258869299421,0,0,3.32173859791687,0,2.193393577703,0,0,0,4.41698022931736,0,0,3.06710696074203,3.80306212794622,5.72511349696225,5.59814547788737,0.828938187751397,0,4.39764543974901,3.03838998354555,0,0,0,4.01959010991264
