Sample_ID,ruralurban,Methanobacteriales,E2,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Cytophagales,Flavobacteriales,Sphingobacteriales,YS2,Cryptophyta,Streptophyta,Bacillales,Gemellales,Lactobacillales,Turicibacterales,Clostridiales,SHA_98,Erysipelotrichales,Fusobacteriales,Victivallales,Phycisphaerales,Planctomycetales,Caulobacterales,RF32,Rhizobiales,Rhodobacterales,Rickettsiales,Sphingomonadales,Burkholderiales,Neisseriales,Rhodocyclales,Desulfovibrionales,Campylobacterales,Aeromonadales,Alteromonadales,Cardiobacteriales,Enterobacteriales,Legionellales,Oceanospirillales,Pasteurellales,Pseudomonadales,Vibrionales,Xanthomonadales,Synergistales,I025,Mycoplasmatales,RF39,ML615J_28,Verrucomicrobiales,Thermales
3A,rural,0,0,2.17636559347026,2.84087470013519,3.51460559759718,5.69906336437658,0,0,0,0,0,1.06631203006658,0,1.34829034463487,3.27553800990666,1.98608458196113,5.65918482181264,0,4.52469176350256,1.34829034463487,0,0,0,0,0,0,0,0,0,3.04891191659541,0,0,2.28486659349526,0,0,0,0,3.2605689336773,0,1.51784068020324,2.39083168865691,0,1.06631203006658,0,0,0,0,2.79887706064446,0,0,0
6A,rural,0,0,1.70113226184685,2.0938554112848,2.17245311900516,5.64810310366911,0,0,0,0,0,0,0,0,2.56863779347846,2.29666132837551,5.69098948237694,0,3.56467697561458,1.12425603086172,0,0,0,0,0,0,0,0,0,4.52572181264264,0,0,3.7937035819711,0,0,1.12425603086172,0,4.29312516355692,0,1.57906492924293,2.5387583185181,0,0,0,0,0,0,0,0,0,0
18A,rural,0,0,1.99731313142619,2.61376800445858,3.09593180156622,5.67004210481978,2.29615266392007,2.42054205410625,0,1.52884489225776,0,1.52884489225776,2.12115801746048,1.24047950387725,3.16445734949682,1.99731313142619,5.68013873574834,0,3.58409888077076,3.60932831618577,0,1.52884489225776,0,1.52884489225776,1.24047950387725,1.82340134286143,1.24047950387725,1.82340134286143,1.52884489225776,4.45433482799008,0,0,3.9120523745804,1.52884489225776,1.52884489225776,2.53824855001137,0,2.85882406216988,1.52884489225776,2.70698508842863,1.82340134286143,1.91900498651165,2.88743087264472,0,1.24047950387725,0,0,0,0,3.30840507905906,1.24047950387725
082A,urban,0,0,1.55450982624797,2.19819692253656,2.49784892775566,5.63057381070034,0,0,0,0,0,1.26542760196749,0,0,2.86503632241418,2.44686889341276,5.72646188599573,0,3.99711262302628,0,0,0,0,0,0,1.26542760196749,0,1.26542760196749,0,4.42561783093063,0,0,0,0,0,1.26542760196749,0,3.06764066596143,0,1.72654431858392,2.14738821561363,0,0,0,0,0,0,0,0,2.82163300113959,0
37A,rural,3.31677049396297,0,2.51491521731725,2.73110269490628,3.05437263864915,5.65268803799165,0,0,0,0,0,1.30519552902467,1.5953364253352,1.98660946623443,4.95505509900283,1.30519552902467,5.55704214080402,0,4.05842149466053,2.68198145866549,0,0,0,0,0,0,0,0,0,3.21789875843873,0,0,2.91713164069323,1.30519552902467,4.02511733869115,0,1.30519552902467,4.80362762870415,0,1.89081774617708,3.77736438381047,1.76773645582343,0,0,0,0,0,2.84006787322584,1.76773645582343,0,0
28A,rural,0,0,1.37989796680502,2.50887663410513,2.36328649489484,5.84457504259662,0,0,0,0,0,0,1.37989796680502,0,1.96815956424185,1.37989796680502,5.44137923079904,0,3.8679648316238,0,0,0,0,0,0,0,0,0,0,4.07070780213995,0,0,3.10992627037457,0,0,0,0,2.5929600005817,0,1.67177791514979,2.64114795645081,0,0,0,0,0,0,3.40296537368336,0,0,0
108A,urban,0,0,0,2.28266373368615,2.47373947931472,5.51160851719769,0,0,0,0,0,0,0,0,2.81817232209015,1.34617550898283,5.44537446701812,0,4.9865456006772,2.81817232209015,0,0,0,0,0,0,0,0,0,3.85384073338544,0,0,3.1956586048843,0,1.34617550898283,1.34617550898283,0,5.46007346868772,0,1.34617550898283,2.02919967658796,0,0,0,2.36940184613616,0,0,0,0,1.34617550898283,0
20A,rural,0,0,2.46334223946986,4.13140093092769,3.23620879536868,5.74414088287454,0,1.91090768123671,0,0,0,1.23275787861122,1.91090768123671,1.69259902016217,3.62331674996834,1.81532858534458,5.58698421477046,0,3.36512272885476,2.75141136153686,0,0,0,0,0,1.23275787861122,1.23275787861122,0,1.23275787861122,3.25989007503758,0,0,4.26235704534943,1.23275787861122,0,2.75141136153686,0,4.13088425939524,0,3.05205629093538,2.5300755030877,1.52089267423927,2.0555096576781,0,0,0,1.81532858534458,0,0,0,0
39A,rural,0,0,2.42333747353897,2.6098502624144,3.07896677460701,5.59901143477055,0,0,0,1.32862404854628,0,0,0,1.32862404854628,2.75567349568244,2.3510846136197,5.73286347702071,0,4.00327730267729,2.21350696617585,0,0,0,0,0,0,0,0,0,4.65936510884806,0,0,2.83985984169421,0,2.30988539370816,0,0,3.37981568710478,0,1.61934365012549,0,0,0,0,1.91512518140006,0,0,0,0,2.3510846136197,0
118A,urban,0,0,1.26954319096613,1.73081364678842,1.94942161274807,5.68356546506257,0,0,0,0,0,0,0,0,2.094153303731,0,5.70597722826594,0,3.68654310450456,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26954319096613,0,0,1.26954319096613,0,3.61113895841217,0,1.55873965279701,0,0,0,0,0,0,0,0,0,0,0
24A,rural,0,0,1.98217798304614,3.17657576373362,2.32212551182585,5.44804141248873,0,0,0,4.30847018651349,0,2.06060442816884,1.30094047605474,0,3.26116868875308,1.30094047605474,5.78391862192095,0,3.13630928529514,1.88639771741276,0,0,0,0,2.32212551182585,0,0,1.59097279180001,0,3.58840159363635,0,0,3.28748362600325,1.30094047605474,0,1.30094047605474,0,3.29171850392003,0,1.30094047605474,2.12701126998321,0,0,0,1.59097279180001,0,0,3.76445550359235,0,4.85604231104687,0
119A,urban,0,0,1.28099328369391,3.8487624088207,3.02889481842169,5.42754734124591,0,0,0,0,0,0,0,0,2.43532436362038,0,5.59639259396832,0,3.57996982543257,2.03976864187701,0,0,0,0,0,0,0,0,0,3.28724426287031,0,0,3.45644521367935,0,0,1.74268359800511,0,5.50546365577446,0,1.57050177876213,0,1.96137925814172,0,0,1.28099328369391,0,0,0,0,0,0
