Sample_ID,ruralurban,Actinomycetales,Lactobacillales,Synergistales,Puniceicoccales,Campylobacterales,Vibrionales,Burkholderiales,Xanthomonadales,Rhodospirillales,Aeromonadales,Clostridiales,Neisseriales,Rhodobacterales,Coriobacteriales,Caulobacterales,Phycisphaerales,Erysipelotrichales,Methanobacteriales,Enterobacteriales,Bdellovibrionales,Victivallales,Thermales,Thermoplasmatales,Pasteurellales,Bacteroidales,Rhizobiales,Mycoplasmatales,Verrucomicrobiales,Bacillales,Selenomonadales,Pseudomonadales,Desulfovibrionales,Oceanospirillales,Sphingomonadales,Cytophagales,Legionellales,Fusobacteriales,Bifidobacteriales,Flavobacteriales,Cardiobacteriales,Alteromonadales,Thiotrichales
081A,urban,1.73218426678685,2.78922658456276,2.32816715907469,0,1.34614914471737,0,4.25836638496001,0,0,1.6372812021139,5.70568258040855,0,0,2.25794592488427,0,0,3.66962394891729,0,3.71359623104332,0,0,0,0,2.47371196363048,5.63817376450739,0,0,0,1.6372812021139,4.44407187067272,1.06426294723116,0,1.6372812021139,0,0,0,1.06426294723116,2.28263626926116,0,0,1.6372812021139,0
094A,urban,1.65734867889753,2.72767742767327,0,0,0,0,4.79967167288456,0,0,0,4.73900546981126,0,0,1.48601106375929,0,0,3.5170461787905,0,3.53804289120488,0,0,0,0,2.64865875730929,5.84761179313122,0,0,0,0,5.20787077624793,0,0,1.65734867889753,0,0,0,2.07730123890253,3.94072621235139,0,0,0,0
093A,urban,1.74627616765273,2.49946108220628,0,0,0,0,4.92770083330612,0,0,0,5.32755746222198,0,0,2.21817314284714,0,0,3.2121694923177,0,4.07089134118896,0,0,0,0,1.16697757751281,5.58614397296254,0,0,2.13951716184996,0,5.41745923622788,1.16697757751281,0,2.36866721366191,0,0,0,4.61406648948227,2.18062341755681,0,0,1.62392619149873,0
3A,rural,2.19774624851365,3.25881553427614,0,0,0,0.846691447515399,3.02345935954266,0,0,0.846691447515399,5.59065318979463,0,1.28051439598186,3.24415025145185,0,0,4.53107047874615,0,3.2559218277688,0,0,0,0,2.33830959593827,5.69666973443977,0,0,1.11565908780914,1.11565908780914,4.85311061370157,0,2.25952673720609,1.57001000921243,0,0,0,1.11565908780914,2.8141002473828,1.11565908780914,0,0,0
6A,rural,1.71789047739747,2.5346728035865,0,0,0,0,4.54371534689343,0,0,0,5.69335434190305,0,0,2.33131294177518,0,0,3.63730681408539,0,4.33858378956405,0,0,0,0,2.58568441680087,5.61481434864302,0,0,0,0,4.43650885441022,0,3.69034348314002,1.64036917594617,0,0,0,1.25708989105712,2.04918170365566,0,0,0.979445528716966,0
098A,urban,1.26212072710451,2.10641061150701,0,0,0.830076979771665,0,4.38928848637825,0,0,0,5.72468962675929,0,0,1.72311281439741,0,0,3.06844255097486,0,3.75054708502943,0,2.19472176110601,0,0,2.44338403346794,5.5994822083433,0,0,4.02092671615428,0.830076979771665,4.41831691204306,0,3.32307469547408,1.80876655873103,0,0,0,0,3.00404391329816,0,0,1.72311281439741,0
085A,urban,1.39670781323961,2.31886882398579,2.28428035678368,0,0,0,3.88458641523705,0,0,0,5.40459014336233,0.953101707730484,0,1.51726928017467,0,0,2.6808641360918,0,4.05535459735787,0,0,0,0,1.68893870131288,5.82655653870741,0,0,4.39653482776922,0,4.44638601002464,0,3.18084644637227,1.39670781323961,0,0,0,0,2.98861226663603,0,0,0.953101707730484,0
119A,urban,1.04554216616469,2.42118537543512,1.49577752674833,0,1.04554216616469,0,3.06939056756044,0,0,0,5.62283109649657,0,0,2.85027380063486,0,0,3.59126088304542,0,5.48689404823306,0,0,0,0,1.04554216616469,5.38602208929943,0,0,0,0,4.14978942467344,1.71204343605277,3.503009219738,1.61723540734456,0,0,0,2.18350914763794,3.82417130208615,1.04554216616469,1.04554216616469,1.04554216616469,0
082A,urban,1.79096773890536,2.79176314328894,0,0,0,0,4.45336963992416,0,0,0,5.72236969299863,0,0,2.57508981435309,0,0,4.09105704626488,0,3.0742832845172,0,0,0,0,2.21252176225442,5.60175732765928,1.04660602805226,0,2.81258039869737,0,4.45645731198451,0,1.04660602805226,1.61837621784599,0,0,0,0,2.08846956485797,1.32767933787017,0,1.04660602805226,0
21A,rural,1.73287804905644,2.54718888109641,2.02987259044012,0,0,0,4.31668922408452,0,0,0,5.62319380877681,0,0,3.23355273232922,0,0,3.4929917394916,2.53053149693251,3.32294507706908,0,1.90628317592208,0,0,3.00395346445902,5.71224646488187,0,0,0.882668590500215,0,4.49119615335712,0,3.33509771502245,1.61060893285567,0,0,0,1.3200962815511,3.23186713665367,0.882668590500215,0,1.15427367813009,0
