Sample_ID,ruralurban,Methanobacteriaceae,X_Methanomassiliicoccaceae_,Actinomycetaceae,Cellulomonadaceae,Corynebacteriaceae,Dermabacteraceae,Microbacteriaceae,Micrococcaceae,Promicromonosporaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,S24_7,X_Barnesiellaceae_,X_Odoribacteraceae_,X_Paraprevotellaceae_,Cytophagaceae,Cryomorphaceae,Flavobacteriaceae,X_Weeksellaceae_,Sphingobacteriaceae,Bacillaceae,Paenibacillaceae,Planococcaceae,Staphylococcaceae,Gemellaceae,Aerococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Turicibacteraceae,Christensenellaceae,Clostridiaceae,Dehalobacteriaceae,EtOH8,Eubacteriaceae,Lachnospiraceae,Peptococcaceae,Peptostreptococcaceae,Ruminococcaceae,Veillonellaceae,X_Acidaminobacteraceae_,X_Mogibacteriaceae_,X_Tissierellaceae_,Erysipelotrichaceae,Fusobacteriaceae,Leptotrichiaceae,Victivallaceae,Phycisphaeraceae,Planctomycetaceae,Caulobacteraceae,Aurantimonadaceae,Brucellaceae,Methylobacteriaceae,Methylocystaceae,Rhizobiaceae,Rhodobacteraceae,mitochondria,Sphingomonadaceae,Alcaligenaceae,Burkholderiaceae,Comamonadaceae,Oxalobacteraceae,Neisseriaceae,Rhodocyclaceae,Desulfovibrionaceae,Campylobacteraceae,Aeromonadaceae,Succinivibrionaceae,Alteromonadaceae,Shewanellaceae,Cardiobacteriaceae,Enterobacteriaceae,Coxiellaceae,Francisellaceae,Alcanivoracaceae,Halomonadaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Pseudoalteromonadaceae,Vibrionaceae,Xanthomonadaceae,Dethiosulfovibrionaceae,Synergistaceae,Rs_045,Mycoplasmataceae,Verrucomicrobiaceae,Thermaceae
3A,rural,0,0,2.12659660087565,0,1.36437364318113,0,0,0,0,2.85767486085487,3.53142451808501,4.30233821743507,3.48677974715642,5.62568809493422,3.82526025937997,1.65591693396383,4.15139899168555,3.27738384319525,4.71245950491959,0,0,0,0,0,0,0,0,0,1.36437364318113,0,0,0,2.22285716886791,0,3.25391548594258,2.00273811909621,2.301604911398,3.88432115664741,0,0,0,5.35223359128626,3.44398836507245,1.65591693396383,5.16863293852078,4.71552473869317,0,2.52258535367368,0,4.54151523690607,1.08171713246355,1.08171713246355,0,0,0,0,0,0,0,0,0,0,0,0,3.0615687678801,0,0,0,0,0,2.301604911398,0,0,0,0,0,0,3.27738384319525,0,0,0,1.53416351312231,2.40758855152689,0,0,0,1.08171713246355,0,0,0,0,0,0,0
6A,rural,0,0,1.71265715455733,0,0,0,0,0,0,2.10551772538086,2.18413090472038,5.65291426299093,3.16309439377922,1.71265715455733,3.70315705544963,1.71265715455733,0,2.79299427343485,1.41996305973038,0,0,0,0,0,0,0,0,0,0,0,1.59051486710258,0,1.59051486710258,0,2.4837374742687,2.30835851144111,1.13513969480856,3.95279277990647,0,0,0,5.27668351159709,0,1.71265715455733,5.41712498715588,4.25103348365006,0,1.88593384118971,1.13513969480856,3.57642957915748,1.13513969480856,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53234722718447,0,0,0,0,0,3.80545748066644,0,0,0,0,1.13513969480856,0,4.30488033671625,0,0,0,1.59051486710258,2.55048053592967,0,0,0,0,0,0,0,0,0,0,0
18A,rural,0,0,1.71733440217278,1.25655433785694,1.54538644536232,0,0,0,0,2.63076353533141,3.11295459391822,5.56173367054494,4.06689937098883,3.19112719801243,4.54166152062468,2.13806779353037,4.21949850314942,3.70901217488581,4.71696772164234,2.31310436824395,0,2.18886903904259,2.01418118616658,0,2.08052707123296,1.25655433785694,0,0,1.25655433785694,0,1.9358398121466,0,2.86586634695187,0,2.84521059834848,2.01418118616658,2.43751480063554,3.63330762702867,0,0,0,5.35738679457892,2.48849107876659,1.25655433785694,5.26647694550386,4.59636803445778,0,3.08342292958458,1.71733440217278,3.60113071559739,3.62636039668522,0,0,1.54538644536232,0,1.54538644536232,1.54538644536232,0,1.25655433785694,0,1.25655433785694,1.25655433785694,1.84018656961839,1.54538644536232,4.47061929617465,0,1.54538644536232,0,0,0,3.92908651672735,1.54538644536232,0,1.54538644536232,1.71733440217278,2.48849107876659,0,2.87583712560721,0,1.54538644536232,1.25655433785694,2.70977536545425,1.84018656961839,1.9358398121466,0,2.13806779353037,2.82352315569106,0,1.25655433785694,0,0,0,3.32543305424365,1.25655433785694
082A,urban,0,0,1.27862443111933,0,0,0,0,1.27862443111933,0,2.21205209395757,2.51174743351201,5.6017835620471,3.26397288347818,2.68739289416998,4.08189464549478,0,3.33088588761425,3.37916922762745,4.35032489462058,0,0,0,0,0,0,0,0,0,0,0,1.27862443111933,0,1.27862443111933,0,2.8577991067954,2.46076196755755,1.95890654381115,3.91320059551925,0,0,0,5.23395807889608,2.7031553010932,1.27862443111933,5.48909770481061,4.45927122483985,0,2.03729140196373,1.27862443111933,4.01105335383802,0,0,0,0,0,0,0,1.27862443111933,0,0,0,0,1.27862443111933,0,4.4389910003421,0,0,0,0,0,0,0,0,0,0,1.27862443111933,0,3.08157103601672,0,0,0,1.7402288218519,2.1612325956442,0,0,0,0,0,0,0,0,0,2.83555442350849,0
37A,rural,3.33036978763603,0,2.25341540357657,0,1.60860194923214,0,0,2.07853400096883,0,2.74468356783411,3.06796657266746,3.79512319049024,2.81592100428181,5.60974607603509,3.21608525332583,3.99051436244573,2.07853400096883,2.77459466747441,4.5750507850826,0,0,0,0,0,1.31813742587781,0,0,1.31813742587781,2.00007705428875,0,1.90425123043459,3.3055581426823,4.10969011680704,3.62112939995483,4.86740858640129,1.31813742587781,3.72333641173931,3.76071136654056,1.60860194923214,0,0,5.01241638576727,2.62000535611497,1.31813742587781,5.28797133626221,4.50894408107229,0,2.67786706018356,0,4.07202607651538,1.90425123043459,2.62000535611497,0,0,0,0,0,0,0,0,0,0,0,0,3.19464762205136,0,2.07853400096883,1.31813742587781,0,0,2.93072118228561,1.31813742587781,0,4.03872182722276,0,0,1.31813742587781,4.81723317092219,0,0,0,1.90425123043459,3.79096790002929,1.78111348266155,0,0,0,0,0,0,0,0,0,0
28A,rural,0,0,1.39162282046279,0,0,0,0,0,0,2.52106717254726,2.37546215361633,4.08462769332636,2.85136205469245,5.80106693795632,3.2714884181869,4.45750477917832,2.07625777226019,3.07296612086525,4.61989156571488,0,0,0,0,0,0,0,1.39162282046279,0,0,0,0,0,0,0,1.98025769661848,1.39162282046279,2.71688580072553,3.86223919431359,0,0,0,4.88990531147212,2.27900926414646,0,5.12158742204989,4.60688957965509,0,2.15483133249666,1.39162282046279,3.88019109484259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08123503074399,0,0,0,0,0,3.12214480654935,0,0,0,0,0,0,2.60515711517528,0,0,0,1.6837490079855,2.65334830403409,0,0,0,0,0,0,0,0,0,0,0
108A,urban,0,0,0,0,0,0,0,0,0,2.29889628979103,2.49000177049624,5.51460313704193,3.92230164985849,2.88709775334203,2.8993165641714,2.04536601915,1.65325498029523,0,2.04536601915,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75819797779409,0,2.04536601915,1.36176937939642,2.96618511740808,4.35278534471285,0,0,0,5.00057728514587,2.34443550879153,0,5.09872522107453,3.42181181638241,0,1.82611758611943,0,5.00286152528954,2.83446407171503,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82109818010933,0,0,0,0,0,3.21196448926813,0,0,1.36176937939642,0,1.36176937939642,0,5.47638950295771,0,0,0,1.36176937939642,2.04536601915,0,0,0,0,0,2.38564952649607,0,0,0,1.36176937939642,0
20A,rural,0,0,2.44937887778267,0,0,0,0,0,1.24294388027361,4.14221136695621,3.24701382207091,5.29435422528104,4.29839296240567,5.45000059203878,3.68729531861396,1.70319347984352,0,0,4.81431754224803,0,1.24294388027361,1.70319347984352,0,0,0,0,0,1.92158779549669,1.70319347984352,0,2.0662269065211,2.39522691878635,2.1237525157565,2.66548133051263,3.51854567834464,1.82597641731441,0,4.60317985634824,0,0,0,5.23337471088068,0,1.70319347984352,5.00760310580877,4.76245115742409,1.24294388027361,1.70319347984352,0,3.37592934750527,2.762203659709,0,0,0,0,0,0,0,0,1.24294388027361,0,1.24294388027361,0,1.24294388027361,3.26294416157665,0,0,0,0,0,4.27316768677196,1.24294388027361,0,0,0,2.762203659709,0,4.14169469448453,0,0,0,3.06285804424706,2.54085522012724,1.24294388027361,1.24294388027361,1.24294388027361,1.99990112263065,0,0,0,0,1.82597641731441,0,0
39A,rural,0,0,2.40352084164438,0,1.34280632863644,0,0,0,0,2.62468304993168,3.09382326949946,5.58390900021617,3.94071908379101,3.93333200425691,2.98582796695819,2.02570398372133,3.10111667630553,2.50008771965016,3.87290775377387,0,0,0,0,0,0,0,0,0,1.34280632863644,0,1.80657560533312,1.63386102140483,0,1.34280632863644,2.66598203167315,2.36588816163242,1.80657560533312,4.31695928890413,0,0,1.34280632863644,5.56953929021683,0,3.12912389396699,5.03181036882169,4.37340589605577,0,2.17066090935299,2.10420246608299,4.0181445339044,2.22828623585859,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67190797495636,0,1.63386102140483,0,0,0,2.85470738825824,0,0,2.32468245970293,0,0,0,3.39467827302463,0,0,0,1.63386102140483,0,0,0,0,0,0,0,1.92981610784977,0,0,2.36588816163242,0
118A,urban,0,0,1.29411897758638,0,0,0,0,0,0,1.75627669181412,1.97506985545498,5.68324785892634,4.09887964147181,3.49950000125707,4.06530353335273,2.17746157616288,0,3.4051855662902,1.29411897758638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58397492915026,1.97506985545498,0,0,3.6159732175521,0,0,0,5.54826039431855,1.29411897758638,1.29411897758638,4.9602561951306,4.4629417523515,0,0,1.29411897758638,3.7124690715347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29411897758638,0,0,0,0,1.29411897758638,0,3.63706394314807,0,0,0,1.58397492915026,0,0,0,0,0,0,0,0,0,0,0,0
24A,rural,0,0,1.37603330454517,0,1.37603330454517,0,0,1.84080014063095,0,3.2552357879536,2.40049046855605,5.22128732059813,4.20000397684823,2.13868582611652,4.68062849533716,0,4.43511446110419,3.82132586118409,4.85788426927206,0,0,0,0,0,1.37603330454517,0,0,0,0,0,0,1.37603330454517,1.6678305903538,1.84080014063095,3.3069715906515,1.37603330454517,2.56267774107445,3.53358572767862,0,0,0,4.94687503883961,2.50485558860136,0,5.6060526503119,4.81419534432724,0,2.6371236144953,1.37603330454517,3.2149646517078,1.96416956776095,0,0,0,0,0,0,0,0,0,0,0,1.6678305903538,0,3.48784236083512,0,0,3.19015664064815,0,0,3.3661544553345,1.37603330454517,0,0,0,1.37603330454517,0,3.37038969362497,0,0,0,1.37603330454517,2.20518156443421,0,0,0,0,0,1.6678305903538,0,0,0,4.93474927346127,0
119A,urban,0,0,1.28800510058495,0,0,0,0,0,0,3.85615733704325,3.03628392409426,5.35950527025995,3.90556766199695,0,4.51959344876365,0,0,3.35512911206127,1.28800510058495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57770054937518,2.38078653129034,0,2.30856431534299,3.3955407274843,0,0,1.96869506419783,4.80549365399728,0,0,5.48858150954711,3.9958583671616,0,2.44269341585259,1.28800510058495,3.58736386347014,2.04709768720648,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17380841569833,0,0,0,0,0,3.46383861707455,0,0,0,0,1.74994692185907,0,5.51285959991695,0,0,0,1.57770054937518,0,1.28800510058495,1.87295037458039,0,0,0,1.28800510058495,0,0,0,0,0
34A,rural,0,0,1.60101310041414,0,0,0,0,0,0,4.85646377897228,1.69574092703185,5.40947065957222,2.54547195023544,1.89656693240531,2.64213452542976,0,0,0,4.1432981106361,0,0,0,0,0,0,0,0,1.03043469418579,1.69574092703185,0,1.47968715041573,0,2.62243651285166,0,2.62243651285166,0,1.03043469418579,3.70234680267035,0,0,0,5.16167355520666,2.50779581449253,0,5.68789080789936,3.9354149659268,1.03043469418579,0,1.03043469418579,3.31855323168946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36832810546093,0,0,0,0,0,0,0,0,0,0,1.31073253411447,1.03043469418579,3.42900168743685,0,0,0,1.47968715041573,3.29134900450841,1.03043469418579,0,0,0,0,0,0,0,0,0,0
091A,urban,0,0,2.02385427315422,0,0,0,0,0,0,2.683382954369,1.9279707548155,5.72690295614829,2.86541436863534,2.52616881653361,3.40010798780331,1.8047374694078,1.8047374694078,1.34102395897433,1.8047374694078,0,0,0,0,0,0,0,0,0,0,0,1.63203715165644,0,2.49822628774752,1.63203715165644,1.9279707548155,2.10234983904295,2.02385427315422,3.38163209738175,0,0,0,5.37777479865344,0,0,5.27879415623748,4.03344376867398,0,1.34102395897433,2.02385427315422,3.74243637506507,3.23482068925261,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97689786122611,0,0,2.16880619348088,0,0,0,0,0,0,0,0,0,3.09195742881554,0,0,0,0,1.63203715165644,0,0,0,0,0,0,0,0,0,3.16614823048163,0
098A,urban,0,0,1.07359281537775,0,1.07359281537775,0,0,0,0,3.05686309433667,1.74219765747549,5.60316665868546,3.70747567194855,2.66969124778595,4.13500509941332,2.29278389132727,3.84085614504725,3.41927341945377,1.52555950493483,0,0,0,0,0,0,0,0,0,1.07359281537775,0,1.07359281537775,0,0,1.35589479121537,2.11779777338693,0,2.64905197170612,3.57698691689325,1.88607329937234,0,0,5.07850129504066,2.84209777670281,0,5.57823118655344,4.27361282961675,0,2.41716900099866,1.07359281537775,3.01798074527842,0,0,2.24190791791728,0,0,0,0,0,0,0,0,0,0,0,4.41966257004777,0,0,0,0,0,3.35976480718804,1.07359281537775,0,0,0,1.94335897089306,0,3.77493790187699,0,0,0,1.88607329937234,2.55501820614526,0,0,0,0,0,0,0,0,0,3.992944061455,0
100A,urban,0,0,1.36087466363264,0,0,0,0,0,0,3.30078940227931,2.45699301510553,5.3035705333993,3.39860902439698,5.49133602728414,3.70334452093812,0,2.12296636172003,1.65234036295431,0,0,0,0,0,0,0,0,0,0,1.65234036295431,1.36087466363264,0,0,2.24708631821861,0,2.29796557056863,0,1.36087466363264,2.75726418747071,0,0,0,4.91394285031371,2.12296636172003,0,5.25103566583468,4.98852668472907,0,0,0,3.27118227193614,4.2424686058592,1.82519613670305,0,0,0,0,0,0,0,0,0,0,0,0,4.98793887951457,0,0,0,0,1.36087466363264,3.0408961371695,0,0,0,0,1.65234036295431,1.36087466363264,3.25025985116548,0,0,0,1.65234036295431,0,1.65234036295431,0,0,0,0,0,1.36087466363264,0,0,2.38471795530719,0
084A,urban,0,0,0,0,1.7727476002024,0,0,1.31004214941721,0,2.43595747070699,2.07009761631053,5.51056248887257,3.8505890688707,2.96994184170108,3.90213116959768,0,2.59038169582368,3.57165262974209,0,0,0,0,0,0,0,0,0,0,0,0,1.31004214941721,0,1.31004214941721,0,2.24495525336784,2.07009761631053,1.99165486497675,3.7796687672789,0,1.7727476002024,1.31004214941721,5.42352827977917,2.92222317481758,1.7727476002024,5.40184581021977,4.14499493109133,0,2.61151788078743,1.7727476002024,3.50055972267388,2.66937701407338,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91769703108789,0,0,0,0,0,1.60030540033987,0,0,0,0,1.60030540033987,0,5.01618683113944,0,0,0,1.31004214941721,1.31004214941721,1.7727476002024,0,0,0,0,2.13651613981764,0,0,0,2.07009761631053,0
107A,urban,0,0,1.32673687962548,0,0,0,0,0,0,1.6174110416809,2.21153881567133,5.47063194734469,3.86092650520658,3.81638352899342,3.82303340939837,1.6174110416809,2.68687750605253,3.23030714297083,0,0,0,0,0,0,0,0,0,0,0,0,1.6174110416809,0,0,0,1.6174110416809,1.6174110416809,2.62901312802433,3.33939481962599,0,0,0,4.93782940902458,3.06202374607208,0,5.13514352050334,4.18889370235003,0,2.92953262290477,0,3.92177428650775,0,0,0,0,0,0,0,0,0,0,0,0,1.32673687962548,0,3.2927653407544,0,0,0,0,0,3.61337406336424,1.32673687962548,0,0,0,1.91316902261831,0,5.62695728348497,0,0,0,1.6174110416809,0,1.32673687962548,0,0,0,0,0,0,0,0,0,0
35A,rural,1.38738049694768,0,1.38738049694768,0,1.38738049694768,0,0,0,0,1.67941837204338,2.15043975017256,4.38542136301522,3.06854717529252,5.78496455191632,3.11772545866123,2.71247162857488,2.80125675777544,2.67116313537007,0,0,0,0,0,0,0,0,0,0,1.38738049694768,0,0,2.27460994269453,0,0,1.9758815111494,0,2.15043975017256,3.39876333040524,0,0,0,5.06774533758632,1.67941837204338,0,5.04736406156851,4.12890625108936,0,2.21694753830397,0,3.4557180645794,3.11772545866123,0,1.85247040218137,0,0,0,0,0,0,0,0,0,0,0,3.43382408916114,0,0,0,0,1.38738049694768,3.04169870164138,0,1.38738049694768,0,0,1.67941837204338,0,5.03234547554085,0,0,0,1.85247040218137,2.88828212985081,1.85247040218137,0,0,0,1.85247040218137,0,0,0,0,0,0
