Sample_ID,ruralurban,Methanobacteria,Thermoplasmata,Actinobacteria,Coriobacteriia,Bacteroidia,Cytophagia,Flavobacteriia,Sphingobacteriia,X4C0d_2,Chloroplast,Bacilli,Clostridia,Erysipelotrichi,Fusobacteriia,X_Lentisphaeria_,Phycisphaerae,Planctomycetia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,Synergistia,TM7_3,Mollicutes,RF3,Verrucomicrobiae,Deinococci
108A,urban,0,0,2.28247151955696,2.47354690637134,5.51141529559656,0,0,0,0,0,2.8317470402435,5.44518124551502,4.98635238047449,2.8179793936462,0,0,0,0,3.87989709561024,3.1954655058553,0,5.46013541342981,2.36920944950517,0,0,0,1.34599099589645,0
20A,rural,0,0,4.14059742650628,3.23620879536868,5.74414088287454,0,1.91090768123671,0,0,1.23275787861122,3.64283434514649,5.58698421477046,3.36512272885476,2.75141136153686,0,0,0,1.69259902016217,3.25989007503758,4.26235704534943,1.23275787861122,4.19560514034921,0,0,1.81532858534458,0,0,0
39A,rural,0,0,2.82689627674254,3.07894914690268,5.59899379240106,0,0,0,1.32860723396467,0,2.91032909266715,5.73287846989615,4.0032596620144,2.21348943167148,0,0,0,0,4.6593474668207,2.8398422247901,0,3.4218426771942,1.91510775349319,0,0,0,2.35106704981658,0
118A,urban,0,0,1.8537221923249,1.94941405455287,5.6835578210002,0,0,0,0,0,2.09414572119535,5.70596958420277,3.68653546199955,0,0,0,0,0,0,1.26953595783465,0,3.61670983618872,0,1.26953595783465,0,0,0,0
24A,rural,0,0,3.20321074347151,2.32212551182585,5.44804141248873,0,0,0,4.30847018651349,2.06060442816884,3.27011867380353,5.78391862192095,3.13630928529514,1.88639771741276,0,0,0,2.39435782915492,3.58840159363635,3.28748362600325,1.30094047605474,3.32808147402532,1.59097279180001,0,3.76445550359235,0,4.85604231104687,0
119A,urban,0,0,3.84987440184786,3.02889481842169,5.42754734124591,0,0,0,0,0,2.43532436362038,5.59639259396832,3.57996982543257,2.03976864187701,0,0,0,0,3.28724426287031,3.45644521367935,0,5.50570903299219,1.28099328369391,0,0,0,0,0
34A,rural,0,0,4.84559803420309,1.68486645812261,5.42266915209301,0,0,0,0,1.68486645812261,2.95503542068661,5.81641542113321,3.30745766202219,0,0,0,0,0,3.36971225563386,0,0,3.66176987769444,0,0,1.76254969182072,0,0,0
091A,urban,0,0,2.69452997664622,1.85466536450845,5.65571730335778,0,0,0,0,1.95035987306711,2.70973968302577,5.72394844930469,3.66819071802718,3.16060753743705,0,0,0,0,3.91024787108959,0,0,3.03222679967492,0,0,1.95035987306711,0,3.09194315716835,0
098A,urban,0,0,3.03447905270695,1.71217256504633,5.60288344693019,0,0,0,0,0,2.21149081820216,5.74095574275212,2.98741247057045,0,2.21149081820216,0,0,0,4.39013914286039,3.32917996277434,1.0456619945431,3.78074023035293,0,0,3.61969542268874,0,3.96234859332475,0
100A,urban,0,0,3.29523078479867,2.44672158088895,5.70476092366344,0,0,0,2.03422533311751,0,2.63326447004735,5.57194792839375,3.26088000589571,4.23379496610407,0,0,0,0,4.97821893919673,3.0305977781443,0,3.27593563250137,1.35102099365326,0,1.35102099365326,0,2.37445311499004,0
084A,urban,0,0,2.50768424283827,2.03325318627486,5.49954996403191,0,0,0,0,0,2.48294002090522,5.76076084370958,3.46339740627064,2.63228552994503,0,0,0,0,3.89849820107753,1.56410396308288,0,4.97958102046317,2.09962490606954,0,0,0,2.03325318627486,0
107A,urban,0,0,1.78336941002814,2.20484511044483,5.49601534323609,0,0,0,0,1.32032124166501,2.08080870654783,5.40584115530255,3.91503969016843,0,0,0,0,1.32032124166501,3.34062777638658,3.60664030760285,1.32032124166501,5.62036697615468,0,0,0,0,0,0
35A,rural,1.37871365514267,0,1.96693696665579,2.14146324732445,5.79569156636923,0,0,0,0,0,2.47556365714,5.41504774464052,3.44668015407349,3.10869131564084,1.84355758928383,0,0,0,3.46068593909352,3.03266589142711,0,5.02752864210121,0,0,1.37871365514267,0,0,0
11A,rural,0,0,2.824644731162,2.84943218345784,5.75938336417696,0,0,0,0,0,4.40513707617205,5.55427851765269,3.81240987899898,1.77695577222297,0,0,0,0,4.37279902285894,3.36458462154583,0,3.89245369643087,0,0,0,0,0,0
10A,rural,0,0,4.33272402352674,2.72683082307342,5.46756243772483,0,0,0,0,1.30112861460073,4.62109303103675,5.79881728067967,3.49647982970088,2.4564694789913,0,0,0,0,3.60734428697716,2.06080074656227,0,3.64256830538512,0,0,2.42661468140073,0,3.07856054019872,0
109A,urban,0,0,3.63468838349266,2.33991252735051,5.69724646816041,0,0,0,1.35742425556755,1.35742425556755,4.25228991768019,5.60969546099173,3.13757950781498,4.27895955721405,0,0,0,0,3.30661983784875,3.23027271507298,2.11938543706876,4.68173383694116,0,0,0,0,2.18586066709715,0
31A,rural,2.38031351251015,0,1.90679553694479,2.50479972988014,5.79135368544345,0,0,0,0,0,2.46713463009704,5.56426422524827,2.92991871561661,0,0,0,0,0,3.75677259141991,3.49994242746669,0,3.46183456513299,2.20512587985649,0,3.03744055216722,0,1.4403081435033,0
29A,rural,0,1.73518004547857,2.12829875660372,2.57337401946621,5.84874066269004,0,0,0,2.60325991111862,2.03219601926431,3.72936161292881,5.37283333518016,3.72283197286475,2.12829875660372,3.38530483483576,0,0,1.4420684789715,3.93533748672474,3.49810452547974,1.90859941640639,4.49761217420812,1.73518004547857,0,2.70569424779669,0,0,0
101A,urban,0,0,4.00013374884851,2.28257884931591,5.74498717363597,0,0,0,0,3.19343531082098,2.70217557376885,5.5814962332124,3.81532231768857,2.85230900760805,0,0,0,1.94286655240853,4.61477149806434,0,0,3.26445667294902,0,0,0,0,0,0
083A,urban,0,0,3.87017075440989,0,5.75182065579565,0,0,0,0,1.36799646138832,3.07361670848939,5.56803561174152,3.39054352791116,2.42977276067579,0,0,0,0,4.67223544272434,3.12015556970855,0,3.75898288368651,1.36799646138832,0,0,0,0,0
13A,rural,0,0,3.30085747979738,2.26601681616915,5.70077358371833,0,0,0,0,0,3.45569426483813,5.65465153819504,3.98979409405667,4.21631404364114,0,0,0,1.79357780784766,4.08103763545512,0,1.33020782040808,3.47981972359687,0,1.33020782040808,0,0,0,0
093A,urban,0,0,2.47219886026,2.2004768331856,5.60578111274882,0,0,0,1.31613665677981,1.31613665677981,2.61790836587899,5.6442108658064,3.1699959625143,4.65239497244655,0,0,0,3.23937399315357,4.97606772271508,0,0,4.07786597155699,0,1.31613665677981,0,0,2.14287573970015,0
094A,urban,0,0,3.99055807975211,1.397596611486,5.86100999934449,0,0,0,0,0,2.82765788466387,5.28484166546208,3.52299860259815,2.16101275892241,0,0,0,0,4.79865872545489,0,0,3.63763215184944,0,0,0,0,0,0
085A,urban,0,0,2.94401753354354,1.16162504961657,5.82911120689013,0,0,0,0,0,2.45435738250513,5.44618293952791,2.76482532631727,0,0,0,1.16162504961657,0,3.91599238631285,3.14375909420468,0,4.02882697611212,2.24701922789239,0,0,0,4.37416230199825,0
