Sample_ID,ruralurban,Puniceicoccaceae,Micrococcaceae,Moraxellaceae,Paenibacillaceae_1,Actinomycetaceae,Methylocystaceae,Acidaminococcaceae,Cytophagaceae,Sphingomonadaceae,Dermabacteraceae,Methanobacteriaceae,Enterobacteriaceae,Campylobacteraceae,Aeromonadaceae,Ruminococcaceae,Bacillaceae_1,Vibrionaceae,Rhodospirillaceae,Pasteurellaceae,Rubritaleaceae,Bacteroidales_incertae_sedis,Porphyromonadaceae,Rhizobiaceae,Coxiellaceae,Corynebacteriaceae,Coriobacteriaceae,Francisellaceae,Verrucomicrobiaceae,Flavobacteriaceae,Bifidobacteriaceae,Victivallaceae,Rikenellaceae,Methylobacteriaceae,Burkholderiales_incertae_sedis,Streptococcaceae,Leptotrichiaceae,Oxalobacteraceae,Comamonadaceae,Fusobacteriaceae,Shewanellaceae,Desulfovibrionaceae,Neisseriaceae,Erythrobacteraceae,Peptococcaceae_1,Aerococcaceae,Thiotrichales_incertae_sedis,Leuconostocaceae,Clostridiaceae_1,Promicromonosporaceae,Prevotellaceae,Bacteroidaceae,Erysipelotrichaceae,Helicobacteraceae,Microbacteriaceae,Brevibacteriaceae,Pseudomonadaceae,Cardiobacteriaceae,Bdellovibrionaceae,Mycoplasmataceae,Carnobacteriaceae,Halomonadaceae,Clostridiales_Incertae_Sedis_XIII,Rhodobacteraceae,Enterococcaceae,Staphylococcaceae,Veillonellaceae,Chloroplast,Phycisphaeraceae,Aurantimonadaceae,Succinivibrionaceae,Lactobacillaceae,Lachnospiraceae,Clostridiales_Incertae_Sedis_XI,Alcaligenaceae,Thermaceae,Alcanivoracaceae,Synergistaceae,Caulobacteraceae,Pseudoalteromonadaceae,Brucellaceae,Sutterellaceae,Eubacteriaceae,Peptostreptococcaceae,Xanthomonadaceae,Bacillales_Incertae_Sedis_XI
1A,rural,0,1.81219148072677,0,0,2.83139345782639,0,3.90793420287808,0,0,0,0,4.71884505028875,1.13919909114358,0,5.37669148408022,0,0,0,3.65802226030648,0,0,4.09994753816704,0,0,2.28482794622723,3.41414023213781,0,2.81471287382663,0,3.95100259964012,0,3.55375619993218,0,0,5.02597738356446,0,0,0,2.75070121763828,0,3.58080710293554,0,0,3.38995501098811,0,0,0,2.98773735898226,0,5.02414393733538,4.23490136051255,3.45493404741016,0,0,0,0,0,0,0,2.36363336091375,1.89025586380436,2.43031150030703,0,0,0,4.83312890275486,1.13919909114358,0,0,3.86544790333204,4.94759078936149,5.41331080435222,2.06447927809121,0,0,0,2.15094824084398,0,0,0,3.36434311036144,1.42417605686472,3.19311512481167,0,2.22302667229852
100A,urban,0,0,1.53109698632864,0,1.24266703494127,0,4.91892259936343,0,0,0,0,3.45024058046244,0,0,5.13143680056458,0,0,0,0,0,0,3.63216509666348,0,0,0,2.57996218614833,0,2.4738240755582,0,3.31072452537027,0,3.83728966180509,0,0,2.17425031640012,1.70290566423309,0,1.24266703494127,4.24201127098725,1.53109698632864,3.11505087561181,0,0,0,1.24266703494127,0,0,1.53109698632864,0,5.47262972352216,5.30953247530718,3.37261066193229,0,0,0,0,1.24266703494127,0,0,0,1.82568716898405,0,0,0,0,4.56793145333473,0,0,0,0,2.12346109140021,5.03854242776137,0,0,0,0,1.24266703494127,0,0,0,4.9823908869736,1.24266703494127,1.99961042724509,0,1.53109698632864
11A,rural,0,1.98799761817448,0,0,2.09614880981191,0,4.31278356128547,0,0,1.16889375272177,0,3.95137376247163,0,0,4.98629730798978,0,0,0,2.3166031429237,0,0,4.0601361191093,0,0,1.16889375272177,2.78258157430467,0,0,0,2.57094354349585,0,2.89484031552451,0,0,4.09075507891581,1.16889375272177,1.16889375272177,0,1.45495016154155,1.16889375272177,3.33726872452236,0,0,0,0,0,1.62593326083788,0,0,5.64846157731291,5.02099741990483,3.86110555192808,0,0,0,0,0,0,1.62593326083788,1.16889375272177,1.84365177774735,2.3166031429237,1.16889375272177,0,0,4.94716770548916,0,0,0,2.4188242109859,3.95403785705968,5.21907700721754,0,0,0,0,0,0,0,0,4.38072280802466,0,2.2867895356437,0,1.45495016154155
37A,rural,0,1.95883956492102,1.49116420779539,0,2.21990524721358,0,4.44471469064719,0,0,0,3.23304605838512,4.87128713806643,1.49116420779539,0,5.25372971267716,0,0,0,3.78341372833126,0,0,3.31597612700006,0,0,1.49116420779539,3.08472967234352,0,0,0,2.73299357195106,0,3.33445079088507,0,0,4.81557949045721,2.59197320898382,1.20392866941527,1.8806122075873,1.78512911074757,0,2.91677622398333,0,0,2.57498431734173,0,0,3.69841840010477,2.84860091971757,0,5.62481085942318,3.87317469327688,4.1802372412133,0,0,0,0,1.20392866941527,0,0,1.20392866941527,1.8806122075873,1.66255819856187,0,3.02139883978802,1.20392866941527,4.03984418970752,1.20392866941527,0,0,4.15226775425081,4.05673889312274,5.16786893024086,0,0,0,0,0,0,0,0,3.31281913914891,0,2.43276597362451,0,1.95883956492102
081A,urban,0,1.39148987276409,1.10774307806999,0,0,0,0,0,0,0,0,3.76095539876022,1.39148987276409,0,5.24823537611273,0,0,0,2.52092901738687,0,0,4.38655608964542,0,0,1.10774307806999,2.30506591837168,0,0,0,2.32976996418752,0,3.62644594825266,0,0,2.74533945401491,0,0,0,1.10774307806999,1.68361330606019,0,0,0,0,0,0,1.39148987276409,2.48884499510113,0,5.30311567259715,5.36030865901448,3.71698219194838,0,1.39148987276409,0,0,0,0,0,0,1.68361330606019,1.39148987276409,0,0,0,4.49094130858333,1.92277762207407,0,0,1.68361330606019,1.10774307806999,5.47623404676316,0,0,0,0,2.37532416476118,0,0,0,4.29545870987672,0,2.8723838452028,0,1.68361330606019
094A,urban,0,0,0,0,1.51325843644812,0,4.24948997835472,0,0,0,0,3.56617307905396,0,0,3.83020719554417,0,0,0,2.67673564954537,0,0,4.42608793973068,0,0,0,1.51325843644812,0,0,0,3.96886117053607,0,1.22534890279302,0,0,2.54236939053698,0,0,1.22534890279302,2.10521122594345,0,0,0,0,0,0,0,1.22534890279302,2.24258331590768,0,3.01865938076861,5.82145254070938,3.54517597564184,0,0,0,0,0,0,0,0,1.68488661986799,1.22534890279302,0,1.22534890279302,0,5.18390391761416,0,0,0,0,1.80757650049935,4.67799564780572,0,0,0,0,0,0,0,0,4.82081613694507,1.22534890279302,2.61472836859141,0,0
093A,urban,0,0,1.18083977586008,0,1.63843657505509,0,4.90472561907876,0,0,0,0,4.08574785459242,0,0,3.97798196437342,0,0,0,1.18083977586008,0,0,4.96739342579722,0,0,0,2.23294250419171,0,2.15426897072099,0,2.19538479532856,0,4.05052560253884,0,0,2.45377404455101,0,0,0,4.62863465472095,1.46730933422481,0,0,0,0,0,0,1.18083977586008,0,0,2.45377404455101,5.44466626547531,3.22701828489201,0,0,0,0,0,0,0,0,2.38346246348715,0,0,0,0,5.26150274057191,1.18083977586008,0,0,0,0,5.30261641537583,0,0,0,0,0,0,0,0,4.93747316506311,1.63843657505509,1.63843657505509,0,0
3A,rural,0,0,0,0,2.03929611163511,0,4.0859307232971,0,0,0.8680918434674,0,3.28076049165407,0,0,5.05227413386602,0,0.8680918434674,0,2.36305080759428,0,0,4.37914269175604,0,0,1.13865649403874,3.26898854717695,0,1.13865649403874,0.8680918434674,2.83891524979106,0,3.87900379694712,0,0,3.1416350048081,0.8680918434674,0,0,0.8680918434674,0,2.28424589715966,0,0,3.22009677829281,0,0,0,3.03057596198883,0,5.66587703881979,4.22302320798839,4.55592183079145,0,0,0,0,0,0,0,0,1.59421147705389,0,1.30409847120367,0,0,4.79342766648416,0.8680918434674,0,0,0.8680918434674,2.13031016252192,5.40479014905181,0,0,0,0,0,0,0,0,3.03057596198883,0.8680918434674,2.97850456057863,0,1.13865649403874
6A,rural,0,0,0,0,1.65835762676158,0,4.33232154159192,0,0,0,0,4.35698399713115,0,0,5.37713455919341,0,0,0,2.60403867564708,0,0,3.81014926694429,0,0,0,2.34962995157084,0,0,0,2.06742183117454,0,3.77067564884681,0,0,2.39863989842004,0,0,0,1.27449303373419,0.995953456760713,3.70646550332808,0,0,0,0,0,0,2.9187509192196,0,2.31358657878985,5.61281435227767,3.65570369479126,0,0,0,0,0,0,0,0.995953456760713,1.65835762676158,0.995953456760713,0,0,0,3.82429092347827,0,0,0,0,1.56382542428094,5.37544305693466,0.995953456760713,0,0,0,0,0,0,0,4.55774689642474,1.27449303373419,3.48770441183305,0,0
098A,urban,0,0,0,0,0,0,4.44190347195211,0,0,0,0,3.80000171012817,0.872570657925279,0,5.54703328696965,0,0,0,2.49267850691759,0,0,4.30393599148645,0,0,0.872570657925279,1.77169039697107,0,4.07038518923888,0,3.05346052216011,2.24388600621393,4.33224183716816,0,0,1.99059046817228,0,0,0.872570657925279,0,1.72145524584871,3.37132443013978,0,0,0,0,0,1.42859554100857,2.01834172397491,0,3.00359383774032,5.56462479163725,3.11786554354663,0,0,0,0,0,0,0,0,1.85750274565914,0,0,0,0,3.14278948687547,0,0,0,0,0,5.19835544792409,0,0,0,0,0,0,0,0,4.42956518306052,0,2.61044514194546,0,0.872570657925279
