Sample	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ERR1135178	1508	63816	620	258	667390	158	151	20	91	56	25	3	303	9176	1514	1844	128	57	606	10314	746	2091	117	235	28030	390	1206581	4329	321	251	241	380	387	5586	216354	126133	1267	7846	420	336	1280	2476	52
ERR1135179	544	19346	615	106	458749	135	72	11	96	58	4	4	262	121927	918	1173	38	56	728	9792	643	523	183	364	7969	494	1223330	5605	77	363	101	101	265	2802	141767	26941	511	10865	487	344	1678	980	37
ERR1135180	1357	65602	808	345	465902	125	164	30	77	58	8	5	557	7933	1689	2235	163	81	827	10711	581	2345	162	337	29699	5675	915342	4712	338	345	351	975	465	6548	209374	43600	1685	8885	428	428	1859	2800	80
ERR1135181	1357	65249	758	318	411084	141	154	20	82	56	11	5	274	815	1594	2351	114	73	768	10199	547	2340	158	439	35077	12652	819345	4728	339	354	309	774	443	6153	204521	34274	2115	9673	376	408	1686	2801	82
ERR1135182	1485	66735	650	368	412770	138	122	41	67	29	5	5	298	680	1524	2367	123	67	642	9000	514	2552	110	216	27107	5504	688929	3821	293	354	295	644	421	6255	199693	20492	2813	6495	334	427	1395	3139	56
ERR1135183	1563	64910	720	357	495502	137	123	27	77	42	7	6	277	744	1857	2437	151	53	676	11245	531	2527	148	292	25654	23568	587327	4764	299	373	370	647	434	6537	204804	37036	2294	7607	476	381	1686	3276	51
ERR1135184	1216	51940	566	242	573378	131	106	16	69	40	20	10	288	846	1458	2213	122	56	658	9477	609	1905	126	278	21019	1404	1068883	4045	288	322	263	485	415	5569	166257	23499	1251	7568	368	362	1383	2284	52
ERR1135185	1153	57364	480	200	519305	159	85	41	81	33	8	6	340	441	1384	2314	92	47	526	7657	544	1692	76	177	8966	1435	1751285	3024	345	279	267	365	393	5592	478842	187429	1505	6202	284	274	1103	2229	62
ERR1135186	1295	51441	485	241	967621	231	112	27	116	23	18	4	313	973	1673	1666	79	93	387	9944	913	1651	104	228	6010	437	1824712	3042	315	214	219	185	366	5257	432127	4948	904	4133	347	292	982	2177	28
ERR1135187	2170	100056	768	419	457064	199	166	48	75	35	3	7	270	641	2100	2848	190	60	719	10383	557	3382	144	824	33853	3012	534449	2932	581	377	566	1635	603	10175	247658	21377	4283	5800	370	505	1406	5086	122
ERR1135188	1844	81161	831	411	436919	155	146	46	68	33	7	5	281	801	2022	2577	178	76	725	10676	479	3171	183	1255	18980	17222	589099	4134	464	449	399	837	557	8158	217958	27206	2993	7960	393	524	1609	3954	102
ERR1135189	1617	101279	720	312	219560	105	93	55	79	39	4	6	278	1120	1370	2628	128	46	552	8236	462	3182	103	252	22534	1755	762727	3481	410	311	309	760	515	7470	299206	19346	3132	7414	298	335	1410	2954	52
ERR1135190	1522	85442	710	295	378307	127	138	33	78	63	5	12	234	55711	1470	2201	134	81	673	9245	568	2648	162	366	56119	567	740843	4026	323	296	264	697	460	6810	216130	21737	3105	6987	317	344	1506	2811	80
ERR1135191	1022	67670	536	210	195416	79	91	22	45	44	7	2	153	1965	1055	1855	84	39	556	6202	389	1860	116	255	15755	1145	582925	2845	209	266	217	696	362	4995	269005	23132	4442	5125	261	224	1220	2032	51
ERR1135192	1438	83208	806	287	381498	120	122	33	73	58	5	7	265	3718	1533	2255	154	71	653	9165	552	2781	135	794	31108	1424	919931	4297	338	371	267	707	511	6540	231724	14011	3725	8722	359	383	1686	2595	89
ERR1135193	1507	67227	777	283	463622	104	130	37	81	57	8	9	397	18829	1678	2137	164	75	663	9369	519	1957	141	288	28276	361	1161083	4406	194	456	280	690	482	5825	248531	18954	3145	8979	416	526	1590	2620	76
ERR1135194	1255	94578	525	269	345988	118	80	33	40	21	2	4	244	32110	1411	2060	125	55	575	7072	500	2519	98	238	34089	270	733597	2541	289	195	265	749	425	5322	179425	14056	5178	4844	309	212	1087	2331	68
ERR1135195	1278	58900	698	263	297061	94	103	34	69	60	6	5	238	2855	1345	2019	116	54	609	8052	515	2251	123	754	30482	3190	601222	3821	276	286	248	491	460	5424	195921	21856	3353	8226	354	379	1549	2181	61
ERR1135196	1246	113484	484	215	567341	194	109	27	55	37	19	7	235	21070	1360	1841	102	68	375	7479	533	1978	125	343	6640	297	1661303	3268	233	225	208	7307	366	4964	449581	13083	2017	4742	249	339	1009	2019	51
ERR1135197	1554	82510	635	262	507261	234	203	27	93	50	19	7	275	51614	1675	2089	122	85	492	8902	637	2177	174	297	24099	436	1100873	3805	277	266	221	1147	492	5837	352657	15099	3239	6997	309	387	1398	2401	63
ERR1135198	1369	98777	530	277	357753	129	88	29	75	28	6	3	219	14948	1466	1956	110	41	478	7833	442	2350	115	242	13386	315	725165	19496	291	324	276	538	396	6357	627016	17478	2335	6951	414	294	1341	2959	67
ERR1135199	1037	49041	656	193	228908	88	102	28	74	37	1	3	209	902	1587	1830	91	90	768	8201	519	1634	138	287	14882	21174	673475	3937	267	328	269	700	388	5588	148370	50399	1514	6910	469	292	1712	2160	66
ERR1135200	1497	64632	786	274	437828	168	161	46	74	40	6	3	277	898	1734	2317	157	105	685	10496	627	2352	155	329	26019	11044	661006	4290	422	282	363	1225	447	7278	191441	59722	1924	7478	424	471	1601	3272	82
ERR1135201	1816	72400	945	280	507214	259	185	36	137	59	10	8	401	972	2112	2364	202	78	792	13446	686	2769	162	488	31337	1520	744121	4936	368	427	357	609	498	8249	371256	41753	2945	10015	586	537	1933	3161	70
ERR1135202	1367	63011	527	267	205095	115	92	65	69	15	4	2	176	841	1354	2098	109	53	555	7388	450	2335	90	279	15554	4891	474737	3024	353	272	282	1222	442	6209	156204	20438	1984	5828	295	312	1277	2667	68
ERR1135203	921	26775	666	169	359100	156	88	22	91	20	5	9	189	820	1337	1324	84	66	669	9274	514	819	98	304	10430	572	527456	3988	254	295	117	148	286	4165	136149	63924	769	6363	497	326	1556	1334	56
ERR1135204	1332	62586	539	278	218101	111	101	53	92	22	5	1	147	679	1519	1859	159	48	479	6827	353	2401	102	260	18298	12919	491202	2715	346	290	301	1067	351	6999	161362	20868	2351	4959	241	360	1169	3345	88
ERR1135205	1513	228055	357	256	937882	106	90	14	32	8	9	4	231	25538	1562	1703	134	66	328	7656	652	2243	84	195	10650	448	1318597	1676	377	225	235	566	413	5995	285182	13260	2188	2590	254	262	906	2306	38
ERR1135206	1679	72867	577	304	267114	100	104	32	83	31	3	6	192	568	1642	2329	110	45	441	7435	469	2390	110	257	9780	1807	679676	2541	434	285	276	545	546	6985	196129	26798	2236	3998	273	298	1310	2716	107
ERR1135207	536	13654	637	87	467965	121	84	4	65	86	1	7	156	548	946	832	44	23	587	8968	470	458	161	362	4750	448	477074	4113	85	264	85	65	204	2543	105954	31816	367	5607	401	268	1363	864	40
ERR1135208	1408	44238	606	245	622475	183	131	24	175	20	9	6	300	614	1592	1654	114	34	495	9580	761	1880	112	430	8506	1231	376078	2701	353	306	237	277	310	5689	160359	23977	955	4185	312	318	1343	2474	33
ERR1135209	1604	66177	699	332	353666	145	121	35	69	34	4	5	230	802	1722	2275	160	34	542	8325	407	2566	100	292	40951	876	468648	2817	400	258	372	633	488	7051	170618	24964	1707	4539	370	316	1328	3198	59
ERR1135210	887	24077	724	156	475396	199	147	17	67	56	12	7	181	852	1330	1336	109	46	726	9050	535	812	138	541	15257	879	445390	3988	162	386	156	151	289	3915	143477	25635	858	6400	411	333	1471	1740	85
ERR1135211	1699	73746	747	314	379506	159	207	40	110	53	13	4	305	690	1771	2445	156	62	709	11102	612	2629	134	364	21415	1487	632927	4047	404	343	364	1185	537	8040	355860	37427	2170	7768	424	383	1565	3789	73
ERR1135212	1954	83398	749	369	393768	193	183	32	82	42	10	19	331	838	2078	2647	234	63	673	10771	533	3291	143	463	36901	1348	661713	3889	533	309	524	712	581	8570	244619	22108	2425	7296	416	416	1647	4007	76
ERR1135213	2347	110343	836	522	440017	262	163	54	114	52	9	7	302	906	2215	3259	188	79	867	13238	709	3910	179	363	28606	51885	702885	4320	548	466	465	1056	652	9958	548324	47229	3357	6313	454	526	1849	5017	97
ERR1135214	1420	72870	420	246	574955	196	86	40	71	31	6	15	253	481	1559	3067	75	81	578	8146	612	1878	123	193	13118	1064	1675970	3007	334	240	273	1467	425	5473	185784	53840	1706	5365	308	301	991	2103	54
ERR1135215	1710	78643	526	233	772715	186	103	39	69	27	12	16	264	482	1906	2489	139	99	463	7728	615	2317	131	189	9726	610	1131677	2362	409	192	326	712	646	6724	192992	13856	1872	4128	364	232	1080	2963	55
ERR1135216	1364	75826	450	194	493385	154	80	32	81	29	5	20	261	461	1499	2651	90	62	472	7483	605	1921	114	132	9967	463	1000283	2739	331	219	295	958	482	5820	169860	46715	1626	6247	249	285	1153	2390	48
ERR1135217	1594	88982	429	256	550670	165	115	29	84	35	3	25	277	503	1545	2736	114	53	590	8140	528	2167	69	140	11725	595	1081653	2841	349	210	340	504	464	5876	179837	14906	1637	5764	264	273	1032	2477	28
ERR1135218	1457	90856	355	280	525144	156	99	32	73	36	12	12	234	515	1469	2949	113	57	636	8223	556	2066	92	167	10645	520	1113342	2883	380	219	330	418	420	5676	176626	14030	1588	5418	281	225	1120	2344	32
ERR1135219	1073	60115	528	236	264396	104	94	33	69	50	16	13	332	478	1165	2610	97	65	668	8014	472	1734	117	238	11142	837	1829889	3956	232	268	211	653	375	4865	243039	274255	1568	8492	287	298	1275	1990	72
ERR1135220	1203	56914	503	195	579513	169	295	29	63	43	13	7	454	93879	1353	1948	71	48	491	8658	618	1747	107	241	16338	386	765256	3991	243	189	204	260	369	5112	175708	9003	1348	6294	336	310	1045	1978	39
ERR1135221	1383	80804	376	205	1064335	192	97	38	80	28	12	20	253	459	1675	2639	77	100	424	8268	611	1625	58	214	7637	409	1393108	2171	301	212	261	1208	379	5144	221498	7772	819	2835	287	226	1037	2127	68
ERR1135222	951	46813	215	96	850012	130	40	33	87	22	4	6	131	41690	1262	1490	37	40	244	6246	496	1060	31	82	5916	379	763777	1329	204	121	196	350	329	3508	120456	7158	571	1622	203	122	482	1296	32
ERR1135223	1624	114833	512	278	480554	142	101	42	61	43	3	17	344	1442	1603	2800	133	63	811	8993	618	2301	121	192	40112	336	1531915	3741	382	296	355	1456	505	6516	273387	65195	1814	6695	510	293	1230	2707	70
ERR1135224	1828	133633	604	389	503541	160	132	54	100	60	10	14	401	63624	1897	4204	108	66	744	9359	511	3081	112	200	29766	1077	2306738	4164	521	336	333	532	623	8206	219703	21088	2810	8303	382	322	1391	3289	76
ERR1135225	1274	70676	455	218	438307	115	93	39	45	39	10	9	279	2048	1291	2618	96	48	424	7150	587	1732	73	184	38138	467	1131352	3087	301	202	223	812	377	5384	166933	33856	1088	4964	281	247	967	2161	45
ERR1135226	891	34331	443	138	778030	178	69	16	110	45	10	6	282	3360	1341	2032	62	69	559	8945	677	886	109	215	11780	509	1209712	4299	140	274	141	261	320	4025	148897	85983	842	7357	387	298	1171	1661	47
ERR1135227	1486	74536	398	187	781921	154	81	40	53	36	15	12	261	1521	1645	2885	69	130	491	8436	823	1647	79	185	13727	414	1864650	2765	289	223	235	271	408	5409	186280	88436	955	4171	474	240	979	2207	41
ERR1135228	1459	76096	468	227	675100	168	111	41	89	37	15	9	293	623	1710	2784	87	72	541	8765	745	1911	83	211	17265	1107	1269347	2968	361	244	259	801	385	6120	195892	184308	1446	5498	381	324	1000	2572	59
ERR1135229	1157	41583	775	181	541342	151	132	32	90	80	15	10	308	4195	1490	2503	108	81	1182	11623	987	1169	147	347	35398	479	1963474	5712	235	405	202	436	468	5124	172640	90098	1795	10975	688	416	1793	2117	57
ERR1135230	816	26171	725	142	495612	117	104	18	97	101	13	15	423	4610	1170	1796	70	76	837	10452	701	817	157	286	31323	640	842325	8217	134	356	125	195	345	3694	162303	182189	908	11228	579	330	1706	1468	71
ERR1135231	1003	43241	575	158	610264	198	96	38	75	69	15	10	341	1293	1250	1578	107	67	843	10644	732	1325	106	250	18460	1146	1294878	4791	234	261	193	302	322	4542	150525	55028	830	7885	454	341	1256	1797	44
ERR1135232	1218	59531	556	191	554995	141	71	37	68	56	14	9	252	1325	1503	2110	83	102	573	8343	660	1690	98	239	40501	628	1249890	3303	305	231	218	574	359	5496	197088	50590	1132	6149	358	245	1123	2197	50
ERR1135233	676	20468	480	103	558822	106	72	23	67	64	9	7	281	1662	1035	1167	71	71	618	8256	832	583	105	264	15645	417	1092888	5734	130	247	131	349	304	3339	147358	45197	564	7395	390	325	1099	1289	34
ERR1135234	1538	64018	624	181	611178	156	122	37	67	69	16	6	350	11782	1492	2556	81	91	680	10361	727	1944	159	200	27202	472	1362209	4573	350	347	254	438	511	5773	278734	58364	1351	8181	402	353	1416	2286	56
ERR1135235	1321	63559	819	274	417770	135	138	25	106	84	15	29	460	6118	1529	2569	111	85	888	11516	688	2035	156	290	71115	1140	949971	6733	252	406	258	658	520	5832	220079	178892	1764	11484	636	375	1955	2324	77
ERR1135236	1012	42595	442	176	637634	180	111	34	58	25	13	10	304	1500	1244	1606	68	57	463	7777	702	1235	104	191	12968	780	1269424	3180	193	161	172	319	327	4198	139300	38350	734	4863	311	324	914	1677	43
ERR1135237	1269	53567	600	201	586897	115	103	25	81	63	14	16	283	756	1360	1893	104	83	698	9691	670	1657	120	230	28856	750	1096538	3918	236	283	201	566	402	5258	189788	57435	1278	8867	468	314	1228	2131	50
ERR1135238	1032	46350	514	173	491571	130	92	32	59	58	9	6	286	34936	1290	2060	107	63	561	8298	524	1489	100	235	19531	914	957592	3357	250	274	199	363	361	4692	189065	48625	1161	6223	400	270	1011	1761	51
ERR1135239	941	61742	543	190	440970	115	83	17	56	69	5	7	242	13712	1200	1656	101	45	669	8491	572	1241	89	242	24717	1088	985146	3662	201	247	186	351	328	4362	136164	56682	1036	6881	446	289	1124	1569	42
ERR1135240	1688	74709	427	249	850176	164	100	57	47	29	20	10	261	2309	1766	2598	80	98	446	8205	718	1955	55	137	8881	509	1445504	2287	365	205	285	283	447	6071	192587	11046	994	3561	321	281	952	2698	55
ERR1135241	1784	71194	365	234	972891	156	60	53	79	32	9	5	266	4359	1873	3452	96	91	398	8334	674	1832	24	165	7722	357	1609138	2307	319	206	238	287	409	5485	166999	15410	953	3122	341	221	893	2239	44
ERR1135242	1395	71626	519	227	634558	152	84	24	97	43	13	12	327	747	1610	2761	106	72	550	8437	555	1836	99	286	27803	540	1735560	3370	274	236	217	549	425	5359	181900	40173	1206	5495	401	244	1077	2130	61
ERR1135243	1579	64315	461	224	854655	188	63	48	77	43	8	9	264	5873	1745	2653	74	74	439	8414	692	1772	60	143	9315	488	1420906	2648	282	182	300	306	430	5429	176502	28742	1001	3864	322	216	932	2200	48
ERR1135244	1245	42662	391	152	840973	210	77	37	109	39	17	13	248	5248	1537	2093	61	81	514	8768	764	1112	71	192	9945	611	1764356	3244	228	188	188	167	332	4576	196812	36902	770	4747	363	320	986	1787	43
ERR1135245	1241	72878	514	231	225828	105	115	33	63	52	10	15	254	37885	1332	2839	86	56	636	7367	502	1858	125	180	26380	3244	995016	3511	290	267	252	648	383	5420	173965	219533	1952	7707	503	242	1169	2264	67
ERR1135246	1357	87493	539	229	702683	201	132	30	84	51	22	6	332	2577	1565	2192	108	73	764	10231	712	1894	121	199	17767	819	1811773	4152	343	239	245	294	406	5567	193554	63639	1246	6767	391	405	1254	2294	66
ERR1135247	1357	68668	594	203	651624	198	120	23	104	59	11	7	394	2642	1578	2284	102	93	736	11067	799	1767	143	253	13420	576	1408980	5212	261	300	224	420	443	5816	228660	131558	1384	8467	590	384	1402	2233	58
ERR1135248	1478	93876	720	260	634348	161	137	52	96	76	14	13	490	7139	1658	2484	118	76	865	11315	751	2100	140	248	61017	742	1730959	4896	354	348	262	424	412	6583	203627	58156	1407	9454	516	420	1464	2524	65
ERR1135249	1273	48742	534	163	733803	223	130	30	118	40	16	5	321	27056	1535	1853	67	69	636	9682	892	1367	145	211	28870	609	1550852	4199	222	232	235	410	398	5145	215531	748899	966	6513	470	430	1118	1917	64
ERR1135250	1262	50920	657	215	312688	148	145	24	122	49	7	12	318	721	1430	2070	101	85	641	8980	527	1800	106	265	26414	30888	596421	3572	303	383	292	738	345	5746	163464	27460	1502	6732	371	349	1465	2321	61
ERR1135251	1130	51755	609	250	219215	124	109	26	69	56	0	4	242	696	1322	1759	88	59	513	7920	462	1791	135	231	30178	35256	481318	3157	338	307	319	951	352	5482	146426	20661	1323	6483	348	315	1256	2428	50
ERR1135252	1485	70890	658	304	187821	150	116	47	94	38	6	1	257	610	1442	2514	144	57	508	8284	508	2550	139	261	30426	4227	586647	3339	323	333	339	1139	390	5888	244212	13994	3506	6861	362	321	1398	3426	69
ERR1135253	666	21161	739	116	301274	146	113	14	116	73	5	5	311	868	1161	1291	58	65	933	9769	588	724	184	274	13600	11916	515083	5325	103	385	145	344	305	3721	152430	35134	751	9433	522	317	1741	1865	57
ERR1135254	759	23615	681	131	375218	154	87	16	129	49	13	8	223	808	1199	1363	75	44	702	9716	566	862	116	325	19537	11463	555346	4582	175	391	189	175	297	3995	131476	39943	705	8532	442	341	1561	1542	39
ERR1135255	1309	55445	724	209	426819	180	88	25	96	57	6	5	258	663	1523	1937	146	79	694	10346	486	1989	127	320	51222	3844	549834	3892	283	352	332	596	381	5886	206704	38252	1580	6520	442	394	1622	2821	54
ERR1135256	1197	50931	432	186	741615	184	91	31	104	29	20	3	302	624	1488	1522	92	46	492	8035	603	1594	89	279	12188	539	948722	2610	262	177	273	426	393	5188	165958	12721	1066	4503	261	261	1053	2266	56
ERR1135257	1114	45489	641	166	590039	177	95	32	67	63	12	5	302	1042	1448	1696	155	46	618	10104	534	1598	130	353	18153	787	757399	3447	252	323	200	224	395	5193	177635	20920	1336	6182	402	327	1356	2312	29
ERR1135258	1363	60298	747	255	277927	138	171	32	137	59	6	3	305	779	1513	2130	138	87	817	10237	547	2113	156	266	20028	38098	635054	4809	271	419	318	592	360	5837	212858	31427	1922	9113	523	381	1721	2562	61
ERR1135259	1547	70208	681	319	330453	93	104	31	79	47	1	2	175	639	1608	2224	250	36	594	8708	487	2615	113	232	29548	336	573528	3813	363	332	332	3342	415	6519	240080	8891	2255	9591	305	378	1298	3193	80
ERR1135260	1304	53427	691	336	367916	123	100	27	68	60	7	8	209	674	1560	1991	159	35	735	9381	601	2012	176	363	28804	363	688893	5149	249	320	260	1362	377	5586	192456	8097	1820	12112	445	420	1620	2604	82
ERR1135261	1163	45450	627	210	520437	143	115	31	55	42	17	4	207	594	1385	1688	129	57	602	8666	553	1826	117	249	14032	312	1019629	3673	244	245	222	587	289	4722	153949	9634	1085	6115	321	374	1210	2006	47
ERR1135262	1381	56524	746	326	471826	135	115	18	85	54	6	6	188	851	1767	1979	217	56	737	10298	636	2420	163	318	26686	364	950236	4913	280	358	304	420	448	6226	187830	9364	1450	8726	362	524	1641	4139	50
ERR1135263	1223	39312	557	179	868195	192	115	35	104	44	32	7	220	13039	1467	1674	100	80	532	9471	727	1547	127	348	10464	385	828494	3996	213	192	172	171	304	4695	184283	9350	792	9683	330	323	1076	1832	47
ERR1135264	1083	34833	683	177	666489	102	118	26	74	37	8	13	215	1345	1247	1634	119	58	579	9411	633	1438	135	315	31124	345	650505	3702	241	189	174	211	297	4234	145727	11430	810	7846	311	318	1147	1692	29
ERR1135265	1397	46516	716	175	764694	121	112	26	90	41	12	9	193	1772	1512	1940	122	78	606	9766	617	1900	139	304	13581	378	742869	3830	260	199	233	206	327	4990	154929	10261	950	10794	324	304	1226	2049	32
ERR1135266	1040	41584	666	192	686696	141	92	37	103	54	18	12	303	5536	1420	1857	101	81	659	10690	1059	1370	136	338	45658	328	1444749	5271	208	282	189	473	439	4791	168288	17251	942	10335	422	351	1431	1997	38
