Sample_ID,sample_type,Thermi,Actinobacteria,Bacteroidetes,Cyanobacteria,Deferribacteres,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,TM7,Unassigned,Verrucomicrobia
ST00136,stool,0,3.49839413698484,5.43860829074757,0,0,0,5.7998294837095,0,0,4.27340420763444,0,0,4.69208512116233,2.42072654215297,4.35106049139302,2.96361557210901
ST00138,stool,0,0,5.31586720494668,0,0,0,5.87912774294109,0,0,2.90237645712122,0,0,3.49024454106937,0,4.5066117666927,0
ST00139,stool,1.53159411388922,3.57086585233888,5.48083760515261,1.8261917186723,0,0,5.82575476039039,0,0,3.14219506269737,0,0,0.966247590439343,2.31661265380734,4.33522539408485,2.93411171286464
ST00141,stool,0,3.59407894991185,5.78361531194749,1.41376935874058,0,0,5.57474455812775,0,0,3.82811607544766,0,0,0,0,3.74214016817234,2.76849637976324
ST00142,stool,0,4.5839452530043,5.87639967001515,1.89785166898699,0,0,5.25427884246841,0,0,4.04708923485279,0,0,1.22032184537815,1.22032184537815,4.26636031904156,1.22032184537815
ST00143,stool,0,3.41041234250051,5.52075858390783,2.89972316349546,0,0,5.80491964957986,0,0,4.11637178710351,0,0,3.62094958494792,1.30828952401838,3.85465428901352,3.37293575159704
ST00146,stool,0,4.04533728877038,5.59968264250076,0,0,0,5.74122514566287,0,0,4.12680363922474,0,2.24841569922642,3.86926559144406,2.94542034902494,4.25458195151467,2.24841569922642
ST00150,stool,1.50210162047097,3.74517077682841,5.57019885239529,3.68696103507163,0,0,5.73230280821306,0,0,4.38768813416466,0,3.28777912669349,3.35370845620405,2.93068123320206,4.03232300545506,4.57659853296045
ST00151,stool,0,2.82264457699801,5.65914390306691,0,0,0,5.72650633433853,0,0,3.87429434422205,0,0,0,0,3.46579550025918,1.16687786857314
ST00152,stool,0,3.23350903861947,5.64833400004355,0,0,0,5.73498760681559,1.7931467469879,0,3.8804508524932,0,0,0,0,3.382874242284,1.21157360287775
ST00159,stool,0,4.03329816919075,5.53865260582334,0,0,0,5.4827690921727,5.42566919611385,0,4.60999812353454,0,0,1.62094379296936,1.85950366836153,3.4572198824548,4.46867307099234
ST00161,stool,0,3.58258795590909,5.66807497694849,3.15438615500583,0,0.908158326399939,5.70789916409535,2.30022462492436,0,4.12967144467306,0,1.9695129151004,3.14123407399813,2.05881514616301,3.36562055521988,3.0444024853591
ST00162,stool,0,3.85166386834572,5.52978659370327,1.82586351630081,0,0,5.76084873149785,1.97881555695639,0,4.47966712671818,0,3.7852069095075,3.1448043911897,2.57744198014258,4.56463918874254,3.43977205271892
ST00163,stool,1.80758325618943,3.36578825959326,5.50383761249345,1.86472888403461,0,0,5.82140024404118,0,0,3.57799682677268,0,1.44853272041226,1.66415241182777,2.95614873142631,3.78696865677204,3.68167005987453
ST00166,stool,1.23930335691419,3.75890465733355,5.56667922554519,3.62776158085432,0,0,5.76578919845376,0,0,4.10787181355107,0,0,3.73539340026967,0.96260973938876,4.29722552556603,1.69940811455845
ST00167,stool,1.0948847505795,3.31095436467198,5.16955133478516,0,0,0,5.85388648565442,0.981428199616946,0,5.12657375588498,0,0,0.827428854155802,1.58190408741069,3.27948592587513,1.95266795044257
ST00172,stool,1.05572561567685,3.69842381504241,5.75980729688904,0,0,0,5.60758502990717,1.62814719786847,0,4.0905922414204,0,0,1.21889328351147,2.08006525068699,3.33815924122583,1.33722308768174
ST00178,stool,0,3.54584271389653,5.46418901474878,2.28670635304581,0,0,5.83703384963436,0,0,4.21133965507057,0,0,0,0,3.23287872748784,0
ST00183,stool,0,3.85237324322171,5.69733070706203,3.09339672023761,0,0,5.67655953636106,1.43711903874369,0,3.37052354737223,0,0,1.82542912951019,2.07780682996045,4.079473013082,3.61417866039055
ST00184,stool,0,3.74479641838891,5.82836290180372,1.9352089088605,0,0,5.48391602619606,0,0,4.14068831198974,0,0,0,0,3.35152355894785,1.34801654384257
ST00193,stool,1.46290065336261,3.28988628098516,5.54201122404209,1.46290065336261,0,0,5.80643719898747,0,0,3.83955839470651,0,0,0,2.10432022089505,3.34824058009715,0.903545543212289
ST00194,stool,0,3.43393919063249,5.7472934780072,0,0,0,5.59566978643093,1.55670064611137,0,4.51483770865953,0,0,0,2.20043619963317,4.05102120966371,2.09207315879414
ST00205,stool,0,2.91469105703901,5.61068532465918,1.56078135686424,0,0,5.75974473714733,0.65679928624908,0,3.28926005101864,0,0,1.56078135686424,1.06490538666815,4.14552219287622,1.67196055539152
ST00207,stool,1.26432694539655,3.32896037579122,5.72368481339641,1.57621983152454,0,0,5.4943647332523,1.5037414138604,0,5.18457596837556,0,0,0.467019349209186,2.24729348928642,3.44731071357814,2.62328255489933
ST00222,stool,0,3.83194524786417,5.75618674631934,1.83080644604829,0,0,5.54676606402981,4.61779847952464,0,4.28281850500469,0,0,0,0.970427989305884,3.42110869551891,3.86083597926632
ST00223,stool,0,3.32888234926257,5.69204760657475,1.35838977423375,0,0,5.69354733804071,0,0,3.7719749938579,0,0,0,1.19170983181835,3.78043756179574,0
ST00226,stool,1.36106804399838,3.27036182494272,5.51466973160418,2.04463939175666,0,0.731831778042043,5.81858833961672,0,0,3.64112145439261,0,0,3.28840874745315,1.43708595111413,3.58785097761797,3.33227385025131
ST00227,stool,0,3.78309193481492,5.80771626862112,0,0,0,5.53170440357407,0,0,3.01443279652801,0,0,0,0,4.01944905566335,0
