Sample_ID,sample_type,Acholeplasmatales,Acidimicrobiales,Actinomycetales,Aeromonadales,Alteromonadales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Chromatiales,Clostridiales,Coriobacteriales,Deferribacterales,Deinococcales,Desulfobacterales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Fibrobacterales,Flavobacteriales,Fusobacteriales,Hydrogenophilales,Lactobacillales,Legionellales,Mycoplasmatales,Myxococcales,Neisseriales,Nitriliruptorales,Oceanospirillales,Pasteurellales,Pseudomonadales,Puniceicoccales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Selenomonadales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synergistales,Thermales,Thermomicrobiales,Thermotogales,Verrucomicrobiales,Victivallales,Xanthomonadales
ST00159,stool,0,0,2.61513246291334,1.51365109498742,0,0,2.38652797296701,5.53952321987434,0,4.12168957769514,0,0,0,0,5.27903513161655,4.00758302711944,0,0,0,1.06236329326215,4.44083249495875,2.91563536785566,0,1.06236329326215,5.422999729833,0,4.96078635435709,0,0,0,0,0,0,1.93122124934985,0,0,0,0,0,0,4.39978972764848,1.06236329326215,0,0,0,0,0,0,4.4706508257385,0,1.34416368459559
ST00161,stool,0,0,2.54479857384623,0,0,0,2.82593178711034,5.67098775214666,1.59105157394359,3.92263943560291,2.03099102984574,0,2.4139566472502,0,5.62229951800242,3.77017564894257,0,0,0,3.28585885793089,2.22581269492381,3.65614234754004,0,2.5721609733719,2.3451643008954,0,4.18011823699292,0,0,0,2.13923593857772,0,0,3.35520820229991,2.03099102984574,1.73398615726891,3.28756443991319,0,0,0,4.83461456972151,1.20950246417348,0,0,2.13923593857772,0,0,0,3.02422594265519,0,1.66837282767027
ST00162,stool,0,0,3.13259575817249,0,0,0,3.30530423492118,5.52974643458337,0,4.47567651656123,1.7158305318369,0,0,0,5.69188616618336,3.78809121239835,0,0,0,3.03820565184549,1.96737367436509,4.02924006260437,0,1.04905755685283,1.96737367436509,0,4.85225438525283,0,0,0,0,0,0,0,1.49951645874138,0,2.18734566427712,0,0,0,4.57191669407257,1.62100429699158,1.49951645874138,0,3.80714232984491,0,0,1.04905755685283,3.45418081810983,0,0
ST00163,stool,0,0,2.94443796327622,0,0,0,3.41199293248857,5.50690163458512,0,3.28241757041757,1.6744789230547,0,0,0,5.74139103919255,3.15404594369355,0,0,0,2.77985545518322,3.05650709811456,4.8413459335933,0,1.01079495773595,1.01079495773595,0,4.07210797146074,0,0,0,0,0,0,1.57986030101886,0,0,2.58014779287736,0,0,0,4.50743870130621,0,1.29010934915425,0,1.45871388649129,1.81797333644086,0,0,3.69058494087797,0,0
ST00166,stool,0,0,1.83777382729704,0,0,0,2.3773113759011,5.57252623954708,2.2097689921236,4.08095795257008,0,0,0,0,5.72556848044538,3.80519082446691,0,0,0,2.9969512657503,1.93342005815355,4.24745845521505,0,0.719276246650737,0,0,4.13639760411822,0,0,0,0,0,0,1.54300816057565,0,0,2.06243934173607,0,0,0,4.6349703456907,0,0,0,0.97674749065604,1.25424209749881,0,0,1.71493325610439,0,0
ST00167,stool,0,0,2.57791561555347,0,0,0,2.97516639368089,5.16781209754084,0.99319751605893,4.46700121173279,0,0,0,0,5.83337475528002,3.2421267874003,0,0,0,4.1098229605979,4.96952284419001,3.39555860263642,0,0,0.838621911413819,0,3.63162437659818,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4168105612143,0.99319751605893,0,0,0,1.10696503693403,0,0,1.97928546454725,0,0
ST00172,stool,0,0,1.70828515018665,0,0,0,2.69572275378022,5.75750132309528,1.70828515018665,2.05037141896784,0,0,0,0,5.56199751492691,3.91341758079472,0,0,0,2.00504342094133,4.10113421531253,3.82614805736537,0,1.9267198878274,1.8310932764103,0,3.20812378085168,0,0,0,0,0,0,0,1.24784263017522,0,2.40040008005615,0,0,0,4.51477349113533,0.817227599604684,0,0,0,1.08385308217402,0,0,1.45976119560386,0,0
ST00178,stool,0,0,1.4293738231361,0,0,0,2.45582245513435,5.4431840565678,2.01914236839496,4.21911288548053,0,0,1.89558665348494,0,5.78992207324431,3.57138571559052,0,0,0,0,0,4.12474650513655,0,2.01914236839496,0,0,3.15357442180089,0,0,0,0,0,0,0,0,0,2.01914236839496,0,0,0,4.84700250388772,0,0,0,0,0,0,0,0,0,1.4293738231361
ST00183,stool,0,0,2.55836090208447,0,0,0,3.10631317643625,5.70243952724975,0,1.99173238683973,1.4585917409052,0,0,0,5.59164930515321,3.90190750495226,0,0,0,3.24280414012867,2.18641443709625,4.21739340381121,0,2.22396732681537,1.4585917409052,0,3.97282012746438,0,0,0,0,0,0,1.62961774299334,2.09989209331828,0,1.75200152358197,0,0,0,4.80229829058065,1.4585917409052,0,0,0,0,0,0,3.6061857713927,0,1.4585917409052
ST00184,stool,0,0,1.53554266364779,0,0,0,2.16251985808355,5.83013986483359,0,4.14701329348907,0,0,1.53554266364779,0,5.41276879821704,3.7549253104371,0,0,0,0,1.08302022376087,3.60559331622798,0,0,0,0,3.01448218688475,0,0,0,0,0,0,0,0,0,3.54401365516633,0,0,0,4.5622584426483,0,0,0,0,0,0,0,1.36573295847408,0,0
