Sample_ID,sample_type,Barnesiellaceae,Cerasicoccaceae,Mogibacteriaceae,Odoribacteraceae,Paraprevotellaceae,Tissierellaceae,Weeksellaceae,0319-6G20,Acetobacteraceae,Actinomycetaceae,Aerococcaceae,Alcaligenaceae,Alicyclobacillaceae,Anaeroplasmataceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Bogoriellaceae,Bradyrhizobiaceae,Brevibacteriaceae,Brucellaceae,BS11,Burkholderiaceae,Campylobacteraceae,Cardiobacteriaceae,Carnobacteriaceae,Caulobacteraceae,Chitinophagaceae,Christensenellaceae,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Deferribacteraceae,Dehalobacteriaceae,Deinococcaceae,Dermabacteraceae,Desulfovibrionaceae,Dethiosulfovibrionaceae,Enterobacteriaceae,Enterococcaceae,Erysipelotrichaceae,EtOH8,Eubacteriaceae,F16,Flavobacteriaceae,Fusobacteriaceae,Gemellaceae,Halomonadaceae,Hyphomicrobiaceae,Intrasporangiaceae,Lachnospiraceae,Lactobacillaceae,Leptotrichiaceae,Leuconostocaceae,Methanobacteriaceae,Microbacteriaceae,Micrococcaceae,mitochondria,Moraxellaceae,Mycoplasmataceae,Neisseriaceae,Nocardiaceae,Nocardioidaceae,Oxalobacteraceae,Paenibacillaceae,Pasteurellaceae,Peptococcaceae,Peptostreptococcaceae,Phyllobacteriaceae,Planococcaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Propionibacteriaceae,Pseudomonadaceae,RF16,Rhizobiaceae,Rhodospirillaceae,Rikenellaceae,Rs-045,Ruminococcaceae,S24-7,Sinobacteraceae,Sphingobacteriaceae,Sphingomonadaceae,Spirochaetaceae,Staphylococcaceae,Streptococcaceae,Synergistaceae,Syntrophorhabdaceae,Thermaceae,Turicibacteraceae,Unassigned,Veillonellaceae,Verrucomicrobiaceae,Victivallaceae,Xanthomonadaceae
SW00026,swab,5.02859225419584,0,3.25590480335188,0,2.81499368213554,4.43846875222315,0,0,0,2.8294497032353,1.08109152362952,4.03429903355318,0,0,4.60945270009266,5.58257854575108,0,0,0,0,0,0,0,3.96050382256356,0,0,0,0,2.54985234039946,4.04783648377236,0,3.42924414886099,2.78455271747779,0,0,0,0,4.08648087124611,2.79236531849458,2.60086879437921,1.53350130265226,3.52361323902733,0,1.08109152362952,0,0,3.65635588957561,1.65524984493614,0,0,0,5.14997615329452,1.08109152362952,0,0,0,0,0,0,2.00206273741682,0,0,0,0,0,0,2.30092615464083,0,0,0,0,3.92888858735027,4.19056188448967,1.82812730195445,1.75023443200048,1.08109152362952,0,0,0,4.59236787357473,0,4.87046339758142,1.08109152362952,0,0,0,0,0,4.06552929676918,0,0,2.95776897174669,0,4.84816688387778,4.3315219866815,0,0,1.53350130265226
SW00027,swab,0,0,2.34921808326508,0,4.29505270205511,2.57028876911143,0,0,0,2.34921808326508,0,4.13969347863762,0,0,1.87596637454852,5.03211969893184,2.17409744777262,0,0,0,0,0,0,0,0,0,0,0,2.94981805967143,3.33274894710602,0,3.74528839173153,0,0,1.87596637454852,0,0,2.34921808326508,0,0,0,4.41916885459718,0,0,0,0,0,0,0,0,0,4.97566382725959,2.77397047754423,2.47367069339459,0,0,0,2.34921808326508,0,0,0,0,0,0,0,0,1.87596637454852,2.77397047754423,1.87596637454852,0,0,1.87596637454852,5.57874103999003,0,0,0,0,0,0,4.2165284033159,0,5.31947522349214,0,0,0,0,0,0,4.19239623095959,0,0,0,0,4.62220786232469,4.78608336820574,3.52349168707023,0,0
SW00028,swab,2.48780855195439,0,2.61017800718024,2.82215814257082,1.41527882727767,5.35451211739145,0,0,1.70788164304775,3.88439047905453,3.65543203718102,2.41067184293309,2.1792925381345,0,5.36974415037693,4.7671560695977,0,1.50883756549569,0,0,0,0,1.29586871378509,3.08880790515749,0,1.41527882727767,0.860611894532713,1.80308641804828,1.29586871378509,3.30156462393754,0.860611894532713,3.22942314920317,4.0676117531277,0,0,0,0,2.67218380672583,0,3.74075928122976,0,3.44763068945432,0,0,0,0,4.15072100772287,0,0,0,1.13062793758436,4.04273565335154,3.86221034075506,0,0,0,0,1.13062793758436,0,3.10189268891907,0.860611894532713,0,0,1.41527882727767,0,1.29586871378509,0,0.860611894532713,4.11948279664203,0,1.29586871378509,4.10201320166022,4.16729511998533,2.37780474582175,2.32971408588539,1.29586871378509,0,1.97689356089309,0,2.99529404638803,0,4.00036108953318,0.860611894532713,0,0,0,0,0.860611894532713,5.5038373680155,0,0,3.7962671421094,0,4.39740563748591,3.71952458163394,0,0,1.13062793758436
SW00029,swab,0,0,4.06331687027315,3.59694388302219,3.17402292660172,4.63429697323598,0,0,0,3.76817914992933,0,4.08627858433862,0,0,3.93510339156402,4.93214418689595,0,0,0,0,0,0,0,3.48987966556674,0,0,0,0,3.74015536387826,4.65339515556588,0,3.07143815426522,3.43085535440821,0,2.19876505891591,0,0,3.14244589558499,0,2.88082685842663,0,4.01995853369065,0,0,0,0,2.12013306859188,3.23102562156297,0,0,0,4.92463776416449,0,0,0,0,0,0,0,1.90047442163289,0,0,0,0,1.90047442163289,0,0,3.41365983084653,1.72710535041389,0,0,4.60028261607942,4.91960601738695,0,0,0,0,0,0,4.48082924935131,0,5.16160493372412,4.43448857913364,0,0,0,0,0,4.11945803367272,1.72710535041389,0,2.41951320873774,1.43414101435749,5.48254105754594,4.41394745956638,0,1.90047442163289,0
SW00030,swab,3.7971167825684,0,2.43717570471182,2.90501442367401,0.938516282219117,2.15557506741233,0,0,0,2.35709205093462,0,3.93190329810039,0,0,2.54460979150503,5.54733679497444,1.55095797046557,0,0,0,0,0,0,2.13161480182713,0,2.13161480182713,0.938516282219117,0,3.12373018332658,3.09522127265515,0,3.62896915599493,0.684842274365716,0,0,0,0,2.95030253828108,0,0.684842274365716,0,3.46242405829038,0,1.86899306383929,0,1.55095797046557,1.09760074841817,1.38093073393638,0,0,0,5.27868908711464,2.00362898433192,0,0,0,0,1.890975755745,0,0.938516282219117,0,0,0,0,0,0,3.37690140129644,0,1.21377964592733,0,0,4.01829873829988,2.05060787390065,0,0,0.684842274365716,0,0,0,3.90722038208024,0,5.34479701648939,0,0,0,0,0,0,5.12776532293501,0,0,0,2.17828226332752,4.27507792947026,4.53270412666389,0,0,0
SW00031,swab,2.58582127438709,0,0,0,0,4.06665009765424,0,0,0,2.11094839266604,0,4.35310338238908,0,0,4.01070381426349,5.69009022319107,0,0,0,0,0,0,0,2.7104781441653,0,0,0,0,0,0,0,4.08533074216945,0,0,0,0,0,0,0,4.64916043856659,0,3.22177550423236,0,0,0,0,2.58582127438709,0,0,0,0,5.32294667045127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10791033108045,0,2.11094839266604,0,0,4.4578346055124,2.41029320077091,0,0,0,0,0,0,3.31190326546203,0,4.81086954419625,0,0,0,0,0,0,2.80721894922331,0,0,0,0,4.79599822193374,4.54691647435635,0,0,0
SW00032,swab,1.51378428528737,0,3.38126583581055,3.70447744433836,0,3.74338815907538,0,0,0,0,0,4.00137424546634,0,0,4.55946828276328,5.24791896213297,1.51378428528737,0,0,0,0,0,0,0,0,0,0,0,2.94791962264824,3.03215409512043,0,3.43994867154075,2.1057494485477,0,2.20197805624113,0,0,3.45466667161521,0,3.36378252209999,0,3.50472893255005,0,2.28070443739733,0,0,1.80811053431495,0,0,0,0,5.28410609000246,1.80811053431495,0,0,0,0,0,0,2.45603652800825,0,0,0,0,0,0,0,2.88105442972594,0,0,0,3.98175961204784,2.5805951821644,0,0,0,0,0,0,4.26147128819734,0,5.56311798971793,0,0,0,0,0,0,3.54571829876303,0,0,2.91577260120106,2.20197805624113,5.18798178558548,2.67727698593258,3.54178912889252,1.80811053431495,0
SW00033,swab,2.18122621460128,0,0,2.65643575786471,3.54020852829399,3.35463871514455,0,0,0,0,0,3.50071190987246,0,0,4.04762612262046,5.43961992946166,0,0,0,0,0,0,0,2.48082321616932,0,0,0,0,0,3.92659493929373,0,0,0,0,0,0,0,0,0,2.65643575786471,0,4.75928801775528,0,0,0,0,0,0,0,0,0,5.63243876557469,0,0,0,0,0,0,0,2.18122621460128,0,0,0,0,0,0,0,0,2.18122621460128,0,0,0,3.57641068549128,0,0,0,0,0,0,2.87790115329692,0,5.19371801801351,0,0,0,0,0,0,0,0,0,2.78113493776578,0,4.63168396408008,3.60982590911031,0,0,0
SW00035,swab,1.71141987464681,0,2.57910379497133,0,4.12617470452246,5.04768536383877,0,0,0,3.10977395668347,2.57910379497133,4.0353748438124,2.30710295647826,0,5.16364687116434,4.97763590719165,0,0,0,0,0,0,0,3.97940369511037,0,0,0,0,2.5171319556922,3.07433034355987,0,3.27133065261996,3.76366903346484,0,1.71141987464681,0,0,3.29418161149594,0,0,0,4.23884814937821,0,0,0,0,3.84908586486745,3.5418701721909,0,0,0,5.00555619155944,0,0,0,0,0,2.00820901806474,0,2.86485758236556,0,0,0,0,2.40358449440447,2.00820901806474,3.06499827325779,2.54922232608183,4.32668281969639,0,0,4.70116433047423,4.81567551010061,0,0,0,0,1.8846885051404,0,3.86879272631162,0,5.08220546162263,1.71141987464681,1.41874933475514,0,0,0,0,4.81867981938488,0,0,3.64500276563755,0,5.01157168534274,4.45496003229966,3.2533671061351,0,0
SW00036,swab,2.94754916019431,0,3.21616823937945,3.34519504283963,2.10538147628076,4.94706374537538,0,0,0,1.80774542528389,0,3.86917536552067,2.28033550071277,0,5.74119898330225,4.77406596406014,0,0,0,0,0,0,1.80774542528389,0,0,0,0,0,2.7048784891419,4.16268850120544,0,3.50003815370884,2.7048784891419,0,0,0,0,3.39217148705687,0,3.86544799900164,0,3.60721808271265,0,0,0,0,3.21616823937945,3.61394981472655,0,0,0,4.65402996654691,2.10538147628076,0,0,0,0,0,0,3.53345173693525,0,0,0,0,0,0,3.18142813317824,0,4.0910006360786,0,0,3.38089510926967,2.58022527599366,3.29251400131929,1.80774542528389,1.80774542528389,1.80774542528389,0,0,3.38089510926967,0,4.79701138892216,2.28033550071277,0,0,0,0,0,4.70402937611438,0,0,4.23070861596382,2.10538147628076,4.59751610865274,3.98849612208201,2.58022527599366,0,0
SW00038,swab,3.24075603648088,0,3.58907301848343,3.55804707128632,4.05088105264996,4.12659558604936,0,0,0,0,0,4.60369520819082,0,0,4.19847264362334,5.34510060392982,0,0,0,0,0,0,0,0,0,0,0,0,2.12979612170082,0,3.42775535455918,3.85901698593205,0,0,0,0,0,3.35720290141686,0,3.89747014575745,0,3.71771094220317,0,0,0,0,2.72943363342162,0,0,0,0,5.32549705923433,3.69485255600038,0,0,0,2.42921263327897,0,0,0,0,0,0,0,0,0,2.72943363342162,2.8261816663303,3.63181451102188,0,0,4.061099319503,4.59344183224126,0,0,0,0,0,0,4.25043917591962,0,5.23984032927238,2.12979612170082,0,0,0,0,0,5.00104928696366,0,0,2.72943363342162,0,4.82379899565018,4.48068593430911,2.72943363342162,0,0
SW00039,swab,2.25773472489761,0,3.74909672059414,3.22562414180609,0,4.0615466336771,0,0,0,2.75669247132244,2.47862276997751,4.00356007109483,1.78538537141692,0,4.42950188072247,5.13500135530635,0,0,0,0,0,0,0,3.60113817559038,0,1.95909723385272,0,0,3.51473698881748,3.91020041607368,3.09031446902031,3.44581627821269,2.38207327026083,0,0,0,0,2.08284136567158,0,2.17903303534985,0,4.60038669111643,1.95909723385272,1.49141633454828,0,0,1.49141633454828,0,0,0,0,5.35495398458734,2.43302554449396,0,0,0,0,1.78538537141692,0,1.78538537141692,0,0,0,0,0,0,0,2.32433864967557,1.49141633454828,0,0,4.46619717786162,4.18392393540783,0,0,0,0,0,0,4.14838142097919,0,5.33112118866811,0,0,0,1.78538537141692,0,0,4.70378621206235,0,0,2.77893084001491,0,5.2634344802949,4.07818688803906,1.49141633454828,0,0
SW00040,swab,1.82951278099494,0,4.11973195213736,0,1.24632924191171,4.94525460038061,0,0,0,3.25863977954345,0,4.09780345409298,1.53486653350167,0,4.7843433496686,5.28730197092816,0,0,0,0,0,0,0,4.07104393931523,0,0,0,0,1.82951278099494,3.99553465058334,0,3.02072860409002,3.43332156461108,0,0,0,0,3.48356754943973,0,2.91170241935036,0,4.17572757351857,0,0,0,0,4.9273552939041,0,0,0,0,5.09365791198778,2.54443466642793,0,0,0,0,0,0,2.26473368261711,0,0,0,0,0,0,2.36896286254634,0,4.16350771568229,0,0,4.05415925556827,4.80835472843266,0,1.53486653350167,0,0,1.82951278099494,0,4.25922035251851,0,4.84947105141075,3.34827341139488,0,0,0,0,0,3.68940993595144,0,0,3.23825813090474,0,5.20859807298147,4.40340561164989,2.90275866423517,0,0
SW00041,swab,3.9060006943008,0,2.86187369485333,3.33859682553139,0,2.26160075901126,0,0,0,0,1.78920934463664,3.56036590652476,0,0,4.01513318040758,5.3176444949479,2.26160075901126,0,0,0,0,0,0,0,0,0,0,0,0,3.10465584855601,0,3.95823420093838,2.38594462713482,0,0,0,0,3.08348361384333,0,3.94649710762279,0,3.74121533302864,0,0,0,0,5.17759913537401,0,0,0,0,5.11312064391337,4.34796243535865,0,0,0,0,0,0,0,0,0,0,0,1.78920934463664,0,0,2.08669679805426,0,0,0,2.26160075901126,5.35041614896099,0,0,0,0,0,0,4.04930562440307,0,5.09108967604374,0,0,0,0,0,0,3.8352370408164,0,0,1.78920934463664,0,4.80163366764316,3.94946125241454,0,0,0
SW00042,swab,4.4466585375532,0,2.97994405990893,0.95499997192097,4.32900727445504,3.71223726612189,0,0,0,2.11143516413528,0,4.28795920767679,0,0,3.96919479186966,5.68314969022679,0,0,0,0,0,0,0,2.9613218976724,0,0,0,0,1.39875801111887,3.10567978745191,0,3.18977998527986,1.61361514729772,0,0,0,0,3.81835118475579,0,2.96511075843338,1.86416325192353,3.79275299503026,0,0,0,0,2.61257327925573,1.23125089936147,0,0,0,5.38678883248826,1.7567119742499,0,0,0,0,0.95499997192097,0,1.23125089936147,0,0,0,0,0,0,1.61361514729772,0,1.23125089936147,0,0,4.1913237681428,2.66830317478049,0,1.51934019712069,0,0,0,0,4.15755254571206,0,4.74027405311454,0,0,0,0,0,0.95499997192097,4.23620366613688,0,0,2.16221418420094,0,4.7175980560932,4.22701352532375,0,0,0
SW00043,swab,4.01695966512413,0,3.54256931845353,3.40563083336305,0,4.4745875440957,0,0,0,2.76635596898141,0,4.33744621462736,1.34629856538582,0,4.42804216795363,5.26123397290876,2.02932733450448,0,0,0,0,0,0,3.1259445237193,0,1.51581860518763,0,1.06440592552099,1.93343097624569,3.79024227495812,0,3.79469589806708,2.23192238512722,0,0,0,0,3.1259445237193,0,1.93343097624569,0,4.27593581602984,0,0,0,0,1.06440592552099,0,0,0,0,5.54994475124826,1.73233783929793,0,0,0,0,1.8101764243303,0,2.07035083056036,0,0,0,0,0,0,1.34629856538582,0,2.91227145198711,0,0,2.42482487514092,2.53167750106607,1.98402064927691,0,0,0,1.06440592552099,0,4.20049806149362,0,5.2998245312763,0,0,0,1.34629856538582,0,0,4.08028085228472,0,0,2.74203952979096,1.34629856538582,4.94999811495894,4.14815069042337,0,0,0
SW00044,swab,2.83628075173812,0,3.13699405918985,3.31297970416965,2.83628075173812,2.83628075173812,0,0,0,0,0,4.45371051945272,0,0,3.48900053956993,5.61919447022119,0,0,0,0,0,0,0,2.83628075173812,0,0,0,0,2.53588344055085,4.1474319344111,0,3.76514065998802,0,0,0,0,0,3.13699405918985,0,0,0,3.87709746827089,0,3.01216091097989,0,0,4.1474319344111,0,0,0,0,5.18975838897312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94963926839477,3.31297970416965,0,0,0,0,0,0,4.87307945927267,0,5.24642683999334,0,0,0,0,0,0,3.43786562410702,0,0,0,0,4.73602224852136,4.432260291949,3.01216091097989,0,0
SW00045,swab,2.79780091996526,0,4.21023647724308,3.41131347587082,1.53132461669987,4.68682454760574,0,0,0.965999945277705,3.66263429227747,0,3.4898873877589,1.7372353838687,0,5.04690599704909,5.31597944226515,1.76885160045535,0,1.33480449199009,0,0,0,0,4.0877643569455,0,0.70956591722747,0,1.41062443135997,2.5087077666321,4.05003222308883,2.98307268786676,3.51685542534231,2.05051214273218,0,1.58105504601952,0,0.965999945277705,3.3705623031574,0,3.88600028134622,1.33480449199009,3.86476723627415,1.24288815768599,0,0,0,3.78412839514937,0,1.1261467018684,0,0,4.98200989241017,2.55599314275661,1.24288815768599,0,0,1.703135549776,1.47515425933616,0,2.79780091996526,1.47515425933616,0,0,0,1.33480449199009,0,2.6415633106199,2.53036134806408,3.57442209134644,0,0,4.77753783875033,3.79517350977088,1.24288815768599,0,0,0.70956591722747,0.965999945277705,0,4.09184193774928,0,5.2768054799329,4.05257825246461,0.965999945277705,0,1.24288815768599,1.1261467018684,0,4.2800237358892,0.70956591722747,0,3.44019907753309,1.1261467018684,5.12729854357726,4.23895273537391,2.17448327927864,0,0.70956591722747
SW00046,swab,2.78716160045734,0,2.98439188326726,3.57125074845812,4.15318846666474,3.59130153094341,0,0,0,1.78697273618767,1.45937760590671,4.49859237771563,1.38320197263403,0,4.6418250783395,5.52330239499389,0,0,0,0,0,0,0,0.750752769531107,0,0,0.750752769531107,0,2.69613706058807,3.32694822179376,0,3.25940325188843,1.87581744501118,0,1.67515199820368,0,0,3.41732339903652,0,0.750752769531107,0,4.35511733802127,0.750752769531107,1.29076173340672,0,0,1.38320197263403,0,0,0,0,5.37744255547718,2.06755148236363,0,0,0,0,0,0,2.25933959497872,0,0,0,0,0,1.17317188595905,1.17317188595905,2.11637103536218,1.38320197263403,0,0,4.00517367965685,3.1658617424667,0.750752769531107,0.750752769531107,0,0,1.17317188595905,0,4.32343263939357,0,5.28100946123746,4.13793443905188,0,0,0,0,1.01141554629781,2.73855378250082,2.14611272862244,0,3.08947757888542,0,4.7713956649009,2.33066893236982,1.17317188595905,0,0.750752769531107
