Sample_ID,sample_type,Lentisphaeria,Saprospirae,4C0d-2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Coriobacteriia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Opitutae,RF3,Sphingobacteriia,Spirochaetes,Synergistia,TM7-3,Unassigned,Verrucomicrobiae
SW00093,swab,0,0,0,2.54281793944843,2.54281793944843,4.96222415431763,5.50514767906795,4.31481280723718,0,5.73673986014315,3.22944312356838,0,3.20884111553734,1.37016552819298,0,4.03791610647304,2.56989475965474,1.08727062130671,2.82900561029465,0,0,0,0,1.95810927901969,0,0,0,3.78667752438889,1.75684948976992
SW00094,swab,0,0,0,4.12226615442936,0,4.45090216242947,5.52053753943388,3.94359100335027,1.90367407587581,5.5004970247633,3.47814661275243,0,2.07795443640503,2.82828288713353,4.5803750584438,3.69764625091675,0,3.97744556161472,2.89876721362857,0,0,0,0,0,0,3.14157021362685,0,5.38557087569706,1.60803190591178
SW00095,swab,2.13224331534962,0,0,1.7448051872882,0,3.50741413730688,5.39199423502413,4.2310982023796,0,5.8247853144137,3.63865783017439,0,0,2.62631281092855,1.19175269840493,4.18770844432132,0,0,1.07602475059861,0,4.24353810721297,0,3.67251768847823,0,0,0,1.28304098847522,4.31504325392997,3.26948131158384
SW00097,swab,0,0,0,2.27308242517858,1.98524227447298,4.78165617492712,5.60802615724303,4.22946015431252,2.20095260940837,5.36430969464875,3.35013564535419,0,3.04370069543162,3.08317508576045,0,4.98817932028918,1.80056825628119,5.14622549146919,3.39670778696101,0,1.02390647471877,0,0,0,0,0,0,3.29481336715342,4.58862075609031
SW00098,swab,0,0,0,1.65831222818418,0,2.55297494421413,5.76424557887807,2.64964175868613,0,5.57253423767826,3.5000632867679,0,0,3.16747697055969,0,3.6901489357278,0,0,3.76268596556249,0,0,0,0,0,0,0,1.95454668236865,4.46159596062944,0
SW00099,swab,0,0.85297770935266,0,2.87070107648318,2.75657471860646,5.59849749117892,5.37468395243303,3.15684901892867,0.85297770935266,5.49233120088141,3.44835059516719,0,3.95910458377005,2.43239075712274,3.2300659468553,3.69910740862571,2.92139009847605,1.57713533202762,3.93997435718351,0,1.50024775967207,0,1.50024775967207,1.93849121507307,0,0,1.64243633486568,4.35742518588101,3.15869973593198
SW00101,swab,0,0,0.79687980863062,2.13948402266333,1.34355862912989,4.0679349712222,5.53196609640434,1.51303676222816,0,5.80321910951987,3.5757706765185,0,1.84159258432118,1.34355862912989,0,3.01623405834047,1.72952153656603,2.04747930487247,3.70506121517812,0,1.22513382705197,0,0,0,0,0,1.98118089511598,3.26441101249642,1.06178446133841
SW00103,swab,1.87852688098995,0,3.01928764449035,2.9211885556631,3.34764085441852,3.75836941837133,5.40919889668532,3.44499665607859,1.12818856143495,5.8318894041728,3.21213058150582,0,1.80049303165508,3.15559419916989,3.5495601328925,3.93600252888639,0,1.94465224160391,2.24320858691812,0,4.3403719212627,2.2112146853624,2.13914926681209,0,0,1.58320379306756,1.41274542095872,4.12965423448197,2.61416385063751
SW00105,swab,0,0,0,3.47312073043628,1.81955310094718,4.80193413132341,5.53981405685187,3.97219230046443,1.46026231334638,5.63795082161621,3.6054221022544,0,3.040102798517,1.29163135804702,3.62402605598857,3.6054221022544,1.67604915388239,1.01224285804594,4.06581301818527,0,0,0,1.58142228377462,1.29163135804702,0,0,3.3278642895677,5.0581570285112,3.19082105885495
SW00108,swab,0,0,0,2.13814132206047,2.01425453679583,5.0997044659465,5.65748048646199,3.97700069117973,0,5.5846038735441,3.36560619946874,0,2.7641072804046,0,1.54545840318707,4.10813180504105,0,0,3.82300999687176,0,1.54545840318707,0,0,0,0,0,0,3.50617337378038,2.13814132206047
SW00110,swab,0,0,0,2.87200888547261,1.51686418243585,4.75743995319637,5.56614451752683,4.61157299573952,1.06539147305571,5.65903856619361,3.05201861682211,0,2.99055920305716,0,1.63848766579256,4.38504130552936,0,3.22524302213007,4.54274290507956,0,0,0,0,0,0,0,0,4.11837884994499,2.83314548570302
SW00120,swab,0,1.34607299112119,0.906437273892991,2.62809642560299,2.19413051046902,4.96343704094107,5.62186727319402,3.26077941762084,0,5.66624968297845,2.54911964298704,0,3.19750196418189,2.40692884674604,1.56002012089599,4.02010402953531,0,1.70271723748521,2.63525824666319,0,0,0,0,0,0,1.1796607837862,1.1796607837862,3.99166793035322,2.41878207863451
SW00123,swab,0,0,2.83666446310594,3.0181252748459,1.53502224866007,4.30156589516391,5.6160105124872,4.23977649666386,1.04074314276523,5.6549049947921,3.52402787150042,0,1.80773262018912,3.27444356016292,2.69330679288314,3.82477658666476,0,1.92529319617825,4.72683485310444,0,3.31054505974992,0,1.76022269937807,0,0,0.883985300088505,0,4.43307130598781,2.98351337042063
SW00124,swab,0,0,0,1.88813566404834,1.4221092082015,3.00238810236914,5.73267774030657,3.75761729057325,0,5.63327229109097,3.42046419778385,0,0,0,2.97402191313551,4.14377419314924,0,0,1.4221092082015,0,0,0,0,0,0,1.1372074178959,1.4221092082015,3.6772917995994,2.8453121307875
SW00131,swab,0,1.45018879208459,1.45018879208459,3.56495841146875,2.39051959907531,5.38076388459342,5.29226310794851,4.74985457238303,0,5.46765002676008,3.24766533435907,0,3.71789076278875,3.80932209069588,2.86646117666976,3.27358683412462,1.74344835967598,0,5.24668660521806,0,1.45018879208459,0,0,0,1.74344835967598,0,0,4.23867087082947,0
SW00133,swab,0,0,0,1.81472347848172,0,4.41172069834593,5.71826992233486,2.20865282693734,0,5.62785928683243,3.21482340658303,0,2.28738614914601,3.09839931484453,2.35401271009554,4.11980514089655,0,1.52029669184194,3.35227938316021,0,3.12010167415154,0,0,0,0,1.81472347848172,0,3.82092114271582,0
SW00137,swab,0,0,3.19077686413422,3.33263580639969,3.1526820790912,5.63742122688579,5.08789646491031,4.07924572711078,0,5.51993879454276,3.23905207924281,0,3.92185993274958,3.1605730542441,3.63356483749587,3.97653016385786,1.60304141307315,1.72526345679698,3.39158802678757,0,1.43233308309766,0,3.24230336755848,0,0,2.51422107329898,1.60304141307315,4.81131300447743,2.83159374087928
