Sample_ID,sample_type,Acidobacteria_Gp2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Cyanobacteria,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Flavobacteria,Fusobacteria,Gammaproteobacteria,Lentisphaeria,Mollicutes,Negativicutes,Opitutae,Sphingobacteria,Spirochaetes,Synergistia,Thermomicrobia,Thermoprotei,Thermotogae,Verrucomicrobiae
SW00072,swab,0,2.87822137738801,0,3.93938658638883,5.66458520276907,4.07965406684033,0,5.68402339658768,0,0,1.90535680765112,3.40524336298513,2.07964418573591,3.76480480697884,0,0,0,3.81512491705501,0,0,4.26025572738939,0,0,0,1.78221449041451,0,0,0,2.20367816433835
SW00073,swab,0,3.16984818521725,2.42245767839504,4.84283397567708,5.75243961478366,2.72266598516531,0,5.42131818864065,0,0,2.88803095008904,2.81941147367267,0,4.9681964889135,0,1.01750956570887,2.29806587196131,2.9086894076013,0,0,3.21196747006866,0,1.58710052163618,0,0,0,0,0,3.23397957252287
SW00074,swab,0,3.62672411394878,3.44593939721175,4.43025307839647,5.44702445198927,4.35599328952371,0.937919203853882,5.80017002919491,0,0,2.72435158986989,3.36054301383387,0.937919203853882,3.81314508097966,0,0.684306916122788,3.80278117852162,3.0753793905986,0,0.937919203853882,4.16369435391479,0,1.21314604438711,0,0,0,0,0,2.87648606692452
SW00075,swab,0,3.44656052981575,2.24476410102917,5.28588547923386,5.50757617613961,4.32437271383948,1.55557058282508,5.5883261778578,0,0,3.48793909486149,3.68012648351793,2.44795615337562,3.8465730898585,0,2.44795615337562,2.14847160858157,4.54506128938436,0,0,4.35289418176733,0,2.24476410102917,0,0,0,0,0,1.55557058282508
SW00076,swab,0,3.4966473560396,2.65583178260801,5.75875188903552,5.32196308677764,3.68972226940184,1.80440656176859,5.21117659717042,0,0,4.07951702755299,3.028394849377,2.46179899032017,3.99015081059986,0,1.58707663297142,3.21277843498836,4.24067033931942,0,1.80440656176859,3.43518812775264,0,2.00596389195805,1.41656857272353,1.7091966212695,0,0,0,0
SW00078,swab,0,3.9929889027147,1.89471104449535,4.7385683860919,5.51962108216593,3.54247811413946,0,5.74067535091947,0,0,2.98649929473531,2.73503918483989,1.89471104449535,3.98955607716384,0,0,0,3.11991959676381,0,0,4.27477038569067,0,0,0,4.27566303027502,0,0,1.59918051622501,2.28931763220941
SW00079,swab,0,3.95651949214483,2.3440921496402,5.03686034080194,5.65360523453018,4.26257746052396,2.02878435157629,5.42867377316093,0,0,3.2054943148803,4.04704120257912,3.51077449138393,4.0115148096753,0,1.5259510120626,1.62026588850449,5.01538528018534,0,0,4.16798535351946,0,0.961064666829223,0,1.69770838810499,0,0,0,1.2376690642153
SW00082,swab,0,3.78995414000299,2.88474150104671,3.92561906709795,5.60991633254101,3.85527175027559,0,5.73746160341341,0,0,1.79772806808917,1.12558875277298,1.99924556653486,4.11794076610286,0,0,0,2.99531236344619,0,0,3.98056952658576,0,0,0,0,0,0,0,0
SW00085,swab,0,3.51724016442859,2.37036052874138,3.73705791013722,5.64794982805648,3.8249365267924,0,5.67368575683693,0,0,2.12000054110619,0,4.52105153101141,4.12319227243493,0,1.4629084904349,1.879426332587,1.4629084904349,0,0,4.2707493103058,0,1.01471801475,0,0,0,0,0,3.42251611682094
SW00086,swab,0,3.62388061284785,1.60058339831262,4.07700767223345,5.51313734877712,3.74313854248972,0,5.79670023332892,0,0,1.97439265331598,3.34409511465148,0,4.11462824950148,0,0.943140522510025,0,1.93702268320891,0,0,4.01805052346581,0,0,0,1.21868495339912,0,0,0,2.49403466422208
SW00087,swab,0,4.18032377449265,1.37029716873153,4.6870449198382,5.75236331273562,3.48185452750497,0,5.31236386201895,0,0,2.58802882384946,3.16857606247587,3.38256183769318,3.58040508534227,0,0,1.1606185875604,5.10670686303673,0,0,4.41809267459047,0,0,0,0.739704181866836,0,0,0,2.51705288586837
SW00089,swab,0,3.52100175133487,3.24811496025977,3.33201688342938,5.82173970319513,4.0618020908812,0,5.40657739377002,0,0,1.43173677037771,0.875396983401764,0,4.44900091052012,0,0,0,3.73662437405349,0,1.14648772576135,4.46614185280171,0,0,0,0,0,0,0,0.875396983401764
SW00091,swab,0,4.08067112958041,1.6003136224465,5.48397844456785,5.51479305253301,4.63655826275647,1.89585857140346,5.40908212475619,0,0,3.59798315020853,3.26160906999401,2.19411984495114,4.01906721295452,0,0,3.28846694936264,3.94534848032844,0,0,4.45852019696747,0,2.0701059783473,0,0,0,0,0,1.89585857140346
SW00093,swab,1.39258924776678,3.30427060757414,2.53726635795089,4.96859105935418,5.50042767170383,4.32184535991736,0,5.72179122962066,0,0,3.21999590505384,1.68473543054976,0,4.04815666538028,0,2.65435333166368,1.10879961354913,2.84507900287645,0,0,4.41307431819426,0,2.07725659412444,0,0,0,0,0,1.77984666394866
SW00094,swab,0,4.27490883287589,0,4.50565593185671,5.64134347698801,3.98321867839136,1.9626268802958,5.543386040877,0,0,1.9626268802958,2.86155541857195,4.62765952155643,3.74682059025695,0,0,4.018607120737,2.9583459451377,0,0,4.93901145075683,0,0,0,3.6983173580878,0,0,0,1.66630450566185
SW00095,swab,0,3.69085821576464,3.04619445863954,3.89354822440421,5.39976303839181,4.24776380591789,0,5.83654633734838,0,0,0,2.59410776859554,1.2178667373569,4.20842532682877,0,0.688298543881209,0,0.94236898135818,2.12343893956151,0,4.06670540851994,0,2.80946127292761,0,1.98239162969449,0,0,0,3.29219223080608
SW00097,swab,0,3.38795168722772,1.97566353581954,4.78340331031214,5.61055433963108,4.22545434620497,2.18648994393962,5.36133190577715,0,0,3.02514073596081,3.07647191058961,1.03532622827912,4.99391251701892,0,1.7787623495126,5.14414314681928,3.39489772559579,0,0,2.9456377306732,0,0,0,0,0,0,0,4.58478769231161
SW00098,swab,0,3.57075837726323,0,2.56111253615319,5.76172520294588,2.56111253615319,0,5.58239886683453,0,0,0,3.21339610130138,0,3.65692352054427,0,0,0,3.77084479027507,0,0,4.37033687650777,0,0,0,0,0,0,0,0
