Sample_ID,sample_type,Cerasicoccales,Saprospirales,Actinomycetales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Clostridiales,Coriobacteriales,CW040,Deferribacterales,Deinococcales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Gemellales,I025,Lactobacillales,Methanobacteriales,ML615J-28,Mycoplasmatales,Myxococcales,Neisseriales,Oceanospirillales,Pasteurellales,Pseudomonadales,RF32,RF39,Rhizobiales,Rhodospirillales,Rickettsiales,SHA-98,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptophyta,Synergistales,Syntrophobacterales,Thermales,Turicibacterales,Unassigned,Verrucomicrobiales,Victivallales,Xanthomonadales,YS2
ST00021,stool,0,0,2.0532265443854,0,2.63395406338416,5.46048336841162,2.50303107055694,3.43572832167731,1.29387258338708,0,0,5.81937278334617,4.11882188978469,0,0,0,3.00404044117617,0,4.30626693247253,0,1.29387258338708,0,0,3.3358746362882,0,0,0,0,0,0,0,0,1.75602165766329,0,1.29387258338708,0,0,0,0,0,0,1.58372211129955,0,0,0,0,3.83238146921892,3.63680441763181,0,0,2.0532265443854
ST00023,stool,0,0,2.8413124541906,0,2.99906060034333,5.53037007786227,2.08836918760259,3.94818309063414,1.11914290217852,0,0,5.77719179979411,4.06074019392517,0,0,0,3.07195117264439,3.085168398611,3.6792947391609,0,1.57368056509591,2.29115837385132,0,4.0904560053536,0,2.62989885768259,0,0,0,0,2.23348365323849,0,0,3.98740278405973,0,0,0,1.57368056509591,0,0,0,1.93498316111968,0,0,0,3.36146207938042,3.87303784621423,1.79086817389557,0,1.40334625127676,0
ST00026,stool,0,0,3.24167773409595,0,3.67288472567032,5.52337195074867,0,3.40296847010115,0,0,0,5.76705725466607,3.98966122091549,0,0,0,3.17114058937957,0,4.25005330752561,0,2.24391249583169,2.24391249583169,0,4.07076938932752,0,0,0,0,0,0,0,0,0,3.26285517839378,2.84411098520156,0,0,0,0,0,0,1.94535215581612,0,0,0,2.41917740557529,4.39829797478464,3.53159104673818,0,0,0
ST00027,stool,0,0,2.51974882710833,0,3.01617779008676,5.0567966003672,0,3.54269270856227,0,0,0,5.86226557341063,4.39926544475835,0,0,0,3.80694314630077,2.57757670470891,3.84948917459884,0,0,1.68245410381145,0,4.48358327418128,0,4.34174218202967,0,0,0,0,0,0,3.71874247306451,0,0,0,0,2.2776938951742,0,0,0,0,0,0,0,0,4.68533857086906,3.60794207074424,2.15351826927838,0,3.54269270856227
ST00028,stool,0,0,2.31341856254307,0,2.04637841176422,5.74059633429099,1.94270623139641,4.17625358866927,1.22408919229101,0,0,5.5861101038428,3.86997788062466,0,0,0,1.94270623139641,0,4.09885257248606,0,1.7492340478144,1.80625784119502,0,4.33835875139511,0,0,0,0,0,0,2.93822332039706,0,3.24875717437482,0,0,0,0.948238552509632,1.8566558603179,0,0,0,2.10388220123935,0,0,0,0,3.58575126762643,1.68357478146988,0,0,0
ST00030,stool,0,0,2.64528871173484,0,3.00128527958066,5.82497853622503,0,3.74600479447678,0,0,0,5.39635492030798,3.01830196428693,0,0,0,3.82828582121937,1.61361514729772,4.49054338028102,0,1.61361514729772,0,0,3.45432298657296,0,0,0,0,0,0,0,0,0,0,2.2076726414054,0,0,0,0,0,0,0,0,0,0,0,4.52823700456153,1.61361514729772,0,0,0
ST00031,stool,0,0,0,0,1.59900016307221,5.71619686744253,2.28913357260673,4.09716328448452,0,0,0,5.5714632840539,3.68838559348624,0,0,0,2.43462348922785,3.31241348803601,3.70195566215041,0,4.57738734731686,0,0,4.51170136700506,0,0,0,0,0,0,0,3.99790280266157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24138773581664,1.59900016307221,0,0,0
ST00035,stool,0,0,3.30744000921704,0,3.38907337427293,5.34561512535228,1.92915205652463,4.53786364788312,0,0,0,5.8056322971762,4.29262814158809,0,0,0,3.17956905937148,1.63320469046256,4.5842534074473,0,1.17583922023506,2.29419755019186,0,4.38642507567252,0,0,0,0,0,0,3.8971921250281,0,1.99536787599486,0,1.85099210617497,0,0,0,0,1.46213726547515,0,1.17583922023506,0,0,1.46213726547515,2.96587197758086,3.83611741150662,1.99536787599486,0,0,0
ST00039,stool,0,0,0,0,3.48426858152192,5.56330858940591,0,4.18312464940793,0,0,0,5.63334627921621,3.9612948912758,0,0,0,0,0,4.38723394898901,0,0,0,0,5.08618970881643,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48426858152192,0,0,0,0,0,0,0,0,4.43838449306036,0,0,0,0
ST00040,stool,0,0,4.16118087454821,0,4.16118087454821,5.5590921165859,0,0,0,0,0,5.74093529446619,0,0,0,0,0,0,0,0,4.16118087454821,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4621958878279,0,0,0,0
