Sample_ID,sample_type,Eubacterium,Prevotella,Ruminococcus,02d06,24838,5-7N15,Acetobacter,Achromobacter,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Aerococcus,AF12,Agrobacterium,Akkermansia,Alicyclobacillus,Alistipes,Alkalibacterium,Allobaculum,Anaerococcus,Anaerofustis,Anaerostipes,Anaerotruncus,Anaerovibrio,Anoxybacillus,Atopobium,Bacillus,Bacteroides,Bifidobacterium,Bilophila,Blautia,Brachybacterium,Bradyrhizobium,Brevibacillus,Brevibacterium,Bulleidia,Burkholderia,Butyricimonas,Campylobacter,Capnocytophaga,Cardiobacterium,Carnobacterium,Catenibacterium,cc,Cetobacterium,CF231,Christensenella,Chryseobacterium,Clostridium,Collinsella,Comamonas,Coprobacillus,Coprococcus,Corynebacterium,Dehalobacterium,Deinococcus,Dermabacter,Desulfovibrio,Devosia,Dialister,Dorea,Dysgonomonas,Eggerthella,Enhydrobacter,Enterococcus,Epulopiscium,Facklamia,Faecalibacterium,Finegoldia,Flavobacterium,Fusobacterium,Geobacillus,Georgenia,Granulicatella,Haemophilus,Halomonas,Helcococcus,Janibacter,Jonquetella,Kocuria,Lachnospira,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Lysobacter,Megamonas,Megasphaera,Methanobrevibacter,Microbacterium,Micrococcus,Mobiluncus,Mogibacterium,Morganella,Moryella,Mucispirillum,Mycoplasma,Neisseria,Nesterenkonia,Ochrobactrum,Odoribacter,Oribacterium,Ornithobacterium,Oscillospira,Oxalobacter,Parabacteroides,Paraprevotella,Parvimonas,Pediococcus,Pedobacter,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella.1,Propionibacterium,Propionicimonas,Proteus,Pseudoclavibacter,Pseudomonas,Pseudoramibacter,rc4-4,RFN20,Rhodoplanes,Roseburia,Roseomonas,Rothia,Ruminococcus.1,Scardovia,Schwartzia,Sediminibacterium,Shuttleworthia,Slackia,SMB53,Solibacillus,Sphingobacterium,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,Succiniclasticum,Sutterella,Synergistes,Tepidimonas,Thermus,Tissierella,Treponema,Trichococcus,Trueperella,Turicibacter,Unassigned,Veillonella
ST00019,stool,2.87810829632467,0,2.96907996621459,0,0,0,0,0,0,0,0,2.00676861202587,0,0,1.41735018562037,2.10282262531022,0,0,0,0,0,0,3.25191321482197,0,0,2.00676861202587,0,0,4.70620134359007,1.70999348862219,3.12501330649486,3.94204052651734,0,0,0,0,0,0,2.76288984566467,0,0,0,0,0,0,0,0,1.70999348862219,0,2.90610108026178,3.37372322191356,0,1.41735018562037,4.19839879774371,0,0,0,0,1.70999348862219,0,1.41735018562037,3.70152800284048,0,0,0,0,0,0,3.62582373598147,0,0,0,2.18143226611061,0,0,0,0,0,0,0,0,3.28712664424746,1.70999348862219,1.41735018562037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18602455964865,0,0,3.71224976215884,0,3.1083203839783,0,0,0,0,0,1.70999348862219,1.41735018562037,4.8040536587913,1.41735018562037,5.77266139688734,0,0,0,0,0,0,2.00676861202587,0,0,2.89233018630711,0,0,3.5043513588589,0,0,0,0,0,0,0,0,0,0,0,2.35656917472577,0,4.06036564514035,0,0,0,0,0,0,0,1.70999348862219,5.3499987410496,2.24797030517768
ST00021,stool,2.47678736147234,0,3.86234043353681,0,0,0,0,0,0,0,1.97481302008877,3.52902324713429,0,0,1.29387258338708,3.63680441763181,0,0,0,0,1.58372211129955,0,3.11040222445569,0,0,2.35233127712685,0,0,5.29570406126131,2.50303107055694,2.97924216687703,4.48341806803213,0,0,0,0,1.58372211129955,0,0,1.29387258338708,0,0,0,0,3.08448721649799,0,0,2.0532265443854,0,3.11040222445569,3.49924049805917,0,2.31471809324585,4.54653988799788,0,1.8790520510593,0,0,1.58372211129955,0,1.75602165766329,4.01083090155868,0,0,0,0,0,0,4.31302463797417,0,0,1.29387258338708,2.31471809324585,0,0,0,0,0,0,0,0,3.72461642118209,1.8790520510593,1.75602165766329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50939671560635,0,0,3.92832327370002,0,2.31471809324585,0,1.29387258338708,0,0,0,1.58372211129955,1.29387258338708,4.16445268872898,0,2.11962412924627,0,0,0,0,0,0,0,0,0,2.7633274925573,0,0,3.69126036737268,0,0,0,0,3.62156803055616,0,0,0,0,0,0,3.29262694048754,1.29387258338708,3.43572832167731,0,0,0,0,0,0,0,0,5.80242747322457,2.50303107055694
ST00023,stool,2.83363680131456,0,4.18555471121665,0,0,0,0,0,0,0,2.80150111609039,2.34206400438378,0,0,0,1.79086817389557,0,0,0,0,1.11914290217852,1.40334625127676,3.2891545017556,0,0,2.42885481385237,0,0,5.50592277937979,2.08836918760259,3.00431959651007,4.28650392836441,0,0,0,0,1.99234411207293,0,2.81786612652191,1.11914290217852,0,0,0,0,2.64210502643484,0,0,1.40334625127676,0,3.75420466772282,3.93058027280511,0,0,4.5985723899497,0,1.40334625127676,0,0,0,0,3.99601273578927,4.39742912666295,0,0,0,0,0,0,4.08048257384859,1.40334625127676,0,1.57368056509591,2.86355755515899,0,1.69571195639489,2.23348365323849,0,0,0,0,0,3.70917824000774,3.03945056812915,0,0,0,0,0,3.28643304698336,0,0,0,0,0,0,0,0,0,0,0,0,3.05367821406566,1.11914290217852,0,3.80668969424468,1.40334625127676,3.59277809975743,1.11914290217852,0,0,0,0,1.40334625127676,0,4.64877651000362,1.93498316111968,2.26327771805746,0,0,0,0,0,2.1669594719702,0,0,0,4.08135897865737,0,1.69571195639489,4.19170977043551,0,0,0,0,0,2.79308139805833,0,0,0,0,1.40334625127676,4.04816567831883,0,3.93673113887252,0,0,0,0,0,0,0,3.36146207938042,5.61897810803884,3.76431392363652
ST00026,stool,4.1472555379743,0,3.41768600295054,0,1.94535215581612,0,0,0,0,0,3.24167773409595,3.2830477871357,0,0,2.84411098520156,3.53159104673818,0,0,0,0,2.24391249583169,0,2.78620786233563,0,0,3.26285517839378,0,0,5.3707981608378,0,3.17114058937957,4.00862715931506,0,0,0,0,2.24391249583169,0,2.84411098520156,0,0,0,0,0,1.94535215581612,0,0,1.94535215581612,0,2.94089661392508,3.47202413586205,0,1.94535215581612,3.69636096697618,0,2.41917740557529,0,0,0,0,0,3.484609078182,0,0,0,0,0,0,4.01232294406772,0,0,2.24391249583169,3.45906359727731,0,2.24391249583169,0,0,0,0,0,0,2.54370237715579,2.41917740557529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41917740557529,0,0,3.32081748702538,0,4.32243643365629,3.08688245249996,0,0,0,0,2.41917740557529,0,5.05634571170166,0,0,0,0,0,0,0,0,0,0,0,3.49683958207326,0,0,5.00336086380903,0,0,0,0,0,2.64036394179599,0,0,0,0,0,4.05438039233041,0,3.11682197183301,0,0,0,0,0,0,0,2.41917740557529,5.64643436123227,0
ST00027,stool,3.31699852819406,0,3.76331650875674,0,1.68245410381145,0,0,0,0,0,2.51974882710833,3.26463729226159,0,0,0,3.60794207074424,0,0,0,0,0,2.57757670470891,4.250852668068,0,0,2.78798803644993,0,0,4.87473941252046,0,2.2776938951742,4.07991280550711,0,0,0,0,1.97894922074187,0,3.46587677012202,0,0,0,0,0,3.21766771477493,0,0,1.97894922074187,0,3.70684555512179,4.14318974200065,0,3.4059008490643,4.1661265082747,0,2.37414539730061,0,0,3.79398022183979,0,1.68245410381145,3.92624099601905,0,0,0,0,0,0,3.96341835330719,0,0,0,2.6286015747747,0,0,0,0,0,0,0,0,4.13576626239739,1.97894922074187,1.68245410381145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38108729830952,0,0,4.04444356225272,0,3.94522736969996,1.68245410381145,0,0,0,3.33629458294721,1.68245410381145,0,2.57757670470891,0,2.6286015747747,0,0,0,0,0,2.37414539730061,0,0,0,3.78061844126852,0,0,4.53904510613222,0,0,0,0,3.13605209886243,0,0,0,0,0,0,4.48156179565479,0,3.53678555412257,0,0,0,0,0,0,0,0,5.84456611118187,1.97894922074187
ST00028,stool,3.56669331986963,4.39850090812339,4.01727422109729,0,0,0,0,0,0,0,1.90180880301625,2.87917487810015,0,0,0,1.68357478146988,0,0,0,0,0,1.90180880301625,3.10079412693441,0,0,1.7492340478144,1.22408919229101,0,4.85537711699814,1.94270623139641,1.94270623139641,4.02958969320462,0,0,0,0,1.3914521302283,0,1.22408919229101,1.22408919229101,0,0,0,3.91881039678821,0,0,0,0,0,2.04637841176422,3.80165428905818,0,2.04637841176422,4.41301400413443,0,0.948238552509632,0,0,0,0,2.34545247655298,3.13217856665075,0,0,0,0,0,0,4.20704993962709,0,0,1.3914521302283,1.7492340478144,0,2.26044823356941,2.93822332039706,0,0,0,0,0,3.80861920577403,3.28394541041733,1.22408919229101,1.51196003033865,0,0,4.69284342647989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74582706168053,1.51196003033865,0,0,0,0,0,2.77786815858449,0,1.3914521302283,4.1803376219867,1.68357478146988,5.64865571913383,0,0,0,0,0,0,2.24125143593402,0,0,2.96126272640764,0,2.04637841176422,3.73714245775188,0,0,0,0,2.26044823356941,0.948238552509632,0,0,0,0,0,4.29377028922063,0,4.17534078642185,0,0,0,0,0,0,0,0,5.39512424935811,3.33110123721894
ST00030,stool,4.06083169527176,0,4.35034323601216,0,1.61361514729772,0,0,0,0,0,2.64528871173484,1.90932656236636,0,0,2.2076726414054,1.61361514729772,0,0,0,0,1.61361514729772,1.90932656236636,2.0836303878757,0,0,2.77972510813467,1.90932656236636,0,5.79167253838538,0,3.82308540453176,4.14825003119295,0,0,0,0,0,0,1.90932656236636,0,0,0,0,0,1.90932656236636,0,0,2.0836303878757,0,3.42262013136713,2.2076726414054,0,4.11080156661641,4.13950198546341,0,0,0,0,1.90932656236636,0,3.88400214075097,3.91893473431957,0,0,0,0,0,0,4.40364626743966,0,0,1.61361514729772,2.60399430234786,0,1.61361514729772,0,0,0,0,0,0,3.27524039548474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09570727413234,0,4.60767391743731,0,0,0,0,1.61361514729772,1.61361514729772,1.90932656236636,2.30404387495746,0,2.60399430234786,0,0,0,0,0,0,0,0,0,2.44955534312085,0,0,3.73653062192988,0,0,0,0,0,0,0,0,0,0,0,3.43558028141615,0,3.7397116992379,0,0,0,0,0,0,0,0,5.26216488733446,2.80770875403385
ST00031,stool,2.43462348922785,0,3.73722469264582,0,0,0,0,0,0,0,0,2.66804098938458,0,0,0,1.59900016307221,0,0,0,0,0,1.89452839252754,3.69522362736143,0,0,1.59900016307221,0,0,5.24784469190692,2.28913357260673,2.43462348922785,4.05036271130678,0,0,0,0,0,0,2.43462348922785,0,0,0,0,3.66356724512878,0,0,0,1.89452839252754,0,2.9686043830374,3.60087214680417,0,0,3.94015840392886,0,0,0,0,0,0,0,3.81844093337983,0,0,0,0,0,0,4.1722864705446,0,0,4.57738734731686,0,0,2.06877013131053,0,0,0,0,0,0,3.75531966838999,4.33613409351322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0654210154555,0,0,3.34399762968266,2.06877013131053,2.79274648765142,0,0,0,0,0,0,0,4.22743825194066,0,5.51846888350934,0,0,0,0,0,0,0,0,0,4.12577764298145,0,0,4.4996299417385,0,0,0,0,0,0,0,0,0,0,0,4.02887575720457,0,4.09311106600416,0,0,0,0,0,0,0,0,5.4302247845156,3.81070966822887
ST00035,stool,2.40285154169486,0,4.43635370333417,0,0,0,0,0,0,0,3.19921103831564,2.57836987552286,0,0,1.85099210617497,1.99536787599486,0,0,0,0,0,0,3.38408347843196,0,0,3.04933580637652,1.92915205652463,0,5.28928100464133,1.92915205652463,3.17956905937148,4.81397089167394,0,0,0,0,2.10353580077605,0,0,0,0,0,0,0,0,0,0,1.17583922023506,0,2.96587197758086,4.26414635470138,0,1.85099210617497,3.92406096967155,0,0,0,0,0,0,1.63320469046256,3.97391917259361,0,0,0,0,0,0,4.2710370860565,1.46213726547515,0,1.17583922023506,3.1239082112364,0,2.40285154169486,3.8971921250281,0,0,0,0,0,3.67099544334037,1.63320469046256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97239583275387,0,0,3.60836300881665,0,2.56202355734946,1.17583922023506,2.32401368834654,0,0,0,0,0,4.14414849078148,0,2.59412319053977,0,0,0,0,0,0,0,0,0,3.56593174500855,0,2.65197689543957,3.72913780014071,0,0,0,0,2.76984570622186,2.84544835612588,0,0,1.46213726547515,0,0,4.38089921531804,0,4.53698221489905,0,0,1.46213726547515,0,0,0,0,2.96587197758086,5.72444071900168,4.16666306607192
ST00039,stool,3.9612948912758,3.78522737040758,4.18312464940793,0,0,0,0,0,0,0,0,3.9612948912758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50943336540564,0,0,4.43838449306036,0,0,0,0,0,0,0,0,0,0,0,3.78522737040758,0,0,0,0,0,4.18312464940793,0,0,0,4.48414040091372,0,0,0,0,0,0,0,3.48426858152192,0,0,0,0,0,0,4.08622175830378,3.78522737040758,0,0,3.48426858152192,0,0,0,0,0,0,0,0,3.78522737040758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48426858152192,0,0,0,0,3.48426858152192,3.48426858152192,0,0,0,0,3.48426858152192,0,3.9612948912758,0,4.18312464940793,0,0,0,0,0,0,0,0,0,4.18312464940793,0,0,3.9612948912758,0,0,0,0,0,0,0,0,0,0,0,5.08618970881643,0,4.18312464940793,0,0,0,0,0,0,0,0,5.44316911397572,4.71458345691459
ST00040,stool,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16118087454821,0,0,0,0,0,5.4833716309619,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16118087454821,4.16118087454821,0,0,0,0,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,4.16118087454821,4.16118087454821,0,0,0,0,0,0,0,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16118087454821,0,0,0,4.76321839210591,0,0,0,0,0,0,0,0,0,4.16118087454821,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66630182402912,0
