ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Eggerthella	1577	2398	0.0	779	2001	991	713	779	416	0.0	962	199	1889	0.0	292	148	297	8044	4269	2260	0.0	0.0	10730	0.0	463	0.0	168	0.0	0.0	5616	311	0.0	0.0	52	0.0	0.0	25	78	24472	6936
Gordonibacter	471	556	0.0	709	0.0	0.0	1548	0.0	0.0	0.0	0.0	0.0	922	0.0	0.0	0.0	504	0.0	0.0	0.0	0.0	0.0	1120	0.0	2614	0.0	0.0	0.0	107	0.0	0.0	0.0	0.0	170	0.0	0.0	0.0	0.0	0.0	771
Slackia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	1375182	1547929	2715048	1711282	539689	2931809	1802442	3024936	2735110	1952939	2070494	996120	3640199	999944	1232928	1847653	967172	2187906	1888578	1868262	589632	2099153	2399334	1121134	2249093	160734	1899957	1894299	1135556	3433099	67568	44303	724713	1238657	293138	10547	1537163	148101	2203838	627678
Bacteroidales_noname	97454	0.0	1066	4824	0.0	0.0	0.0	0.0	0.0	5870	0.0	0.0	24376	0.0	0.0	0.0	6059	0.0	0.0	0.0	832	0.0	0.0	11651	6544	2956	0.0	17868	0.0	0.0	0.0	2026	0.0	0.0	6415	4357	0.0	16386	0.0	0.0
Barnesiella	0.0	14732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54412	0.0	0.0	0.0	13859	0.0	0.0	12308	0.0	0.0	0.0	0.0	22756	0.0	32978	78580	456	0.0	0.0	140865	0.0	0.0	0.0	0.0	0.0	8005	605	7150	119654	0.0	7964
Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coprobacter	0.0	0.0	0.0	1095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7457	0.0	0.0	445	0.0	0.0	0.0	849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Odoribacter	20255	40909	12829	31323	0.0	0.0	0.0	0.0	0.0	62021	0.0	0.0	14900	29056	0.0	13954	1842	0.0	39684	0.0	1712	75403	0.0	29029	45815	12183	0.0	122926	19924	0.0	674	567	0.0	0.0	12593	526	0.0	51782	0.0	0.0
Parabacteroides	111003	84456	72513	60048	111404	236210	0.0	650211	243124	80680	0.0	21239	148769	104115	55545	60718	32098	506928	81795	106729	106370	266485	65558	76985	66985	113735	184410	76869	239113	80724	11301	20955	44616	13633	22579	9925	142798	53396	122238	18482
