ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Candidatus_Saccharibacteria_noname	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillales_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135
Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	0.0	0.0	156	0.0	0.0	451	0.0	0.0	0.0	0.0	346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80	0.0	0.0	434	80	0.0	0.0	151	0.0	941	0.0	70	0.0	0.0	219	0.0	0.0	549
Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1644	0.0	0.0	634	3577	0.0	0.0	0.0	0.0
Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2461	0.0	0.0	269	0.0	0.0	0.0	22746	254423	0.0	0.0	0.0	43812	0.0	0.0	242	0.0	178557	0.0	0.0	0.0	0.0	0.0	346	0.0	843	0.0	25739	0.0	0.0	0.0	0.0
Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357	0.0	0.0	0.0	0.0	505	0.0	0.0	0.0	14536	0.0	0.0	0.0	0.0
Streptococcaceae	5696	4302	9210	1191	151	3901	946	241	2122	298	551	742	2844	340	0.0	36785	101042	121	210	136	51624	0.0	6620	4999	984	149575	8062	544	4632	199	79	16003	348	3411	16	136504	3441	3474	0.0	127900
Clostridiaceae	2312	10573	8656	1631	24851	57106	2081	62029	20246	1001	55685	0.0	27803	702	38925	27054	0.0	280585	24980	11662	112	2082	188052	27	2445	20389	30614	642	672	30920	213	547	1803	0.0	0.0	0.0	46974	49	2611	241
Clostridiales_Family_XIII_Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	120	0.0	0.0	0.0	0.0	119	0.0	116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463	0.0	0.0	529
Clostridiales_Family_XI_Incertae_Sedis	0.0	0.0	0.0	489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
