Sample_Names,Alias,Geography,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Calditrichaeota,Candidatus.Bipolaricaulota,Candidatus.Cloacimonetes,Candidatus.Gracilibacteria,Candidatus.Korarchaeota,Candidatus.Micrarchaeota,Candidatus.Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,candidate.division.Zixibacteria
ERR1135266,PIG-098,France,2.6275422652199,4.22843578200463,2.43455773719688,1.89830883757121,5.44624992560021,1.76620749937734,1.58472088912654,1.20561482769665,1.63256185242034,1.36120648148898,0.920339130825699,0.769580899660751,2.09443482862486,3.3528726911485,2.76252319220721,2.8788701400737,1.62424637066465,1.53094989086372,2.42998588281083,3.63856139157318,2.63538651604063,2.74698279897917,1.75080074084221,2.1415469227112,4.26902411351524,2.1285996348631,5.76927699496404,3.33157931448369,1.93264852495723,2.06350143793693,1.89155652772503,2.28659567304986,2.25437287910747,3.29013274641745,4.83554334505497,3.84635999528899,2.58466633223509,3.62389759610343,2.23731819642804,2.15782121230588,2.7658687136928,2.91039605876853,1.21648427048578
ERR1135267,PIG-099,France,2.75348288294721,4.30880731504279,2.42956266693004,1.90997042162301,5.6487517728737,1.98474191220135,1.7200130246711,1.3498261506319,1.69397553366621,1.17496953776842,1.00698379722062,0.652277947349209,2.1026112429659,2.58242497330664,2.82737917574105,2.85337142730567,1.78680916039538,1.49886663643759,2.35351190531722,3.66754520491919,2.51326646364511,2.8895349001553,1.74797584361777,2.17921862224262,3.33589579698199,2.30469252618358,5.60900338724721,3.20412159902472,2.07956977040625,1.99252196703565,2.01322521043569,1.96875076847587,2.19522370868366,3.37960879090203,5.01767453546395,3.4616361450203,2.61025875508489,3.37355835140591,2.145322259925,2.16778220581608,2.69258237256542,2.97106003738187,1.34127543216747
ERR1135268,PIG-101,France,2.71434790464623,4.40837682732923,1.99015365674739,1.68339741793405,5.75326211238993,1.78026665735965,1.03235947744013,0.89439893720158,1.46750956748803,0.515939875095231,0,0.89439893720158,1.81193653070317,3.15461105795953,2.74569152119229,3.08916594252131,1.35221813360977,1.6804544240765,1.91617161023185,3.33933508039482,2.30185599097001,2.68672085037106,1.40541321650052,1.94601245744459,3.65831684809385,2.05832490201957,5.53526037535492,2.65157216660262,1.96940335931263,1.78955328122227,1.96019761859908,1.96788255642712,2.1289549295032,3.18151054020483,4.67180087936999,3.20780621860298,2.36423265734553,2.88842522568141,2.00298795151919,1.88041724827364,2.18416899505784,2.80074908537072,1.40541321650052
ERR1135269,PIG-102,France,2.80724867397018,4.49977176076221,2.41691347803513,2.04364655215975,5.50603755320948,1.86951471377257,1.59339513909875,1.08771719378742,1.75732731322522,1.54051179265257,0.580873394928342,1.12587176233333,2.2102329568881,3.91267201197206,2.88758345476137,3.14038598654062,1.65696832283875,2.09754188671616,2.43789005138302,3.64247195271526,2.55433703232771,2.92511430167377,1.73991483782314,2.07555059523108,4.1668187448706,2.57689321838493,5.68118210571801,3.24684209900397,2.16594006865668,2.10335116497941,2.19803199935924,2.36852960234983,2.33261521366464,3.45130167234476,5.02442161633039,4.24715968403117,2.84090397849817,3.48372813083007,2.20872645123147,2.11286388004447,2.79333496885738,3.08768031168548,1.56775790915791
ERR1135270,PIG-103,France,2.84317243469043,4.38652441535578,2.54718264681074,2.06309355825641,5.44211858398757,1.9562918638266,1.92059634394881,1.07701806814181,1.82683858859498,1.35947036204294,0.722717598252878,0.290332323857745,2.12616888860307,3.98441745236135,2.88951934462711,3.04894529244148,1.8622862097127,1.47041219620372,2.55588504482063,3.67074522451179,2.57990686621288,2.95079242613223,1.83897879178801,2.27070387760103,4.30411792576497,2.98780711111134,5.73673956374252,3.30967088855954,2.13835603616445,2.18394790513497,2.06487636196823,2.26848299869603,2.37375025940949,3.42511251519308,4.95420978200203,4.02246449050469,2.86003355845427,3.53944196567209,2.3439182078171,2.25948413977598,2.84964532985858,3.079583461534,1.3771621811244
ERR1135271,PIG-104,France,2.80371603930357,4.31453669250589,2.38344751892417,1.87411964222875,5.69486469270073,1.87138178633512,1.68574709749904,0.822405794494363,1.64608864419492,1.13666286195862,0.879912146102523,0.790519669395154,2.1540013102809,2.82531587229162,2.9238033001279,2.89512701974794,1.65521988405284,1.60244140870531,2.38260197299245,3.63309226321253,2.63385873914404,2.86106052452379,1.38943451508173,2.1722383207422,4.00431343402807,2.56565459129167,5.57162358017285,3.1076049449185,2.06529665514598,1.99278633841399,2.14823229065173,2.06879726634706,2.22398174173752,3.40381547389042,4.89641099559961,3.62599855208863,2.64138629605325,3.19808657947905,2.13196059321266,2.1639162899303,2.62134115887667,2.9931731398907,1.24205924855905
ERR1135272,PIG-105,France,2.58979582396787,4.08292483928013,2.00370946477371,1.6487069431308,5.56683164435471,1.63051834180517,1.33036874009017,1.09929695186044,1.66616431321552,0.850578229795659,0.93505925533766,0.831514350591165,1.99443454380611,3.12172620363685,2.71172483648088,2.87940818794379,1.25645053792749,1.38269735221473,2.07931801673323,3.44093747512153,2.42763762578913,2.54355769109256,1.13945934070828,1.82649240068564,3.69716623144858,2.16046193137974,5.73972065093386,2.89819485497046,1.83041763813077,1.60501764537666,1.86423418963319,1.70955268185718,2.12427237726596,3.17910227074399,4.70328980503171,3.41401319788024,2.31170685061981,2.90532333472665,2.1132078397321,1.93265418916056,2.39905815305254,2.73884930741955,1.13945934070828
ERR1135273,PIG-106,France,2.75624500044788,4.38937635791095,2.25642796303893,1.89669798723402,5.60390230908714,1.73710256329203,1.51151859617308,1.04950359029693,1.76653507844741,1.24519105318291,0.683745905265772,0.868033076419413,2.14371647873897,2.89923022102538,2.85565052147844,2.95878152781971,1.59414522959375,1.29476386949866,2.32097752308448,3.59808816484387,2.56337827489157,2.84098366332039,1.50579290526438,2.09609041716565,4.13600976345456,2.66307070463573,5.65623284797834,3.14647238608276,2.13568246851771,2.04259081818886,2.023768822383,2.09609041716565,2.28032086252483,3.39215677766492,4.93006101081801,3.5591090084716,2.62755061766801,3.29842382770655,2.25948745589109,2.17444397870897,2.69960853104872,2.99011888439955,1.34762948219278
ERR1135274,PIG-107,France,2.78396339667029,4.36433469634251,2.33830351780454,2.01043435204889,5.60802882915369,1.9560742734654,1.73421183145005,1.41675455330091,1.97726455054732,1.24478471723796,1.06238938569698,0.779695383336185,2.10904783093146,2.66223936007358,2.89115161933777,2.97126623094864,1.60386608175179,1.49315436712664,2.47533305886955,3.67927635104268,2.65554299420897,2.85463457630228,1.74611197992545,2.16020195790606,4.02631727000422,2.54092305850194,5.64270426716196,3.23775825516456,2.08101814461203,2.05298839410898,2.09874752771299,1.94877468661741,2.23737000232632,3.37559083845423,4.98520564062565,3.71441747141013,2.67209420538991,3.37291937755118,2.24487978833124,2.19912112418024,2.64381768431477,2.96916422725962,1.16309281242048
ERR1135275,PIG-108,France,2.86156297301185,4.42555655073986,2.46744574549999,2.05820694588318,5.67534432246618,1.86819639833761,1.75889206284054,1.32754799484076,1.64056783948836,1.19821099193139,1.13333415203342,0.730812866396146,2.13081317693314,3.20998128712714,2.93399656660987,2.9821605854698,1.87775387755794,1.55682131438257,2.4483920097662,3.76290023668594,2.58092255401115,2.94249453718451,1.87775387755794,2.34246008464838,4.25535121301886,2.68034354183697,5.56015580672443,3.18477652358384,2.22389656554636,2.13256913668306,2.15477312206919,2.10358445066394,2.26967871831296,3.43045973558491,4.96503919725287,3.53282792003888,2.6828186508388,3.3708614082146,2.14974895812731,2.26063936906169,2.74949553838942,3.04416554527516,1.3598714162075
