Sample_Names,Alias,Geography,Euryarchaeota,Actinobacteria,Bacteroidetes,Chlamydiae,Deferribacteres,Deinococcus_Thermus,Fibrobacteres,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Verrucomicrobia,Apicomplexa,Ascomycota,Microsporidia
ERR1135248,PIG-079,France,3.21573190112539,3.72335918197173,5.59406364249775,0,2.92212838482328,0,0,5.75688297879946,0,3.71972254411758,4.36110606406428,0,0,0,0
ERR1135249,PIG-080,France,0,2.51961987015474,5.69466619242094,1.77699489096816,2.09405954004112,0,0,5.48001570951623,0,3.74548468378139,5.29413821137855,0,0,0,0
ERR1135250,PIG-081,France,4.36376084137964,3.57544179435681,5.26032696584143,0,0,0,3.28338994943181,5.86700432767781,0,4.27392978399014,4.53281536519466,0,0,0,0
ERR1135251,PIG-082,France,4.67923945687773,3.81551653452237,5.13370695437741,0,3.39579887489185,0,3.52069396521677,5.86309439265294,0,4.66082269380924,4.45364165730956,0,0,0,0
ERR1135252,PIG-083,France,4.49511234495528,0,4.89563726679335,0,3.33583156046431,0,0,5.84154258194931,0,5.28594928830284,2.66692779132951,0,0,0,0
ERR1135253,PIG-084,France,4.70135147587006,0,5.45241875041764,0,3.94780694154515,0,2.3942389680633,5.76888632872844,0,4.74025713338638,4.17266127920106,0,0,0,0
ERR1135254,PIG-085,France,2.52772321305144,3.36350514845843,5.79864240981177,0,3.09170281941646,0,2.51328906310715,5.53815705487347,0,3.918836149043,4.12216059600569,0,0,0,0
ERR1135255,PIG-086,France,4.36433953595457,2.82422575687684,5.42128941232569,0,0,0,0,5.78778224305935,0,4.96673263206699,3.80009500180734,0,0,0,0
ERR1135256,PIG-087,France,0,2.68891228444888,5.65037752494776,0,0,0,0,5.73261704087271,0,4.05396456747041,2.20481017976866,0,0,0,2.83528357923601
ERR1135257,PIG-088,France,4.20975243522492,0,5.38725107729414,0,0,0,0,5.86244330283913,0,4.02517594163937,2.87748272967909,0,0,0,0
ERR1135258,PIG-090,France,4.81128510647894,3.45424271721852,5.14549885432109,0,3.27879776342521,0,3.57885794015719,5.81157984539839,0,5.01006380951265,4.56305617071479,0,0,0,0
ERR1135259,PIG-091,France,4.54232329081551,0,4.94271347116492,0,3.87314288791433,0,0,5.83978123917016,0,5.25176854122722,0,0,0,0,0
ERR1135260,PIG-092,France,4.62650813245593,0,5.08768317559745,0,3.70658795976615,0,0,5.87639414842891,0,4.88858767128447,2.7410181579423,0,0,0,0
ERR1135261,PIG-093,France,0,0,5.65442979290598,0,0,0,0,5.73320207098141,0,3.88840102592036,0,0,0,0,0
ERR1135262,PIG-094,France,3.51843040227277,2.65155954871719,5.47534655527752,0,2.30905241416862,0,0,5.83186827334975,0,4.26198520946075,0,0,0,0,0
ERR1135263,PIG-095,France,0,0,5.82489000750559,1.34706584220366,2.27142130178092,0,0,5.51422427996558,0,3.68705976793479,0,0,0,0,0
ERR1135264,PIG-096,France,0,0,5.80091820926487,0,2.74833177698132,0,0,5.55614199655741,0,3.86237449820856,0,0,0,0,0
ERR1135265,PIG-097,France,0,0,5.77579836675279,0,0,0,0,5.59513045254618,0,3.9812082743343,0,0,0,0,0
ERR1135266,PIG-098,France,0,1.21445742533563,5.68396279910603,0,3.60964157799993,0,0,5.70615748055163,0,3.65867958063342,0,0,0,0,0
ERR1135267,PIG-099,France,0,0,5.83595892992418,0,1.83388953307919,0,0,5.48673016513866,0,3.8921393928788,0,0,0,0,0
ERR1135268,PIG-101,France,0,3.61552240896047,5.81306571755849,0,0,0,0,5.53782735895439,0,2.25463682500412,2.66716109023641,0,0,0,0
