Sample_Names,Alias,Geography,Methanobacteriaceae,Brevibacteriaceae,Corynebacteriaceae,Dermabacteraceae,Dermatophilaceae,Micrococcaceae,Propionibacteriaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Chlamydiaceae,Deferribacteraceae,Deinococcaceae,Fibrobacteraceae,Planococcaceae,Staphylococcaceae,Aerococcaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Alcaligenaceae,Burkholderiaceae,Comamonadaceae,Oxalobacteraceae,Sutterellaceae,Neisseriaceae,Desulfovibrionaceae,Campylobacteraceae,Helicobacteraceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Brachyspiraceae,Spirochaetaceae,Verrucomicrobiaceae,Cryptosporidiidae,Saccharomycetaceae,Enterocytozoonidae,Myoviridae,Podoviridae,Siphoviridae,Adenoviridae,Anelloviridae,Geminiviridae,Microviridae,Parvoviridae,Potyviridae,Retroviridae
ERR1135188,PIG-012,France,4.8264660313116,0,0,0,0,0,0,2.92625510474857,2.45708638204732,0,4.96368515481654,4.56488485165619,0,0,0,0,2.88723951877648,0,0,0,0,5.5505666273258,0,0,2.99112442379575,0,5.14514746811098,4.84032838857236,4.59705337695225,5.16318144160543,0,0,3.41150785850541,0,0,0,0,0,4.2752391492131,0,4.42635875142676,0,0,0,0,0,0,0,0,3.09748338285008,0,3.42428832351498,0,0,0,0,0,0,0,0,0,0,0,1.0027141439709
ERR1135189,PIG-014,France,4.6351408817485,0,0,0,0,0,0,4.22561053916958,2.75318935065822,0,4.4739330612356,4.34659024840823,0,0,0,0,0,0,0,0,0,5.29399632615471,0,2.30517447750877,0,0,4.41861852230414,4.1547507824658,3.79827351553292,5.73278699246342,3.52903937637382,2.64832428423652,3.98952605512736,0,0,0,0,0,0,0,4.01268599181854,0,0,0,4.8976123506925,0,0,0,0,2.51627284096584,0,0,0,0,0,0,0,0.767965280194041,0,0,0,0,0,0.627428201639797
ERR1135190,PIG-015,France,4.75361636242676,0,0,0,0,0,0,3.83053260591853,3.3528382719311,0,4.77657386869619,5.21671247305668,0,2.97271634130699,0,0,0,0,0,0,0,4.8911892817441,0,2.52509114436487,0,4.02548174062826,4.50696465327989,4.26288597228597,3.78205871427574,5.47840879552666,3.83620370318892,4.78911386430655,5.21548423869206,0,0,0,0,0,3.46906835713133,0,4.23047247366021,0,0,3.10806108700298,3.93252734767534,0,0,0,0,2.41254609559113,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01558976057183
ERR1135191,PIG-016,France,4.58144954394434,0,0,0,0,0,0,4.19740138814665,2.69400526951753,0,4.87196535055552,4.07837511973061,3.76557074502809,0,0,0,0,0,0,0,0,5.3214489587812,0,2.76210958033268,0,0,5.00125598994073,3.91904483781274,0,5.55311939172857,0,0,4.04079896712319,0,0,0,0,0,2.99907316340452,0,4.17051659408094,0,0,0,5.16316455313787,0,0,0,0,3.67836933805816,0,0,0,0,0,0,0,0.48386635355031,0,0,0,0,0,1.28830769670688
ERR1135192,PIG-017,France,4.46350673401952,0,0,0,0,0,0,3.71747098157668,3.05398447107594,0,4.49772608150226,4.30797780903146,3.06264776621289,0,0,0,0,0,0,0,0,5.29244940732066,0,0,0,2.4556328055184,5.1118941312758,4.17833642072958,4.19356739609312,5.64870290644246,4.35887932418491,3.94393128445448,4.54830231598489,0,0,0,0,0,3.70787041435845,0,3.93182706520415,0,0,0,4.46222182302592,0,0,0,0,2.34982633177961,0,0,0,0,0,0,0,0.804020487920217,0,0,0,0,0,0.701239050313352
ERR1135193,PIG-018,France,4.16429578971768,0,0,0,0,0,0,3.94020445791882,2.34178797822417,2.42897770710102,4.8083929831185,4.70985910788792,2.05351815635922,2.07432150513073,0,0,0,0,0,0,3.24725630449237,5.44959552836623,0,0,0,0,4.44610099237452,3.62773332186,3.0325151737782,5.4525780142762,3.01796002493759,3.8906802761066,5.29319060942962,0,0,0,0,0,3.75153735907988,0,3.20517833683122,0,0,0,4.67726983629472,0,0,0,0,2.35047846535374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884243817254833
ERR1135194,PIG-019,France,5.0276828835948,0,0,0,0,0,0,4.37860183382136,3.29991938637344,2.12923379824388,4.84934594823778,4.77795859405936,2.44034345424197,2.60813799138375,0,0,0,0,0,0,0,5.0231154294629,0,0,0,0,4.92839116157437,4.4927021249332,3.24968994798796,5.4157521148266,1.6866755873192,4.1474434148698,5.3243657256189,0,0,0,0,3.5360330024517,3.39478806240694,0,4.18791084672293,0,0,0,3.77329196199653,0,0,0,0,1.55373537600464,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28576843412087
ERR1135195,PIG-020,France,5.08047323273441,0,0,0,0,0,0,0,0,2.87797318251682,4.54890337865586,4.64149570948475,0,0,3.45290460201791,0,0,0,0,0,0,5.30978207523072,0,0,2.37125101268584,2.76533433262922,4.62259506044144,4.34776802167405,3.98032943391611,5.6490581046357,4.0020601225908,4.0524853159618,0,0,0,0,0,0,3.83374903359949,0,4.24564230010333,0,0,3.76374192722713,4.30704466397957,0,0,0,0,2.81721987875162,0,0,0,0,0,0,0,0,0,0,0,0.923896728885716,0,0
ERR1135196,PIG-022,France,0,0,0,0,0,0,0,1.63414022969522,3.61144773279449,3.99791383923496,4.14621464678411,5.32214426331264,4.03768294231252,1.61216895458488,0,0,0,0,0,0,3.53179084885554,4.77974020740787,0,3.01056271802972,2.90736470049179,3.75780978596828,4.58378925828331,3.56913464959855,3.31407523578587,5.15207738347892,4.48709373726976,5.3683512257935,5.18069061046474,0,0,0,0,0,3.16930082699618,0,0,0,0,0,4.88051231526175,0,0,0,0,1.90557498934663,0,0,0,0,2.52776854628976,0,2.08822694804034,0,0,0,0,0,0,0.550165805713081
ERR1135197,PIG-023,France,3.29505109139323,0,0,0,0,0,0,0,3.09520220072612,2.8344493015397,4.04073570674301,5.42272220250935,3.47924224327179,2.2754947315575,0,0,0,0,0,0,2.61853776832883,4.88014145313595,0,0,2.12067220922299,3.77495198846675,4.81801233947724,3.8543724468219,3.4273868874261,5.32165377906069,3.82679428071462,5.30587318139788,4.85146006157996,0,0,0,0,0,3.89580529868256,0,3.55839947872992,0,0,0,4.76184752613707,0,0,0,0,2.43460873939646,0,0,0,0,0,0,0,0,0,0,0,0.71077596860917,0,1.05478397157723
