Sample_Names,Alias,Geography,Methanobrevibacter,Methanosphaera,Brevibacterium,Corynebacterium,Brachybacterium,Kocuria,Bifidobacterium,Scardovia,Collinsella,Olsenella,Bacteroides,Parabacteroides,Porphyromonas,Alloprevotella,Prevotella,Alistipes,Chlamydia,Chlamydophila,Mucispirillum,Deinococcus,Fibrobacter,Kurthia,Macrococcus,Staphylococcus,Aerococcus,Facklamia,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Clostridium,Pseudoflavonifractor,Eubacterium,Anaerostipes,Blautia,Butyrivibrio,Coprococcus,Dorea,Roseburia,Oscillibacter,Anaerotruncus,Faecalibacterium,Ruminococcus,Subdoligranulum,Catenibacterium,Acidaminococcus,Phascolarctobacterium,Dialister,Megamonas,Megasphaera,Mitsuokella,Selenomonas,Veillonella,Fusobacterium,Oligella,Pusillimonas,Burkholderia,Brachymonas,Comamonas,Oxalobacter,Parasutterella,Neisseria,Bilophila,Desulfovibrio,Lawsonia,Campylobacter,Helicobacter,Citrobacter,Escherichia,Klebsiella,Pantoea,Shigella,Yersinia,Actinobacillus,Acinetobacter,Enhydrobacter,Pseudomonas,Brachyspira,Sphaerochaeta,Treponema,Akkermansia,Cryptosporidium,Enterocytozoon,Mulikevirus,T4likevirus,Ahjdlikevirus,Epsilon15likevirus,P22likevirus,Lambdalikevirus,T5likevirus,Tunalikevirus,Mastadenovirus,Kappatorquevirus,Mastrevirus,Chlamydiamicrovirus,Microvirus,Bocavirus,Dependovirus,Parvovirus,Potyvirus,Alpharetrovirus,Gammaretrovirus
ERR1135408,DB-510B,China,5.43736001435204,0,0,3.1997463056096,0,0,4.25315424871115,0,0,0,0,4.61272285996933,0,0,3.6540524096222,0,0,0,0,0,2.06348999736418,0,0,0,0,0,0,4.6316541993747,0,0,0,4.48023041239831,0,0,2.05461332001022,0,4.05975926979078,0,0,4.07866185925025,3.45745825570364,4.34731417976756,4.01753651276932,0,4.8404710499429,5.44532925289893,0,0,2.13613927113985,0,0,2.97313197124112,3.37273894768482,3.34192585757373,0,0,0,0,0,0,0,0,0,0,0,4.53558308293296,0,0,3.25850585348759,0,4.85418709004448,0,0,0,0,0,0,0,0,0,0,4.82973779674304,2.07218886974683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135409,DB-511B,China,4.91191675428847,0,0,3.94585296053943,0,2.48903467385154,4.03201421563889,0,3.49169421232159,2.54438295161157,0,4.12242392344143,0,2.66246199420193,5.18005973304059,0,0,0,0,0,0,0,0,0,0,0,0,4.41841204870102,0,0,0,4.21723223650765,2.60617291661455,0,4.43964649120548,0,4.33713775650842,4.31787368927887,4.60770976893515,4.48704543411232,3.77007255421976,4.56190910594214,4.03003712062872,4.77528026381295,4.5883710726269,5.36230962758906,0,0,2.97496530901472,0,0,0,4.2994440540108,4.566323146058,0,0,0,0,0,0,0,0,0,0,0,4.55882029268523,0,0,3.22403821127032,0,4.77252319984893,0,0,0,0,0,0,0,0,0,0,3.95469691402598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135410,DB-512B,China,5.28110978556338,0,0,0,3.06674329029171,3.0958122529544,4.13466556342027,0,2.7730385020929,0,0,4.50361477760089,0,0,4.13952342589122,0,0,0,0,0,2.55494628411826,0,0,0,2.54172187575868,0,0,3.9511348960444,0,0,0,4.17459592435368,3.30225566929433,0,2.90098613967056,0,3.9160116032488,3.32826328741825,3.34389344342314,3.80907436634858,3.20830297313373,4.43104826239656,0,0,4.27590253560047,5.32720948079867,0,3.48730988286954,2.0138931176443,0,0,2.56619626401639,3.67598030172275,3.96363855523604,0,0,0,0,0,0,0,0,0,0,3.5477741493905,4.52876426191339,0,0,0,0,5.5749746581229,0,0,0,0,0,3.60997185922121,0,0,0,0,3.75424174837496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135411,DB-515B,China,4.60033465884088,0,0,0,0,0,3.12573629756566,0,2.54667376476352,0,0,4.52460849015346,0,0,4.75743556504068,0,0,0,0,0,2.84167689979396,0,0,0,0,0,0,4.96293560201438,0,0,0,4.25415752707388,0,0,2.14700141672811,0,0,3.7165590789711,2.64262022249662,4.20892493818665,3.61657310322413,4.81464933117236,4.28156134637889,3.50967274349226,4.51941879469973,5.44460017107457,0,0,0,0,0,0,3.46583129435056,3.79978181829219,0,0,0,0,0,0,0,0,0,0,0,4.6701352926257,0,0,0,0,5.36986751682028,0,0,0,0,0,0,0,0,0,0,4.62162886039214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135412,DB-517B,China,5.41363366108726,0,0,3.6969244182485,0,3.48930409950153,4.16410962428132,0,0,0,0,4.43017010188037,0,0,4.33461560539629,0,0,0,0,0,0,0,0,0,0,0,0,4.59677165772908,0,0,0,4.1096965739995,0,0,2.8078491578308,0,3.60985808344897,4.55080834655739,0,4.11293609134636,3.74310805013995,4.72299336804786,3.65236739781758,0,3.84698748899609,5.40959984025623,0,2.86265570267238,0,3.64914154773433,0,4.03898292526119,4.58529767884692,4.25946774223533,0,0,0,0,0,0,0,0,0,0,0,4.7065423295497,0,0,0,0,4.80215503369624,0,0,0,0,0,0,0,0,0,0,4.70103213650219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135413,DB-529B,China,5.10124879807208,0,0,3.61038712011385,2.86901028996758,3.44361970309416,3.34617883924199,0,2.1827318271455,0,3.28554325330468,4.49822649250653,0,2.3415544402239,4.52407249033095,0,0,0,0,0,0,0,0,0,2.52067081268999,1.91813589724912,1.99348763455471,3.82869293343355,0,0,0,3.75359271953282,3.05936716168716,0,3.45229584435266,0,3.19470018697103,0,3.62181536575606,4.0730322407903,3.1993388336075,4.40410461710896,3.41162227582408,3.55208624563951,4.06025659222988,4.9926205306031,0,0,2.28731269743825,0,0,0,3.05295137900119,3.49278341064287,0,0,0,0,0,0,0,2.77699087113617,0,0,0,4.45438626571684,0,2.4742428933643,0,0,5.74525522246045,0,0,0,0,0,3.83436078872794,0,0,0,0,4.35236355142933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326504561991901
ERR1135414,DB-530B,China,4.85632729206827,0,0,3.86097112526953,3.12504562615758,2.82916486175089,3.80550248098933,0,2.99989176734062,0,0,3.86716826539073,0,0,5.18991709005363,0,0,0,0,0,0,0,0,0,0,0,0,4.26689756235935,0,0,0,4.12698117924093,0,0,4.45547561564215,0,4.32940635564294,4.25883957269997,4.44810973551998,4.54630669227378,3.69382275196156,4.56630202910893,3.65291026952248,4.81656518936632,4.49866542232817,5.28698036505916,0,0,3.07900060689802,0,0,0,4.55659917132481,4.84517212147271,0,0,0,0,0,0,0,0,0,0,0,4.65256407552953,0,0,3.55299073605159,0,4.93104153400509,0,0,0,0,0,0,0,0,0,0,3.90887511953049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135415,DB-531B,China,4.7881914736418,0,0,3.00844028597913,0,0,3.87813600888975,0,2.73396398062177,0,0,4.1493740852162,0,0,4.04005942478398,0,0,0,0,0,0,0,0,0,0,0,0,3.91228011195943,0,0,0,3.77703990635072,2.96458011022313,0,2.94867179436727,0,3.56735115263633,3.13118107972525,2.28752327913407,3.67175737974779,2.97510194233751,4.52058217973765,3.64041506815636,0,4.64570016725907,5.49749346001169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74007064756082,0,0,0,0,5.59637480952134,0,0,0,0,0,0,0,0,0,0,4.50054855395771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135416,DB-537B,China,5.19570246712786,0,0,0,0,0,5.06176557410894,0,0,0,0,4.33447006701105,0,0,3.69333471293064,0,0,0,0,0,2.67057960000238,0,0,0,0,0,0,5.22173886128916,0,0,0,4.22818559592936,0,0,0,0,3.37775820803133,4.64765131285579,0,3.8349344454127,3.40919518168876,4.61104916570721,3.12861228837964,0,3.5436287805542,5.29120631257464,0,2.85589352955967,1.60148035283734,2.86752150014625,0,4.74098881370012,3.83653928139537,3.54987249998123,0,0,0,0,0,0,0,0,2.42142273612671,0,0,4.72002325916243,0,0,0,0,4.89902931834919,0,0,0,0,0,0,0,0,0,0,4.22102577513889,3.62620263842462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135417,EYZ-120B,China,4.89192414313876,0,0,3.22043776043879,0,2.33671702516224,3.70015919586263,0,2.17131801523164,0,0,4.43025432356023,0,0,4.35129012018746,0,0,0,0,0,2.80588249062475,0,0,0,0,0,1.84365745495591,5.10955593462588,0,0,3.67767456755336,4.2420629486742,3.71294638908061,0,2.62678487165693,0,4.17736452332511,4.38111902411912,0,4.27786976623258,3.52069429469402,4.64097655590613,3.77375898197681,0,3.60650294525283,5.39999653190736,0,0,2.2845853123001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74334542955999,0,0,0,3.28642892345204,5.42663649111953,0,0,3.43844101292485,0,0,0,0,0,0,0,4.17043213846571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
