Sample,ruralurban,Methanobacteriaceae,Actinomycetaceae,Micrococcaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Staphylococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Clostridiales_Family_XIII_Incertae_Sedis,Clostridiales_Family_XI_Incertae_Sedis,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Leptotrichiaceae,Oxalobacteraceae,Sutterellaceae,Desulfovibrionaceae,Aeromonadaceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Spirochaetaceae,Synergistaceae,Verrucomicrobiaceae,Saccharomycetaceae,Myoviridae,Podoviridae,Retroviridae,Virgaviridae
108A,urban,0,0,0,2.05184059176024,2.43311863898354,5.52506629284928,4.03763626676663,0,3.16375206652104,0,0,0,0,0,0,4.0243969611105,0,0,3.92343425479643,4.15124566456048,3.20192707412997,2.42254362444562,4.70330779310284,2.95194054830238,0,0,0,0,0,1.63465005020838,3.45343803402217,0,0,5.75038426686751,0,0,2.17106548536974,0,0,0,0,0,0
109A,urban,0,0,0,3.45153517392706,3.37973827327718,5.67550616790008,4.16922362619996,1.75308144802888,4.82434215689718,0,0,0,3.76586434025295,2.65683368024276,3.97460164742329,3.84117893426172,0,0,4.50603417133713,5.10789818474088,0,2.86188199707721,4.98541841235301,3.04082557651275,0,4.75482856370687,0,0,0,4.5565515828245,3.58618754981186,0,0,4.75630638956126,3.63261176621344,0,0,0,0,0,0,0.179770268532695,0
10A,rural,0,0,0,4.20209820411637,3.56150132633548,5.46095488017334,4.07036510893373,0.971634396539351,4.6797903903753,0,0,0,4.88101174365467,0,4.47996597873097,0,0,0,5.1152262614439,5.0644977496855,2.63391655013553,3.16131192919825,5.38982050902049,0,0,4.19825090585062,0,0,0,3.4846177154266,1.93985900269085,0,0,3.64076363017825,3.83400020324486,0,0,3.25679899303324,0,0,0,0,0
116A,urban,0,0,0,3.07547817808653,3.27131383180766,5.8409952348887,5.06591138124172,0,3.61000949030602,0,0,0,0,0,1.5949310450579,4.9490352830803,0,0,2.32258116277098,4.85138097459151,0,2.01836673839222,2.07978302545201,3.33111530631944,0,0,2.82280356976783,0,0,0,3.88424538932518,0,0,4.01153984787602,0,3.28287600947542,0,0,0,0,0,0,0
118A,urban,0,0,0,1.25427858371152,2.89885916284233,5.67945749522176,4.39502586476713,0,4.21146475341471,0,0,0,0,0,1.73363545132771,3.80098277534535,0,0,5.51811171275911,4.69152828355082,4.29057286692687,0,4.8201683683119,3.12685537850799,0,0,0,0,0,0,0,0,0,3.70398127819948,0,3.45117847167961,0,0,0,0,0,0,0
119A,urban,0,0,0,3.66737112113748,2.56899768754369,5.62046530775752,4.23615677147895,0,4.91594747575842,0,0,0,0,0,1.49663127775672,3.41596621059991,0,0,4.20885188420288,4.43702243286757,3.22717338971684,2.70933144727095,4.80410668092433,0,0,0,0,0,0,2.7619029611799,3.47132354120819,0,0,5.55463097438962,0,3.44968911235421,0,0,3.00832233932257,0,0,0,0
11A,rural,0,1.6463483990697,2.00414516726527,2.38833349171391,3.46791248399186,5.27347574184404,4.39796194226882,5.63900106477152,3.44186924196983,0,0,0,4.14451659944752,0,4.21577046081647,1.56412346248714,0,0,4.73316024575386,4.79548986454942,2.70131337139512,0,5.00066648116168,0,4.30147495338502,4.69955246698572,0,0,0,4.05253485440755,3.35920679174709,0,2.02290571534627,4.15299720056232,1.99304939360732,0,0,0,0,0,0.920219348141947,0,0
120A,urban,0,0,0,2.80028021533389,3.130242723058,5.73371323240738,4.89158305489967,0,5.02264545683674,0,0,0,0,0,0,2.73095672698293,0,0.78962144862022,4.75428418724379,4.26249753440506,3.88809235899032,0,5.23090149275367,2.8922322479473,0,1.13492311127974,3.22336902409088,0,0,3.23676166222865,3.69852602979458,1.54160151701459,0,3.90004805882384,2.54035042992619,3.31788889146598,0,0,0,0,0,0,0
13A,rural,0,0,0,2.87509601505713,3.36907440957328,5.81306995323138,4.10846078249649,1.83728185361585,4.80364280140443,0,1.35565192696521,0,0,0,3.25407857283375,4.70726505536432,0,0,4.38608411225458,4.86989412763383,3.35423262111138,2.8972728355631,4.82622146612251,2.97189021002823,0,4.54929965172273,3.67917398043952,0,0,3.63605744781859,0,0,0,3.41073372277572,2.91908161162362,0,0,0,0,0,0,0,0
15A,rural,0,0,0,3.62365221599243,3.64950320566827,5.61527524533522,4.65405654685007,1.00839168904931,4.75667266690114,0,0,0,1.95428407058316,0,3.26473594381687,1.03864849336707,0,0,5.28950864813516,4.87721737447793,3.02285024732618,2.46088383446083,5.02884161245573,1.74950927972337,4.41122141364727,4.4529904193483,0,0,2.52404619995885,3.3108256989256,3.4131102863983,0,0,4.49568256284074,3.77944559417886,0,0,0,0,0,0,0,0
