Sample,ruralurban,Methanobacteriales,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Bacillales,Lactobacillales,Clostridiales,Erysipelotrichales,Selenomonadales,Fusobacteriales,Burkholderiales,Desulfovibrionales,Aeromonadales,Enterobacteriales,Pasteurellales,Spirochaetales,Synergistales,Verrucomicrobiales,Saccharomycetales,Caudovirales
11A,rural,0,2.40902855759463,2.38483885753351,3.46440464140044,5.82567764816593,0,4.4535108279058,5.29940111419303,0,4.82186141194238,0,4.21468595965903,3.39448345940553,2.01015183586236,4.14948840609736,1.98957615093338,0,0,0,0,1.11393014436242
120A,urban,0,0,2.88048342109832,3.21050775597168,5.84346052918482,0,0,5.43650404167615,2.97245762118073,1.14732940111335,3.32470229185747,3.62155583219601,3.81761051343706,1.62940878888304,3.98035819402371,2.62045843011242,3.5068953703644,0,0,0,0
13A,rural,0,0,2.97041550426138,3.4644715120544,5.8352236226578,0,3.31742595210871,5.40252285090066,3.06723252533163,4.57547274716569,3.79560661817757,3.89712605994938,0,0,3.50613417555644,3.01441210583116,0,0,0,0,0
15A,rural,0,0,3.67449671534504,3.70034836472923,5.66057407336087,0,3.29946721519828,5.6214438031457,1.79950997109332,4.79404203263765,0,3.68840679183843,3.50270482132827,0,4.54653694544374,3.83029353475788,0,0,0,0,0
18A,rural,0,0,0,3.54757526275502,5.93055402457793,0,2.47995365638611,5.03414018011574,2.31687545205373,3.80407046461865,3.01106716990424,3.60061043597073,4.3152332142053,0,0,0,0,0,3.54691692858422,0,0
1A,rural,0,1.12738132287474,3.93207131309993,4.02182923822612,5.7709431817919,0,4.99598446545,5.2908632684745,1.56389342841299,4.6106324743619,0,3.70381103105325,3.19560349213959,0,4.65791947246373,3.41028988235624,0,1.75097988582116,2.89167003833618,0,0
20A,rural,0,0,4.36785406554299,3.50267262808689,5.87845370593383,2.55263042351067,3.42405204404394,5.12266859934865,3.41553233487619,4.57281663776892,1.57683648148572,2.43190443580399,4.34351824169126,0,4.28459694679292,2.54809560206608,0,0,0,0,0
21A,rural,2.41578123598754,1.36212345346137,2.78475074555798,3.24218312744976,5.90202191689659,0,2.05798197140629,5.20468552006918,2.3669599239386,3.57581680087472,0,4.49412524275893,3.2271938986758,0,3.20520159286826,2.72312304149432,0,0,0,0,0
24A,rural,0,0,2.81589807191021,2.51912762817187,5.81362208584116,0,3.10939796821873,5.18025443475001,0,4.97992897985309,0,3.65224469715318,3.69693382637993,0,3.30408924218814,1.74197471947585,0,0,4.94553541710164,0,0
25A,rural,0,0,3.66657444775277,3.07919853066933,5.8719349582726,0,1.99935440580631,5.35562754446942,2.96972014335179,0,0,3.89065051595058,3.35455718797888,0,4.05545169677397,2.50713415806743,0,0,0,0,0.753242497262904
28A,rural,0,0,1.79740644781212,2.67183409600798,5.90816827722885,0,1.52116122535082,5.09906377818562,3.70051051541576,4.73686874662312,0,3.42141661143686,3.18587122366977,0,2.46495193622738,2.57131520989157,0,0,0,0,0
29A,rural,0,0,0,3.23779644347322,5.83137702507608,0,3.97173841348604,5.17560761130121,3.82428602023359,4.83955608282457,0,3.78769200677482,3.15529292759991,0,4.8825850201946,3.06124451393574,0,0,0,0,1.58935872820929
31A,rural,1.15368947684731,0,0,2.90307249770851,5.93943471367339,0,1.98691801044563,5.03052744148433,0,4.15392376766253,0,0,3.37384761296369,0,3.72959263029927,0,0,0,0,0,0
34A,rural,0,0,4.76784189683224,3.06464697590325,5.58450031942074,0,3.20746174026406,5.72459884940289,0,3.84037906144015,0,1.96948636034465,0,0,4.09267414810829,3.475084468841,0,0,0,0,3.2351765342248
35A,rural,2.40552781712976,0,0,2.89771832761484,5.71567202294996,0,2.45739018106294,5.40492373468962,3.19808176876,4.69069628036263,3.15181760938435,3.29963987864224,3.18347157582885,0,5.22791528247461,2.64480915330751,0,0,0,0,0
37A,rural,3.40635891733952,1.6319605144218,2.73346460995297,3.26831418814097,5.65672610123374,0,4.8475605500416,5.43360104890648,3.86922687852497,4.7678500437794,2.33038144887339,3.33392265105424,2.68311804220218,0,5.09156443906752,3.86095314285141,0,0,0,0,0
39A,rural,0,2.43374716884629,1.62122032125644,3.61428915238007,5.72061467135333,0,3.15302716812637,5.63171689419182,2.59025234441235,3.1933516107101,0,4.48304407566205,2.46427630826677,2.62235733045242,3.86151189738027,0,0,0,0,0,0
3A,rural,0,0,2.6511319587433,3.93257293318207,5.88021947810781,0,2.96962474975254,5.28886114867941,3.91745456863014,4.36182430351816,0,3.53619055383205,2.38770538243343,0,3.22465989891457,0,0,0,0,0,0
6A,rural,0,0,2.35154717100806,3.79478229787947,5.78568659036354,0,0,5.54219153763546,2.1716993336526,3.9841901235802,0,3.38287563385982,3.84756376378081,0,4.18503779645342,0,0,0,0,0,0
7A,rural,0,2.40750772291877,3.2532365543146,3.28576118129625,5.25329177188214,1.78185616267565,4.60761505123069,5.88507951500773,3.39798269843718,3.15888135514839,0,0,2.43194443338013,0,3.52854801564402,3.01266654850533,0,0,0,0,2.19735051029721
