Sample,ruralurban,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Calditrichaeota,Candidatus.Bipolaricaulota,Candidatus.Cloacimonetes,Candidatus.Gracilibacteria,Candidatus.Korarchaeota,Candidatus.Micrarchaeota,Candidatus.Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,candidate.division.Zixibacteria
099A,urban,1.00057127221667,3.66461946606011,1.12065405884059,0.191634353441294,5.88538598300223,0.228739090863817,0.191634353441294,0.191634353441294,0.151060837701277,0.191634353441294,0,0.0563956059628987,2.03805537976002,1.08253848103534,1.13412697134038,1.26975414985778,0.106302460425143,0.294609120600739,1.12968227962282,2.0386067166946,1.08253848103534,1.40491699858351,0.607520313513847,0.622138657500198,1.94760855197309,0.96940857204648,5.14871400310112,4.83227355447228,0.576719128708229,0.622138657500198,0.402313744761111,0.468538817688373,0.787500822206466,1.73103244547656,4.24169010221253,2.61387306682075,1.36000458766437,1.97332911496356,0.560458627819046,0.735379247739848,1.397746776633,1.58789742732991,0.377786990251318
100A,urban,2.26639934648756,4.29844140946467,1.70997029203146,1.5380928474716,5.73738577509006,1.36824662815907,0.743463049916804,0.438688617735711,0.818684954976188,0,0,0,2.01414734399122,1.62893025454579,2.28488741196498,2.39909755626374,1.00340918261798,0.743463049916804,1.69797772957333,2.84794734730224,1.94936367002249,2.56003196016966,0.652425179849848,1.00340918261798,2.83837268039811,1.61073554398602,5.58193022470216,4.08308278406664,1.81920424663315,1.47686566091692,1.36170235822327,1.501446448229,1.61073554398602,2.89752194773656,4.53667626768079,2.68289172054285,2.17940677518204,2.41977191781183,1.39348000622656,1.23204283992001,1.98532168964348,2.80070139191639,0.490676031624473
101A,urban,1.3032128774703,4.09322825851241,0.962087090608937,0.519903830181397,5.89910173796436,0.610742194695226,0.539655179136233,0.377733563100497,0.477483156332524,0.062220311201515,0,0,0.784137213439438,1.0538687518009,1.44167419397829,1.46292203342521,0.454610496212512,0.20848278027492,1.08795216193777,2.26951360240827,0.794997345321056,1.70016954417298,0.164981713318889,0.725346274416761,2.01077214485179,0.539655179136233,5.26857659956231,2.56044787020866,0.761566624228749,0.725346274416761,0.594031282244305,0.815935349519428,1.01688092128849,2.01853347842202,3.90596904774384,2.03116854003707,1.37653504647523,1.87826120663183,0.864248762817098,0.873298422428911,1.28969203698945,1.8489610332585,0.454610496212512
107A,urban,1.3849016300286,3.39733690068395,1.05774061443789,0.533605100154689,5.59058743403001,0.533605100154689,0.399747927145868,0,0.114639596520346,0.280181529951215,0,0,1.18178734687891,1.00270906321151,1.50670570170114,1.65711907807379,0.604318715900775,0.604318715900775,1.00270906321151,2.18966338718331,0.808720214924846,1.7023531947503,0.399747927145868,0.49340234485537,2.09482750823262,0.9243362393469,4.84206824989065,1.90551827765795,0.847678482686783,0.93207503214056,0.9243362393469,0.787847007704146,1.01555502773615,2.08035184117266,5.73025967835602,2.02209662422704,1.47051495535124,1.8581833713884,0.730801958250247,0.754526422096397,1.47272938536581,1.98092960188563,0.205250813367316
108A,urban,1.96082179149065,3.73651038212082,1.341297031731,1.21694790760348,5.38152610957258,0.854083095545317,1.1236119272079,0.45042386191041,0.0890716918140543,0.330050223552184,0,0,1.01423973750134,1.38006335365146,1.97987318079225,2.04065301871216,0.571907005470205,0.544571603616732,1.49204379516601,2.60605709992532,1.42689384492352,2.11947507002026,0.744514955345806,0.744514955345806,2.47663766281955,0.893720498114711,5.12483125327692,2.23943096633764,1.25152867988093,1.51377968518608,0.984544911221661,1.10070597119007,1.27838103759509,2.5499290942668,5.79068775249998,2.45499272785203,1.85334124780057,2.60384743599007,0.963556801178014,1.10847630229239,1.80656522438021,2.31695776742533,0.413885094344932
109A,urban,1.63943312998311,4.17094996473124,1.33913999851785,1.04866222029305,5.75481915935995,1.21161474162481,0.378208108144424,0,0.650539610583691,0.16523994897462,0,0.0904318161920291,1.5444328998155,1.58022704067656,1.98291979200248,2.0013456901702,0.767997297830232,0.520473873901576,1.35273833621284,2.56928636133048,1.23564164968388,1.93193974645863,0.784819616977469,0.846263381784456,2.45596485701162,0.887239445807847,5.44017911974534,3.14581274041206,1.29046669071605,1.3437202501528,1.09142561073005,1.17288179546679,1.28528534126542,2.52329751450734,5.13779564233965,2.39889276447292,1.4149934546995,2.24151654198174,1.17958195729194,0.801014552672464,1.86190889257458,2.24151654198174,0.0904318161920291
10A,rural,1.91368749142458,4.62650644763428,1.63550939299877,1.30653040269253,5.52710131784059,0.974995467135247,0.986963147598632,0.365268858614236,0.717691727538328,0.591223306108607,0,0,1.48489442698447,1.57895115111583,1.91647330395127,2.12260642468161,0.89530730241978,0.671424940458345,1.69489405183265,2.73419773334146,1.56669867945543,2.2265776740539,1.20505972427351,1.17550007352686,2.61317004403273,1.20505972427351,5.76971163323327,2.67884720395119,1.19785628247106,1.35969461544577,1.22597976642553,1.20505972427351,1.48112746945413,2.579819781513,4.43268255071293,2.73037841317639,1.72612103126594,2.69992460299714,1.46178641230176,1.27119824182496,2.10407762152794,3.21457538070464,0.923526189865563
116A,urban,0.902993367096532,3.4781249774181,0.83887806363023,0.349273654647615,5.93243372740203,0,0.375151315703794,0.105319399180355,0.422694887123897,0.149730116089865,0.055844491860783,0,0.910381067873757,0.753236730881531,1.05799761506477,1.22479974390267,0.105319399180355,0.149730116089865,0.82125276316969,2.08743528780626,0.773780616177859,1.19159968927328,0.260862906807039,0.604100734548137,1.78994184008225,0.321755812831447,5.10263433228821,3.43577456017651,0.589013035028064,0.54032448587757,0.399573369680995,0.375151315703794,0.742588480195661,1.84523242643314,4.02480001987238,2.77832476971574,1.1514654869041,1.76507774514185,0.52280145108373,0.731672574084638,1.29964589051245,1.7671201057279,0
118A,urban,1.23320222908563,3.35448363358348,0.970921091239751,0.369650517169391,5.83186524085786,0.160602884558594,0.489689854751454,0.0603764333517955,0.31049038142164,0.277585247690781,0,0,1.3687030441232,0.949629515242697,1.24441482103507,1.35747342548481,0.31049038142164,0.421709463423239,1.15455427742856,2.12041936994028,1.16795884488277,1.34301533566318,0.583633476616531,0.714009257887298,1.97824065215798,0.489689854751454,5.49068260957836,2.0014454965297,0.396459562967422,0.870018442883976,0.445571646154315,0.369650517169391,0.61617439612944,1.83515422277656,3.87776043763776,2.9805945501139,0.942293867036116,1.89765485988664,0.81414912226969,0.646446121309139,1.44244391982107,1.65607254275573,0.277585247690781
119A,urban,1.72254418710483,3.98938895757708,1.13893119476237,1.02438035339895,5.65620752654228,0.314743234280362,0.541958291093249,0.232853762499563,0.232853762499563,0.0709092407503424,0,0.0709092407503424,1.30818499946251,1.00956624933329,1.68603224941837,2.01722581900817,0.812790197625544,1.09789539022779,1.11595891705721,2.39393937324833,1.08542166153798,2.08495048000805,0.275725754883514,1.17642213094571,2.34354951235767,1.0456950769543,5.19253671131454,2.19414586566289,1.215645796746,1.08542166153798,0.935833407796555,1.16074914289457,1.17126039322448,2.38767527357867,5.57791503598088,3.08261677850315,1.6338147107266,2.02963219387751,1.05257368920899,0.908184451920393,1.61925425678453,2.2719589600064,0.519260642993467
