Sample,ruralurban,Methanobrevibacter,Actinomyces,Rothia,Alloscardovia,Bifidobacterium,Gardnerella,Scardovia,Adlercreutzia,Atopobium,Collinsella,Eggerthella,Gordonibacter,Slackia,Bacteroides,Barnesiella,Butyricimonas,Coprobacter,Odoribacter,Parabacteroides,Paraprevotella,Prevotella,Alistipes,Gemella,Staphylococcus,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Butyricicoccus,Clostridium,Parvimonas,Flavonifractor,Eubacterium,Anaerostipes,Blautia,Coprococcus,Dorea,Roseburia,Oscillibacter,Anaerotruncus,Faecalibacterium,Ruminococcus,Subdoligranulum,Catenibacterium,Coprobacillus,Eggerthia,Holdemania,Solobacterium,Acidaminococcus,Phascolarctobacterium,Anaeroglobus,Dialister,Megamonas,Megasphaera,Mitsuokella,Veillonella,Fusobacterium,Leptotrichia,Oxalobacter,Parasutterella,Sutterella,Bilophila,Desulfovibrio,Aeromonas,Succinatimonas,Citrobacter,Cronobacter,Enterobacter,Escherichia,Klebsiella,Morganella,Plesiomonas,Salmonella,Shigella,Actinobacillus,Haemophilus,Borrelia,Pyramidobacter,Akkermansia,Ahjdlikevirus,P22likevirus,Gammaretrovirus,Tobamovirus
099A,urban,0,0,1.76067598947907,0,3.44100029848042,0,0,0,0,0,2.38202937912606,0,0,5.71312337468184,0,0,0,0,0,0,0,3.67069808243778,0,0,1.91950351011874,0,0,0,0,0,2.12133116201728,0,4.28158342656099,0,0,5.17015085834896,2.17520575708002,4.79669114758859,0,2.67074604622678,4.33480714164775,2.8744604345616,0,4.46801688022997,4.69075798549718,3.19975444690975,0,3.13487771631378,1.69809640025555,3.16672182832103,1.39271980594315,0,0,3.28257985540717,4.44108242403776,0,3.67380916891512,0,1.80189632703624,4.94235320964236,0,0,0,0,0,0,0,0,0,0,0,4.20480681939339,2.31350683278079,0,0,0,0,0,3.04178329392554,2.77852613085141,1.88419855987431,0,0,0,0,0
100A,urban,0,0,0,0,3.22451976519098,1.95903975145364,0,3.18171028614224,0,0,1.83300931112265,0,0,5.52604254231211,0,0,0,0,3.854924312207,0,5.40455107575421,4.63953619846273,0,0,0,0,1.99157284466458,0,0,0,2.37957883541565,0,0,0,2.51671936179392,4.59051820564032,1.83300931112265,4.50061235131218,4.40691706040369,3.75443171991727,3.96612899540977,3.10441255860136,0,4.87105144655037,4.09689234828695,5.00065996498196,0,0,0,2.43726779573177,0,0,0,0,4.54556382461925,0,0,0,0,3.85669940471958,0,0,3.77814877827451,0,3.55670594043458,0,0,0,0,0,0,3.61001098150404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101A,urban,0,0,0,0,3.73919702361128,0,0,3.19727580323398,0,0,2.59966929934803,2.28931176910783,0,5.88346993149092,0,0,0,3.49566924041284,4.49487057826706,0,1.79766746598473,4.20886181216765,0,0,0,0,0,0,0,0,2.75639559734679,0,3.90526806635029,0,2.88544075876561,2.84135279852846,2.28837352507085,3.949400246979,0,3.20712604214565,4.9737267028009,3.74428955235789,2.43920442811062,4.50328332464348,4.23196316288187,3.54769902820114,0,0,0,2.85722799412733,0,0,0,0,0,0,0,0,0,2.21430548854204,0,0,3.00274870080902,0,0,0,0,0,0,0,0,3.30428784078294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107A,urban,0,0,0,0,0,0,0,2.86527407798817,0,0,0,0,0,5.40331037775364,3.54518865987361,0,0,3.86662785532217,4.42086276551101,0,0,4.72716228155879,0,0,0,0,0,0,0,0,1.91914146056673,0,2.31659070761471,0,1.72129323605062,3.47796479603821,0,3.22359689738761,2.45058862268631,2.58487664315698,4.60512038905593,3.10687803858139,0,4.40296780785835,4.22346183926697,3.79495519053479,0,0,0,2.13809332928024,0,0,3.93673578042945,0,0,0,0,0,0,0,0,0,2.65153943879991,0,3.91296489014539,0,0,0,0,0,0,5.73113537658558,3.62817542237613,0,0,0,0,0,0,0,0,0,0,0,0,0
108A,urban,0,0,0,0,2.08199870207282,0,0,2.34746710465827,0,0,1.86312767366097,0,0,5.48269089177981,0,0,0,0,4.13642844090365,0,0,3.12140706125719,0,0,0,0,0,0,0,0,0,0,4.1207792374381,0,1.05505120253332,3.92736301919055,0,3.45819163281518,2.92413119784731,2.7969371004228,3.86588139716569,3.1595795000026,2.37540392143569,4.40791586776289,3.90989779425695,3.78991852677912,2.91926015779392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60674758209344,0,3.5517715676652,0,0,0,0,0,0,5.77903993961902,0,0,0,0,0,0,0,0,2.16558016003765,0,0,0,0,0
109A,urban,0,0,0,0,3.52412627324368,0,0,0,0,3.31337492261998,1.59070414181304,0,2.17771459702963,5.67577325379279,0,0,0,3.55397194809449,4.19249726439483,0,1.7332245025917,4.82460923935248,0,0,0,0,3.79557772519625,0,2.66488214277819,0,3.95421024865387,0,3.9802070552673,0,1.96773817626442,4.55261297060325,0,3.97398242371062,3.59287428392442,4.02284471026711,5.03600318518175,0,0,4.89768980818208,0,3.34308937405114,0,2.83807972648287,0,2.89923660743915,0,0,0,0,2.00453576348675,4.49870698239574,2.73730679143507,0,4.00926297621604,0,0,0,0,4.5409081637893,3.72717137115649,0,0,0,4.39996078143911,0,4.39146341113757,3.83587293279823,4.18125274707064,2.55025602530313,0,0,0,0,3.55527679929867,0,0,0,0,0,0.179860817751405,0
10A,rural,0,0,0,0,4.28350780341895,0,0,3.22086284067266,0,3.2916716669661,1.96204602014056,2.18976912543353,0,5.47002914273028,3.5748270590104,0,0,2.75058552411665,3.99104626529596,0,0.96563675401141,4.6888644962888,0,0,0,0,4.91952897461778,0,0,0,4.46838143117766,0,0,0,0,5.17061323932897,3.03466385061138,4.20593286517129,4.70369776996447,3.96283466211782,4.58921340773537,2.64296998072772,0,5.1863770116483,4.72711576022799,3.96506663461769,0,0,0,0,0,0,0,0,3.85661217186866,0,0,0,3.49236886354017,0,0,0,2.80013265803818,3.38348360431108,2.08796822093884,0,0,0,0,0,0,3.70298795703323,2.40059713641044,0,0,0,0,0,3.76542717470303,0,0,3.1204374616534,0,0,0,0
116A,urban,0,0,0,0,3.11913378234675,0,0,0,0,0,3.37795580126653,0,0,5.81233113130611,0,2.54321496406093,0,0,5.17725097057561,0,0,3.58135261737975,0,0,0,0,0,0,0,0,1.54919892511201,0,5.0591414770266,0,0,2.33998757944972,2.39625552021168,4.71293932521177,0,3.04521642956871,0,0,0,0,0,2.04791741360511,0,3.33790143942236,0,0,0,0,0,0,0,0,0,0,0,2.79418398128613,0,0,0,0,3.9963130635785,0,0,0,0,0,0,4.0539030050417,0,0,0,0,0,0,0,2.80420879165379,0,0,0,0,0,0
118A,urban,0,0,0,0,1.30599993518157,0,0,0,0,0,3.0171003381581,0,0,5.66249232708195,0,0,0,3.98501685328821,4.29910502456805,0,0,4.19450061225617,0,0,0,0,0,0,0,0,1.69833931850037,2.09993781687785,3.91369124736005,0,3.12987469684856,5.54745964011165,1.81949898789376,3.69477376347765,3.26379162381518,3.46731135767793,4.57838309676889,4.27360854872218,0,4.06401913474401,4.63757138751212,3.46365560017464,0,0,0,2.714554173173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75803574629174,0,0,0,0,0,0,0,2.98395381867108,0,0,0,0,0,0
119A,urban,0,0,0,0,3.71063910101258,0,0,0,0,0,2.67498231438835,0,0,5.59139388300445,0,0,0,0,4.34825690781387,0,0,4.88687634382651,0,0,0,0,0,0,0,0,1.44960234292306,0,3.5256406772133,0,0.980695253490905,4.22609486130308,2.17956564646093,4.35606380482928,2.4257330931893,3.12828662966677,3.47610378784229,3.19811971267925,3.35175865578345,4.33292200616353,4.09710466565203,4.25371950390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58294651802793,0,0,0,0,0,0,5.58740710840536,3.98791933191254,0,1.81934895808798,0,0,0,0,2.97033894954018,0,0,0,0,0,0
